id,count,mean,std,min,25%,50%,75%,max
0,39.0,12.025641025641026,26.33637386570258,0.0,0.0,7.0,14.0,154.0
1,48.0,11.520833333333334,24.653332244955077,0.0,0.0,7.0,14.0,161.0
2,48.0,12.104166666666666,23.627643009500485,0.0,0.0,7.0,14.0,147.0
3,47.0,11.617021276595745,24.392223628505366,0.0,0.0,7.0,14.0,154.0
4,45.0,12.911111111111111,26.189711913287827,0.0,0.0,7.0,14.0,168.0
5,48.0,11.375,24.146384249829737,0.0,0.0,7.0,14.0,154.0
6,34.0,10.705882352941176,24.74785501787457,0.0,0.0,0.0,14.0,140.0
7,46.0,17.956521739130434,29.612277124897695,0.0,0.0,7.0,21.0,161.0
8,52.0,12.788461538461538,22.553932345677406,0.0,0.0,7.0,14.0,154.0
9,57.0,10.43859649122807,24.144666331939682,0.0,0.0,7.0,7.0,168.0
10,23.0,12.782608695652174,29.370604540376657,0.0,0.0,7.0,10.5,140.0
11,35.0,13.2,29.296456320537757,0.0,0.0,0.0,10.5,147.0
12,36.0,18.083333333333332,30.137186331839278,0.0,0.0,14.0,15.75,140.0
13,58.0,10.137931034482758,22.980883188761723,0.0,0.0,0.0,7.0,147.0
14,44.0,13.840909090909092,28.503727362801843,0.0,0.0,7.0,14.0,175.0
15,34.0,12.970588235294118,25.509933055419385,0.0,0.0,7.0,14.0,140.0
16,47.0,13.553191489361701,22.489426028052172,0.0,7.0,7.0,14.0,154.0
17,35.0,19.0,45.415079123180064,0.0,0.0,7.0,14.0,217.0
18,50.0,10.5,23.717082451262844,0.0,0.0,0.0,14.0,147.0
19,52.0,12.25,22.85665046738553,0.0,0.0,7.0,14.0,154.0
20,48.0,15.895833333333334,23.583477432334245,0.0,0.0,7.0,21.0,140.0
21,34.0,18.735294117647058,32.50203613531276,0.0,7.0,7.0,14.0,154.0
22,35.0,9.8,24.963267131574604,0.0,0.0,0.0,10.5,147.0
23,32.0,14.0,26.551228633256954,0.0,0.0,7.0,14.0,147.0
24,48.0,14.729166666666666,25.59732331695851,0.0,5.25,10.5,15.75,175.0
25,36.0,14.38888888888889,26.401599278158216,0.0,0.0,7.0,14.0,140.0
26,33.0,16.757575757575758,34.953567685422236,0.0,0.0,7.0,14.0,154.0
27,49.0,11.142857142857142,21.333658851683182,0.0,0.0,7.0,14.0,147.0
28,50.0,12.88,22.950381260449685,0.0,0.0,7.0,14.0,140.0
29,52.0,12.115384615384615,29.311480616434267,0.0,0.0,0.0,7.0,168.0
30,40.0,12.425,25.08844610981573,0.0,0.0,7.0,14.0,154.0
31,24.0,13.125,28.476248684305922,0.0,0.0,7.0,14.0,140.0
32,49.0,12.857142857142858,27.161553711082142,0.0,0.0,7.0,14.0,175.0
33,22.0,12.727272727272727,30.8269854235381,0.0,0.0,7.0,14.0,147.0
34,50.0,12.88,26.433312316090845,0.0,0.0,7.0,14.0,182.0
35,21.0,10.0,30.316662085394558,0.0,0.0,0.0,7.0,140.0
36,39.0,12.923076923076923,27.514000852565584,0.0,7.0,7.0,14.0,175.0
37,48.0,12.979166666666666,29.557365488316595,0.0,0.0,7.0,14.0,189.0
38,47.0,14.297872340425531,27.10921140868432,0.0,0.0,7.0,14.0,168.0
39,46.0,12.326086956521738,26.65254154887471,0.0,0.0,7.0,14.0,175.0
40,42.0,17.333333333333332,29.425115095339624,0.0,0.0,14.0,21.0,182.0
41,48.0,11.958333333333334,29.20139776116331,0.0,0.0,7.0,8.75,196.0
42,34.0,12.147058823529411,28.069321496416013,0.0,0.0,3.5,7.0,147.0
43,43.0,17.25581395348837,27.76353640097695,0.0,3.5,14.0,21.0,175.0
44,51.0,13.862745098039216,27.416067995132444,0.0,0.0,7.0,14.0,182.0
45,54.0,14.518518518518519,30.824359847820883,0.0,0.0,7.0,14.0,203.0
46,23.0,14.304347826086957,33.00059886868266,0.0,0.0,7.0,14.0,161.0
47,35.0,13.6,30.320057426610216,0.0,0.0,7.0,14.0,175.0
48,34.0,16.676470588235293,31.54191111620767,0.0,0.0,7.0,21.0,168.0
49,57.0,10.070175438596491,22.56724843117534,0.0,0.0,7.0,7.0,161.0
50,44.0,16.068181818181817,31.216720122748118,0.0,0.0,7.0,14.0,189.0
51,34.0,13.382352941176471,29.61675887765426,0.0,0.0,3.5,14.0,168.0
52,46.0,16.73913043478261,27.38972620252483,0.0,7.0,14.0,19.25,182.0
53,35.0,18.0,35.78530753387649,0.0,0.0,7.0,14.0,196.0
54,50.0,13.02,27.821214926742503,0.0,0.0,7.0,14.0,182.0
55,50.0,12.74,25.443663258265307,0.0,0.0,7.0,14.0,168.0
56,46.0,19.02173913043478,34.186735004114475,0.0,0.0,7.0,19.25,175.0
57,34.0,25.735294117647058,49.278619633073895,0.0,1.75,7.0,21.0,210.0
58,33.0,14.424242424242424,30.358308482841956,0.0,0.0,7.0,14.0,168.0
59,31.0,21.903225806451612,53.33313844050412,0.0,0.0,7.0,14.0,245.0
60,48.0,14.729166666666666,27.368828038974385,0.0,7.0,7.0,14.0,182.0
61,35.0,16.2,29.590141442518238,0.0,0.0,7.0,21.0,161.0
62,33.0,18.03030303030303,33.844760348247455,0.0,0.0,7.0,14.0,175.0
