id,count,mean,std,min,25%,50%,75%,max
0,27.0,35.51851851851852,37.340811216900235,7.0,7.0,14.0,52.5,140.0
1,41.0,30.21951219512195,26.118491720543467,7.0,14.0,21.0,35.0,140.0
2,40.0,31.85,29.270226405789106,7.0,7.0,21.0,43.75,140.0
3,37.0,32.54054054054054,29.059894657026504,7.0,7.0,28.0,49.0,140.0
4,32.0,31.9375,38.42037220017526,7.0,7.0,14.0,36.75,154.0
5,39.0,33.205128205128204,28.89379781123996,7.0,14.0,28.0,42.0,140.0
6,14.0,39.5,36.590772270951256,7.0,10.5,31.5,52.5,140.0
7,37.0,32.729729729729726,46.19923559291181,7.0,7.0,14.0,35.0,196.0
8,35.0,34.4,32.13958526764885,7.0,7.0,21.0,49.0,140.0
9,33.0,26.09090909090909,27.407074401926362,7.0,7.0,14.0,35.0,140.0
10,8.0,25.375,46.42332387927431,7.0,7.0,7.0,14.0,140.0
11,13.0,22.615384615384617,35.93869423879704,7.0,7.0,14.0,21.0,140.0
12,21.0,46.333333333333336,57.53115098217081,7.0,7.0,21.0,49.0,224.0
13,37.0,20.054054054054053,24.145330749380864,7.0,7.0,14.0,21.0,140.0
14,34.0,39.94117647058823,53.129881551961795,7.0,14.0,24.5,35.0,287.0
15,20.0,30.1,32.12623128912113,7.0,12.25,17.5,36.75,140.0
16,29.0,42.724137931034484,39.569014349004505,7.0,14.0,28.0,49.0,168.0
17,30.0,68.13333333333334,123.20566862611962,7.0,7.0,24.5,54.25,546.0
18,39.0,28.358974358974358,26.91750279678846,7.0,7.0,21.0,42.0,140.0
19,43.0,23.930232558139537,25.01751324556955,7.0,7.0,21.0,28.0,140.0
20,35.0,36.0,49.791919968180046,7.0,7.0,14.0,38.5,196.0
21,25.0,80.36,164.67515497690192,7.0,14.0,28.0,56.0,735.0
22,23.0,20.391304347826086,29.085671465258976,7.0,7.0,7.0,21.0,140.0
23,25.0,99.12,185.77143662755765,7.0,7.0,21.0,63.0,679.0
24,38.0,36.473684210526315,31.8567204858535,7.0,14.0,28.0,56.0,140.0
25,24.0,18.083333333333332,28.446619217888372,7.0,7.0,7.0,14.0,140.0
26,28.0,80.25,158.82079931890627,7.0,12.25,21.0,57.75,665.0
27,35.0,34.6,36.052412826165124,7.0,7.0,21.0,49.0,140.0
28,42.0,26.333333333333332,31.41202710992195,7.0,7.0,14.0,26.25,140.0
29,38.0,21.0,25.73251177328327,7.0,7.0,10.5,26.25,140.0
30,25.0,30.52,40.10415606060466,7.0,7.0,14.0,28.0,154.0
31,15.0,28.933333333333334,39.32005425564246,7.0,7.0,7.0,28.0,140.0
32,34.0,30.058823529411764,27.439123999258836,7.0,14.0,21.0,35.0,140.0
33,11.0,21.0,39.59797974644666,7.0,7.0,7.0,14.0,140.0
34,38.0,30.394736842105264,39.2714320716205,7.0,7.0,14.0,31.5,154.0
35,17.0,25.529411764705884,32.64030799306822,7.0,7.0,14.0,28.0,140.0
36,29.0,32.10344827586207,37.4874691707454,7.0,7.0,14.0,28.0,147.0
37,43.0,30.441860465116278,30.200364492897695,7.0,7.0,21.0,38.5,161.0
38,37.0,33.86486486486486,36.76438657342347,7.0,7.0,21.0,49.0,168.0
39,38.0,30.763157894736842,32.85466293001141,7.0,7.0,21.0,42.0,154.0
40,31.0,33.87096774193548,42.77440195216751,7.0,7.0,14.0,35.0,168.0
