id,count,mean,std,min,25%,50%,75%,max
0,33.0,31.818181818181817,33.11575771579007,7.0,7.0,21.0,42.0,140.0
1,42.0,36.333333333333336,35.43228971533656,7.0,14.0,21.0,47.25,140.0
2,40.0,34.825,31.364595015922337,7.0,7.0,28.0,49.0,140.0
3,35.0,32.6,31.34832765968264,7.0,14.0,21.0,42.0,140.0
4,29.0,41.275862068965516,46.89570232496496,7.0,7.0,21.0,49.0,168.0
5,40.0,34.475,27.29044869077073,7.0,14.0,28.0,49.0,140.0
6,17.0,29.235294117647058,32.19574780107752,7.0,7.0,21.0,35.0,140.0
7,30.0,35.93333333333333,48.31358296432354,7.0,7.0,17.5,40.25,210.0
8,40.0,30.1,34.555640750712584,7.0,7.0,10.5,45.5,140.0
9,38.0,21.0,29.964844266104436,7.0,7.0,7.0,14.0,140.0
10,9.0,28.0,43.00872004605578,7.0,7.0,7.0,28.0,140.0
11,19.0,17.68421052631579,30.722869931731722,7.0,7.0,7.0,10.5,140.0
12,23.0,39.26086956521739,51.080344370683996,7.0,7.0,14.0,52.5,168.0
13,41.0,14.682926829268293,21.220790541813287,7.0,7.0,7.0,14.0,140.0
14,36.0,35.97222222222222,45.09132707935947,7.0,7.0,14.0,43.75,168.0
15,22.0,24.818181818181817,29.121480148862727,7.0,7.0,14.0,28.0,140.0
16,37.0,35.37837837837838,43.837674912587936,7.0,7.0,21.0,42.0,189.0
17,34.0,55.794117647058826,64.02829838948094,7.0,14.0,24.5,75.25,259.0
18,32.0,29.75,28.112676511587463,7.0,7.0,21.0,36.75,140.0
19,40.0,25.9,30.16858614094452,7.0,7.0,14.0,35.0,140.0
20,33.0,36.484848484848484,46.060504510454244,7.0,7.0,21.0,35.0,168.0
21,34.0,55.794117647058826,97.627858484288,7.0,14.0,35.0,49.0,560.0
22,21.0,17.0,29.74558790812513,7.0,7.0,7.0,14.0,140.0
23,31.0,53.064516129032256,85.84207805960547,7.0,7.0,14.0,42.0,371.0
24,41.0,30.390243902439025,28.374176683016273,7.0,7.0,21.0,42.0,140.0
25,27.0,20.22222222222222,28.156613287021433,7.0,7.0,7.0,21.0,140.0
26,33.0,48.57575757575758,65.45419691615957,7.0,7.0,21.0,42.0,280.0
27,36.0,38.69444444444444,39.721041163483,7.0,7.0,17.5,63.0,168.0
