crossroad,amount
C,4.0
C,4.0
C,2.6999999999999997
C,0.9
C,6.3
C,5.6
C,6.3
C,5.6
C,8.1
C,6.3
C,7.0
C,5.6
C,5.6
C,6.3
C,3.0
C,5.6
C,4.8999999999999995
C,5.6
C,5.6
C,8.0
C,5.6
C,4.8999999999999995
C,11.0
C,6.3
C,5.6
C,6.3
C,4.8999999999999995
C,5.6
C,6.3
C,5.6
C,4.8999999999999995
C,6.3
C,6.3
C,6.3
C,4.8999999999999995
C,6.3
C,6.3
C,6.3
C,5.6
C,7.0
C,6.3
C,7.0
C,5.6
B,4.0
C,6.3
C,6.3
C,6.3
C,5.6
C,6.3
C,7.0
C,7.0
C,7.0
C,6.3
C,7.0
C,7.699999999999999
C,6.3
C,7.0
C,7.0
C,7.699999999999999
C,6.3
C,7.699999999999999
C,7.699999999999999
C,7.699999999999999
C,6.3
C,8.399999999999999
C,7.699999999999999
C,7.699999999999999
C,7.0
C,7.699999999999999
C,6.3
A,8.0
C,8.399999999999999
C,7.0
C,8.399999999999999
C,7.0
C,9.1
C,9.1
B,3.5999999999999996
B,3.3
C,8.399999999999999
B,3.9
B,3.3
C,8.399999999999999
B,3.5999999999999996
B,3.9
D,2.8000000000000003
D,1.6
B,2.6999999999999997
D,0.8
D,7.2
A,2.8000000000000003
A,2.6
B,3.3
A,2.8000000000000003
A,2.6
A,3.0
A,2.8000000000000003
A,3.0
A,3.2
G,2.6999999999999997
D,7.5
A,2.2
A,1.8
D,9.5
A,2.4000000000000004
A,2.0
D,9.5
A,2.6
D,9.5
H,7.2
D,11.0
H,4.0
H,8.4
H,18.900000000000002
H,29.0
H,0.0
H,28.8
H,11.7
H,25.8
G,3.2
D,5.0
G,3.8000000000000003
D,7.0
G,4.800000000000001
G,4.4
D,8.0
G,5.2
D,9.0
G,6.2
D,6.0
D,11.0
D,7.5
I,17.7
D,13.0
H,8.6
H,10.4
G,6.0
H,11.200000000000001
G,3.2
G,7.800000000000001
H,11.200000000000001
H,5.0
G,3.8000000000000003
H,10.8
H,6.0
G,6.2
H,11.4
H,7.2
G,6.6000000000000005
H,11.4
H,8.200000000000001
G,7.6000000000000005
H,11.8
H,9.8
H,10.4
H,9.4
H,10.4
H,10.600000000000001
I,44.5
H,11.200000000000001
C,0.0
I,45.5
C,11.200000000000001
H,11.200000000000001
H,12.4
H,13.200000000000001
H,13.600000000000001
H,7.4
H,6.800000000000001
B,13.0
H,7.0
B,1.6
H,7.0
H,7.2
A,17.1
I,50.0
I,30.5
D,17.1
D,2.4000000000000004
D,8.4
C,9.799999999999999
C,9.799999999999999
C,11.2
B,4.5
G,23.799999999999997
G,18.0
