crossroad,veics
1,A
6,D
10,E
26,I
15,F
35,C
31,B
18,G
25,H
23,A
6,D
10,E
28,I
15,F
3,C
33,B
18,G
25,H
1,A
6,D
10,E
26,I
15,F
35,C
31,B
18,G
25,H
1,A
6,D
10,E
26,I
15,F
35,C
31,B
18,G
25,H
1,A
6,D
10,E
26,I
15,F
35,C
31,B
18,G
25,H
37,A
7,D
11,E
28,I
51,F
3,C
33,B
17,G
22,H
37,A
7,D
11,E
28,I
51,F
3,C
33,B
17,G
22,H
12,A
4,D
11,E
26,I
13,F
35,C
31,B
17,G
22,H
37,A
7,D
11,E
28,I
51,F
3,C
33,B
17,G
22,H
37,A
7,D
11,E
28,I
51,F
3,C
33,B
17,G
22,H
23,A
4,D
46,E
29,I
14,F
2,C
67,B
19,G
24,H
0,A
7,D
46,E
29,I
14,F
34,C
30,B
20,G
61,H
23,A
4,D
46,E
29,I
14,F
2,C
67,B
19,G
24,H
23,A
4,D
46,E
29,I
14,F
2,C
67,B
19,G
24,H
12,A
5,D
9,E
27,I
13,F
71,C
69,B
55,G
21,H
23,A
4,D
46,E
29,I
14,F
2,C
67,B
19,G
24,H
1,A
42,D
9,E
27,I
16,F
2,C
69,B
19,G
24,H
12,A
5,D
9,E
27,I
13,F
71,C
69,B
55,G
21,H
0,A
42,D
8,E
62,I
16,F
34,C
30,B
20,G
58,H
12,A
5,D
9,E
27,I
13,F
71,C
69,B
55,G
21,H
0,A
42,D
8,E
12,A
5,D
62,I
9,E
16,F
27,I
34,C
13,F
30,B
71,C
69,B
20,G
58,H
55,G
21,H
37,A
5,D
47,E
62,I
51,F
71,C
32,B
56,G
21,H
48,A
78,D
82,E
65,I
52,F
39,C
103,B
54,G
61,H
48,A
41,D
82,E
65,I
52,F
39,C
103,B
54,G
61,H
0,A
42,D
8,E
62,I
16,F
34,C
30,B
20,G
58,H
36,A
41,D
45,E
63,I
50,F
38,C
32,B
56,G
57,H
0,A
42,D
8,E
62,I
16,F
34,C
30,B
20,G
58,H
36,A
78,D
45,E
64,I
50,F
39,C
67,B
55,G
58,H
84,A
43,D
45,E
63,I
50,F
38,C
32,B
56,G
57,H
59,A
43,D
47,E
64,I
88,F
70,C
105,B
90,G
94,H
48,A
41,D
82,E
65,I
52,F
39,C
103,B
54,G
61,H
72,A
40,D
8,E
65,I
52,F
38,C
105,B
54,G
60,H
48,A
41,D
82,E
65,I
52,F
39,C
103,B
54,G
61,H
36,A
77,D
47,E
64,I
88,F
70,C
66,B
90,G
93,H
84,A
77,D
118,E
99,I
49,F
74,C
66,B
53,G
60,H
84,A
43,D
45,E
63,I
50,F
38,C
32,B
90,G
57,H
59,A
78,D
44,E
99,I
86,F
75,C
105,B
126,G
60,H
48,A
41,D
83,E
63,I
49,F
70,C
66,B
53,G
96,H
84,A
78,D
45,E
63,I
50,F
38,C
32,B
90,G
57,H
120,A
79,D
44,E
98,I
124,F
106,C
68,B
91,G
93,H
120,A
79,D
81,E
98,I
124,F
106,C
68,B
6,G
94,H
73,A
114,D
81,E
134,I
26,F
75,C
139,B
126,G
96,H
36,A
78,D
47,E
64,I
88,F
70,C
66,B
56,G
93,H
73,A
114,D
82,E
99,I
88,F
75,C
11,B
90,G
57,H
36,A
43,D
47,E
64,I
88,F
75,C
105,B
56,G
93,H
7,A
114,D
83,E
134,I
7,A
26,F
10,D
107,C
139,B
83,E
91,G
135,I
96,H
86,F
111,C
11,B
6,G
132,H
59,A
43,D
44,E
100,I
86,F
111,C
68,B
6,G
28,H
59,A
77,D
118,E
99,I
86,F
75,C
105,B
126,G
60,H
59,A
77,D
44,E
99,I
86,F
111,C
66,B
126,G
60,H
72,A
115,D
117,E
100,I
29,F
13,C
104,B
5,G
130,H
72,A
10,D
118,E
135,I
122,F
111,C
11,B
5,G
132,H
95,A
46,D
80,E
21,I
122,F
16,C
102,B
89,G
28,H
84,A
77,D
81,E
98,I
35,F
13,C
104,B
42,G
94,H
73,A
115,D
117,E
21,I
35,F
13,C
102,B
120,A
53,G
79,D
81,E
28,H
98,I
124,F
111,C
68,B
6,G
94,H
120,A
79,D
81,E
98,I
124,F
70,C
68,B
6,G
96,H
131,A
19,D
31,E
14,I
35,F
30,C
138,B
42,G
27,H
95,A
79,D
118,E
14,I
26,F
107,C
47,B
91,G
9,H
95,A
46,D
80,E
14,I
71,F
30,C
104,B
42,G
130,H
7,A
114,D
44,E
134,I
26,F
106,C
139,B
5,G
96,H
72,A
114,D
43,A
55,D
83,E
67,E
134,I
57,I
71,F
26,F
52,C
47,B
106,C
78,G
139,B
129,H
91,G
132,H
131,A
19,D
31,E
100,I
29,F
16,C
47,B
41,G
27,H
108,A
113,D
80,E
21,I
29,F
106,C
102,B
5,G
27,H
32,A
113,D
103,E
101,I
62,F
88,C
2,B
127,G
63,H
72,A
115,D
83,E
135,I
122,F
13,C
11,B
91,G
130,H
7,A
115,D
118,E
135,I
49,F
13,C
11,B
5,G
94,H
43,A
113,D
67,E
57,I
34,F
66,C
138,B
127,G
9,H
32,A
115,D
119,E
101,I
34,F
16,C
0,B
78,G
93,H
68,A
82,D
15,E
50,I
34,F
107,C
0,B
24,G
9,H
32,A
55,D
103,E
50,I
49,F
52,C
0,B
77,G
63,H
73,A
10,D
117,E
21,I
35,F
30,C
