id,count,mean,std,min,25%,50%,75%,max
0,18.0,13.722222222222221,21.868068462958806,7.0,7.0,7.0,7.0,100.0
1,34.0,15.294117647058824,17.049890094313337,7.0,7.0,7.0,19.25,100.0
2,35.0,13.857142857142858,16.45697216298032,7.0,7.0,7.0,14.0,100.0
3,31.0,16.096774193548388,18.39448257623225,7.0,7.0,7.0,17.5,100.0
4,31.0,13.161290322580646,18.09621834195117,7.0,7.0,7.0,10.5,100.0
5,41.0,14.731707317073171,16.73024863868422,7.0,7.0,7.0,14.0,100.0
6,10.0,17.0,29.246082358725133,7.0,7.0,7.0,7.0,100.0
7,43.0,13.069767441860465,16.09997833307801,7.0,7.0,7.0,14.0,100.0
8,41.0,17.29268292682927,23.39684156295356,7.0,7.0,7.0,14.0,112.0
9,34.0,13.029411764705882,16.5867513653402,7.0,7.0,7.0,14.0,100.0
10,10.0,17.0,29.246082358725133,7.0,7.0,7.0,7.0,100.0
11,18.0,15.666666666666666,22.772532474323484,7.0,7.0,7.0,12.25,100.0
12,19.0,14.105263157894736,21.18934411664427,7.0,7.0,7.0,14.0,100.0
13,33.0,13.424242424242424,16.95403768839134,7.0,7.0,7.0,14.0,100.0
14,30.0,15.233333333333333,18.42914358654068,7.0,7.0,7.0,14.0,100.0
15,15.0,13.666666666666666,23.951339558919592,7.0,7.0,7.0,7.0,100.0
16,31.0,14.96774193548387,18.26925262285925,7.0,7.0,7.0,17.5,100.0
17,34.0,15.911764705882353,17.884084082169554,7.0,7.0,7.0,14.0,100.0
18,39.0,12.794871794871796,16.249987023767265,7.0,7.0,7.0,14.0,100.0
19,28.0,13.071428571428571,19.262184352553216,7.0,7.0,7.0,7.0,100.0
20,24.0,13.5,19.29856944461676,7.0,7.0,7.0,8.75,100.0
21,40.0,14.225,16.545953878322937,7.0,7.0,7.0,14.0,100.0
22,19.0,13.0,21.228911104120876,7.0,7.0,7.0,7.0,100.0
23,38.0,14.421052631578947,17.330852942855547,7.0,7.0,7.0,14.0,100.0
24,41.0,16.097560975609756,18.362740642465084,7.0,7.0,7.0,14.0,100.0
25,21.0,13.095238095238095,20.383583497277318,7.0,7.0,7.0,7.0,100.0
26,24.0,15.541666666666666,19.515833408368408,7.0,7.0,7.0,14.0,100.0
27,38.0,20.31578947368421,21.955858989219276,7.0,7.0,7.0,26.25,100.0
28,37.0,13.864864864864865,17.613382163322047,7.0,7.0,7.0,14.0,100.0
29,41.0,14.390243902439025,15.993558154426562,7.0,7.0,7.0,14.0,100.0
30,17.0,14.941176470588236,22.725180384969704,7.0,7.0,7.0,7.0,100.0
31,11.0,19.90909090909091,27.4789175385587,7.0,7.0,7.0,17.5,100.0
32,26.0,15.692307692307692,19.063618189146005,7.0,7.0,7.0,21.0,100.0
33,9.0,17.333333333333332,30.999999999999996,7.0,7.0,7.0,7.0,100.0
34,32.0,19.53125,20.19259585638644,7.0,7.0,10.5,21.0,100.0
35,10.0,20.5,28.512180632923265,7.0,7.0,10.5,19.25,100.0
36,22.0,12.818181818181818,21.324335223571985,7.0,7.0,7.0,7.0,107.0
37,42.0,15.714285714285714,18.538405375533134,7.0,7.0,7.0,19.25,114.0
38,41.0,15.926829268292684,17.267585592523407,7.0,7.0,7.0,21.0,107.0
39,38.0,16.07894736842105,18.617605122132158,7.0,7.0,7.0,19.25,114.0
40,25.0,20.8,28.017851452243796,7.0,7.0,7.0,14.0,114.0
41,35.0,16.457142857142856,22.165610429543456,7.0,7.0,7.0,14.0,128.0
42,17.0,14.117647058823529,24.090668195748478,7.0,7.0,7.0,7.0,107.0
43,37.0,16.324324324324323,22.27611333301268,7.0,7.0,7.0,14.0,121.0
44,41.0,16.097560975609756,20.317240066072927,7.0,7.0,7.0,14.0,121.0
45,35.0,16.857142857142858,21.655243702898673,7.0,7.0,7.0,14.0,128.0
46,12.0,18.25,30.34086653044342,7.0,7.0,7.0,14.0,114.0
47,14.0,18.142857142857142,27.36043505855502,7.0,7.0,7.0,12.25,107.0
48,23.0,15.0,28.035691537752374,7.0,7.0,7.0,10.5,142.0
49,29.0,13.827586206896552,19.908843988677926,7.0,7.0,7.0,7.0,107.0
50,34.0,16.735294117647058,24.523716194155394,7.0,7.0,7.0,14.0,128.0
51,18.0,16.444444444444443,24.82935222727616,7.0,7.0,7.0,14.0,114.0
52,37.0,14.243243243243244,20.660490213348176,7.0,7.0,7.0,14.0,121.0
53,35.0,18.057142857142857,20.09966762549725,7.0,7.0,14.0,17.5,114.0
54,31.0,17.451612903225808,26.46108930697729,7.0,7.0,7.0,14.0,128.0
55,30.0,16.866666666666667,21.423051286798096,7.0,7.0,7.0,21.0,121.0
56,32.0,13.84375,19.35760144932651,7.0,7.0,7.0,14.0,114.0
57,39.0,16.564102564102566,19.64928667755072,7.0,7.0,14.0,14.0,121.0
58,21.0,18.761904761904763,25.353312923373075,7.0,7.0,7.0,21.0,114.0
59,30.0,15.933333333333334,21.60927855205328,7.0,7.0,7.0,14.0,121.0
60,46.0,16.934782608695652,20.97766237788614,7.0,7.0,7.0,19.25,128.0
