id,count,mean,std,min,25%,50%,75%,max
0,42.0,12.547619047619047,15.542549593015158,7.0,7.0,7.0,14.0,100.0
1,61.0,12.655737704918034,12.992158206525502,7.0,7.0,7.0,14.0,100.0
2,70.0,11.528571428571428,12.362544445864833,7.0,7.0,7.0,14.0,100.0
3,62.0,13.241935483870968,14.034717473221415,7.0,7.0,7.0,14.0,100.0
4,58.0,11.137931034482758,13.790981385460125,7.0,7.0,7.0,7.0,100.0
5,70.0,11.228571428571428,12.384154706102434,7.0,7.0,7.0,14.0,100.0
6,25.0,11.84,18.660743107747166,7.0,7.0,7.0,7.0,100.0
7,76.0,11.631578947368421,13.188724583535395,7.0,7.0,7.0,14.0,100.0
8,69.0,11.18840579710145,12.177939749349619,7.0,7.0,7.0,14.0,100.0
9,67.0,11.313432835820896,12.869047850658642,7.0,7.0,7.0,14.0,100.0
10,14.0,13.642857142857142,24.855295497855465,7.0,7.0,7.0,7.0,100.0
11,29.0,10.931034482758621,17.26667110460157,7.0,7.0,7.0,7.0,100.0
12,36.0,10.944444444444445,15.700672313984237,7.0,7.0,7.0,7.0,100.0
13,60.0,12.283333333333333,13.588494219053224,7.0,7.0,7.0,14.0,100.0
14,70.0,10.728571428571428,12.288702751751748,7.0,7.0,7.0,7.0,100.0
15,31.0,13.612903225806452,18.02161187640151,7.0,7.0,7.0,10.5,100.0
16,69.0,11.492753623188406,12.507201676499868,7.0,7.0,7.0,14.0,100.0
17,78.0,13.487179487179487,14.10235642991826,7.0,7.0,7.0,14.0,100.0
18,74.0,12.986486486486486,12.755330063168214,7.0,7.0,7.0,14.0,100.0
19,66.0,10.848484848484848,13.03987072168388,7.0,7.0,7.0,7.0,100.0
20,71.0,10.380281690140846,11.741703693834333,7.0,7.0,7.0,7.0,100.0
21,79.0,13.316455696202532,12.931321847079502,7.0,7.0,7.0,14.0,100.0
22,35.0,11.657142857142857,16.591888268142387,7.0,7.0,7.0,7.0,100.0
23,70.0,11.228571428571428,13.054147465290434,7.0,7.0,7.0,7.0,100.0
24,85.0,11.882352941176471,11.860711217639324,7.0,7.0,7.0,14.0,100.0
25,31.0,11.129032258064516,16.796312959463993,7.0,7.0,7.0,7.0,100.0
26,63.0,10.253968253968255,12.282912670714358,7.0,7.0,7.0,7.0,100.0
27,75.0,12.44,13.474941708744199,7.0,7.0,7.0,14.0,100.0
28,85.0,11.717647058823529,12.454308648880057,7.0,7.0,7.0,14.0,100.0
29,71.0,13.535211267605634,13.940517500043322,7.0,7.0,7.0,14.0,100.0
30,30.0,12.9,17.973831552834113,7.0,7.0,7.0,7.0,100.0
31,20.0,14.8,21.941549146479346,7.0,7.0,7.0,7.0,100.0
32,59.0,13.915254237288135,14.53092793818047,7.0,7.0,7.0,14.0,100.0
