id,count,mean,std,min,25%,50%,75%,max
0,40.0,11.825,22.498874615730426,0.0,0.0,7.0,14.0,137.0
1,49.0,11.224489795918368,22.255397572014644,0.0,0.0,7.0,14.0,144.0
2,49.0,10.795918367346939,20.816639570141895,0.0,0.0,7.0,14.0,137.0
3,49.0,12.795918367346939,21.34144988029626,0.0,0.0,7.0,14.0,130.0
4,45.0,10.822222222222223,21.613641408830095,0.0,0.0,7.0,14.0,137.0
5,49.0,11.510204081632653,24.14290997458294,0.0,0.0,7.0,14.0,158.0
6,34.0,11.235294117647058,23.35374711810351,0.0,0.0,3.5,14.0,130.0
7,53.0,12.358490566037736,22.9741446142118,0.0,0.0,7.0,14.0,151.0
8,52.0,16.096153846153847,23.549913296859348,0.0,0.0,7.0,21.0,144.0
9,57.0,8.052631578947368,20.491654270381446,0.0,0.0,0.0,7.0,151.0
10,24.0,8.625,27.363594507078673,0.0,0.0,0.0,0.0,130.0
11,37.0,7.864864864864865,23.167460612489045,0.0,0.0,0.0,7.0,137.0
12,37.0,20.54054054054054,26.765021321986023,0.0,0.0,7.0,28.0,130.0
13,58.0,9.120689655172415,19.417009712690007,0.0,0.0,7.0,12.25,137.0
14,47.0,14.829787234042554,28.47601519275642,0.0,0.0,7.0,14.0,144.0
15,35.0,12.714285714285714,25.534948863183146,0.0,0.0,0.0,10.5,130.0
16,48.0,13.208333333333334,23.93338124019781,0.0,0.0,7.0,14.0,151.0
17,44.0,15.522727272727273,26.398104791349184,0.0,0.0,7.0,14.0,130.0
18,49.0,14.510204081632653,26.741137510849267,0.0,0.0,7.0,14.0,137.0
19,52.0,12.326923076923077,22.628041906956653,0.0,0.0,7.0,14.0,144.0
20,48.0,18.3125,27.791133018790095,0.0,0.0,7.0,22.75,151.0
21,48.0,14.083333333333334,24.335276323865013,0.0,0.0,7.0,21.0,151.0
22,37.0,7.675675675675675,22.788952067533433,0.0,0.0,0.0,7.0,137.0
23,43.0,16.53488372093023,34.90896244397317,0.0,0.0,7.0,14.0,158.0
24,48.0,11.020833333333334,21.495659713645047,0.0,0.0,7.0,14.0,144.0
