id,count,mean,std,min,25%,50%,75%,max
0,30.0,18.466666666666665,21.793281681215007,7.0,7.0,10.5,21.0,120.0
1,41.0,19.317073170731707,20.577219229514768,7.0,7.0,14.0,21.0,120.0
2,40.0,19.275,19.78601876228612,7.0,7.0,14.0,22.75,120.0
3,37.0,19.513513513513512,21.523400213645534,7.0,7.0,14.0,21.0,120.0
4,26.0,24.26923076923077,23.855494448546132,7.0,8.75,21.0,28.0,120.0
5,42.0,17.857142857142858,20.2334803783975,7.0,7.0,7.0,21.0,120.0
6,12.0,25.166666666666668,32.47609843711171,7.0,7.0,14.0,28.0,120.0
7,42.0,13.357142857142858,18.74322177133211,7.0,7.0,7.0,14.0,120.0
8,36.0,18.88888888888889,21.355197129608623,7.0,7.0,10.5,21.0,120.0
9,35.0,14.428571428571429,19.80535535758791,7.0,7.0,7.0,14.0,120.0
10,9.0,21.88888888888889,37.44143575119831,7.0,7.0,7.0,7.0,120.0
11,15.0,15.933333333333334,29.052825450662564,7.0,7.0,7.0,7.0,120.0
12,19.0,18.473684210526315,25.375772393395312,7.0,7.0,14.0,17.5,120.0
13,38.0,15.31578947368421,19.9311046644101,7.0,7.0,7.0,14.0,120.0
14,36.0,18.305555555555557,22.964344343157528,7.0,7.0,7.0,15.75,120.0
15,16.0,32.0,38.40486080346254,7.0,7.0,17.5,31.5,126.0
16,37.0,18.18918918918919,22.10685896307327,7.0,7.0,7.0,21.0,120.0
17,43.0,16.46511627906977,18.95527170951119,7.0,7.0,7.0,21.0,120.0
18,43.0,18.74418604651163,21.31855108010483,7.0,7.0,14.0,21.0,120.0
19,40.0,15.775,20.599337181270965,7.0,7.0,7.0,14.0,120.0
20,40.0,12.8,18.55856979458581,7.0,7.0,7.0,8.75,120.0
21,44.0,17.84090909090909,18.76655013063128,7.0,7.0,14.0,21.0,120.0
22,23.0,18.304347826086957,26.76401040510235,7.0,7.0,7.0,14.0,120.0
23,35.0,20.62857142857143,25.06472294150593,7.0,7.0,14.0,21.0,120.0
24,43.0,18.74418604651163,20.194404014190965,7.0,7.0,7.0,21.0,120.0
25,21.0,14.047619047619047,24.862574666506664,7.0,7.0,7.0,7.0,120.0
26,36.0,17.72222222222222,20.735905521046767,7.0,7.0,10.5,21.0,120.0
27,44.0,19.59090909090909,21.59491561802645,7.0,7.0,14.0,21.0,120.0
28,48.0,16.354166666666668,19.016778239489703,7.0,7.0,7.0,15.75,120.0
29,38.0,15.868421052631579,20.573101111194607,7.0,7.0,7.0,19.25,120.0
30,25.0,19.92,24.224505498908883,7.0,7.0,14.0,21.0,120.0
31,12.0,22.25,33.87711751181158,7.0,7.0,7.0,15.75,120.0
32,35.0,18.82857142857143,20.431356688542586,7.0,7.0,14.0,21.0,120.0
33,11.0,17.90909090909091,33.92478311044757,7.0,7.0,7.0,7.0,120.0
34,36.0,19.86111111111111,22.232733625095328,7.0,7.0,7.0,28.0,120.0
35,12.0,18.75,32.20142571660171,7.0,7.0,7.0,14.0,120.0
36,30.0,21.5,23.761385655635955,7.0,7.0,14.0,28.0,127.0
37,42.0,20.857142857142858,24.054380898666224,7.0,7.0,14.0,28.0,148.0
38,40.0,18.75,24.123347558659795,7.0,7.0,7.0,21.0,127.0
39,34.0,18.352941176470587,24.218553309821736,7.0,7.0,10.5,21.0,141.0
40,27.0,26.22222222222222,29.702801387350828,7.0,7.0,21.0,28.0,148.0
41,41.0,16.585365853658537,20.765326399741586,7.0,7.0,14.0,14.0,127.0
42,19.0,19.210526315789473,29.345790815660276,7.0,7.0,7.0,17.5,134.0
43,36.0,20.055555555555557,26.170806466578576,7.0,7.0,7.0,22.75,141.0
44,33.0,20.606060606060606,27.429385923152058,7.0,7.0,14.0,21.0,155.0
45,42.0,14.19047619047619,20.680187402130187,7.0,7.0,7.0,14.0,134.0
46,13.0,21.076923076923077,35.365853442884564,7.0,7.0,7.0,7.0,127.0
47,12.0,19.916666666666668,38.37484577009773,7.0,7.0,7.0,8.75,141.0
48,18.0,19.11111111111111,30.19327718099022,7.0,7.0,7.0,14.0,134.0
49,38.0,13.473684210526315,21.02088644992939,7.0,7.0,7.0,14.0,134.0
50,35.0,18.02857142857143,25.847386617567032,7.0,7.0,7.0,14.0,141.0
51,17.0,30.941176470588236,34.649081135427124,7.0,7.0,21.0,35.0,127.0
52,38.0,20.842105263157894,28.292417392908764,7.0,7.0,14.0,21.0,155.0
53,37.0,24.054054054054053,33.936170433088996,7.0,7.0,14.0,21.0,148.0
54,37.0,18.756756756756758,20.690047802701617,7.0,7.0,14.0,28.0,127.0
55,40.0,17.175,22.500014245009737,7.0,7.0,7.0,21.0,141.0
56,36.0,15.0,23.83275057562597,7.0,7.0,7.0,14.0,148.0
57,44.0,18.954545454545453,21.723371344689603,7.0,7.0,14.0,21.0,141.0
58,19.0,16.63157894736842,28.525252995890014,7.0,7.0,7.0,7.0,127.0
59,45.0,17.6,24.030662231256287,7.0,7.0,7.0,14.0,148.0
60,42.0,19.857142857142858,24.954174027479414,7.0,7.0,7.0,21.0,148.0
61,14.0,24.071428571428573,35.793132744261875,7.0,7.0,7.0,19.25,134.0
62,40.0,17.875,21.218264386837667,7.0,7.0,14.0,15.75,127.0
63,38.0,23.42105263157895,26.31886752980092,7.0,7.0,14.0,28.0,134.0
64,49.0,18.591836734693878,22.45821895519446,7.0,7.0,7.0,21.0,141.0
65,37.0,18.0,23.748684174075834,7.0,7.0,14.0,21.0,148.0
66,27.0,19.74074074074074,29.17268558164613,7.0,7.0,7.0,21.0,155.0
67,12.0,18.75,34.620343467651814,7.0,7.0,7.0,7.0,127.0
68,37.0,19.513513513513512,22.538389005849083,7.0,7.0,14.0,21.0,141.0
69,10.0,22.5,39.46939742804966,7.0,7.0,7.0,14.0,134.0
70,38.0,19.36842105263158,27.09584694679,7.0,7.0,7.0,19.25,155.0
71,8.0,23.75,44.615019892408434,7.0,7.0,7.0,8.75,134.0
72,35.0,17.02857142857143,26.086378814696864,7.0,7.0,7.0,14.0,155.0
73,41.0,21.024390243902438,26.32535641247621,7.0,7.0,14.0,28.0,162.0
74,40.0,19.8,27.68707927850749,7.0,7.0,14.0,22.75,176.0
