id,count,mean,std,min,25%,50%,75%,max
0,37.0,15.135135135135135,26.527933037295444,0.0,0.0,7.0,14.0,147.0
1,44.0,12.727272727272727,27.84789552932613,0.0,0.0,7.0,14.0,168.0
2,46.0,10.652173913043478,24.770248634022717,0.0,0.0,0.0,7.0,154.0
3,43.0,12.534883720930232,26.526131623641028,0.0,0.0,0.0,14.0,140.0
4,41.0,20.146341463414632,34.51344736157905,0.0,0.0,7.0,21.0,154.0
5,47.0,8.936170212765957,23.52187164924257,0.0,0.0,7.0,7.0,161.0
6,34.0,9.058823529411764,25.06348445686333,0.0,0.0,0.0,7.0,140.0
7,41.0,21.341463414634145,47.16439852054596,0.0,0.0,7.0,14.0,259.0
8,49.0,10.285714285714286,25.283393759541067,0.0,0.0,7.0,7.0,168.0
9,54.0,12.185185185185185,29.011431757267147,0.0,0.0,0.0,12.25,147.0
10,24.0,8.75,28.769322429342655,0.0,0.0,0.0,1.75,140.0
11,35.0,14.4,36.48948277163129,0.0,0.0,7.0,10.5,161.0
12,33.0,22.272727272727273,39.499424621816274,0.0,0.0,7.0,28.0,161.0
13,58.0,8.448275862068966,22.3584611824893,0.0,0.0,0.0,7.0,161.0
14,44.0,12.568181818181818,26.476314757325348,0.0,0.0,3.5,8.75,147.0
15,36.0,11.86111111111111,30.204212362590162,0.0,0.0,0.0,7.0,140.0
16,44.0,15.431818181818182,26.042360596815058,0.0,0.0,7.0,22.75,154.0
17,42.0,15.5,32.81600591026335,0.0,0.0,7.0,14.0,154.0
18,46.0,10.043478260869565,26.17713720171277,0.0,0.0,0.0,7.0,147.0
19,47.0,14.446808510638299,27.244312139248358,0.0,0.0,7.0,21.0,161.0
20,46.0,16.58695652173913,25.74539966410959,0.0,1.75,10.5,21.0,140.0
21,42.0,15.333333333333334,29.54671098584918,0.0,0.0,7.0,14.0,161.0
22,33.0,9.969696969696969,25.780909662583728,0.0,0.0,0.0,14.0,147.0
23,39.0,25.487179487179485,69.62110682486718,0.0,0.0,7.0,10.5,308.0
24,45.0,16.955555555555556,36.753451016416975,0.0,0.0,7.0,14.0,189.0
25,36.0,13.416666666666666,26.740418844887227,0.0,0.0,7.0,14.0,140.0
26,42.0,17.333333333333332,33.52586672760897,0.0,0.0,7.0,14.0,154.0
27,45.0,12.133333333333333,24.49545412372003,0.0,0.0,7.0,14.0,154.0
28,48.0,12.833333333333334,25.844323903212953,0.0,0.0,7.0,14.0,161.0
29,49.0,11.428571428571429,22.351360883251232,0.0,0.0,7.0,14.0,147.0
30,39.0,12.564102564102564,27.916034697864266,0.0,0.0,7.0,14.0,175.0
31,24.0,7.875,28.476248684305922,0.0,0.0,0.0,1.75,140.0
32,48.0,11.8125,23.95266275785407,0.0,0.0,7.0,14.0,154.0
