id,count,mean,std,min,25%,50%,75%,max
0,29.0,35.96551724137931,36.31163013083578,7.0,7.0,21.0,49.0,140.0
1,39.0,38.76923076923077,51.63559642159433,7.0,7.0,21.0,38.5,266.0
2,35.0,44.4,49.95951301980905,7.0,14.0,28.0,56.0,224.0
3,40.0,39.2,47.866373829544926,7.0,7.0,17.5,56.0,182.0
4,27.0,39.925925925925924,48.139161992902594,7.0,7.0,21.0,52.5,154.0
5,36.0,40.833333333333336,41.84973118193234,7.0,14.0,35.0,49.0,203.0
6,23.0,26.17391304347826,33.25200222804505,7.0,7.0,7.0,28.0,140.0
7,38.0,34.81578947368421,65.4736816377216,7.0,7.0,7.0,40.25,371.0
8,37.0,28.56756756756757,39.36971519422606,7.0,7.0,7.0,28.0,147.0
9,36.0,27.61111111111111,33.5476443948669,7.0,7.0,14.0,35.0,147.0
10,12.0,22.166666666666668,38.32121020420873,7.0,7.0,7.0,12.25,140.0
11,13.0,24.76923076923077,39.14322812048474,7.0,7.0,7.0,14.0,140.0
12,23.0,42.608695652173914,56.747237922719265,7.0,7.0,14.0,56.0,224.0
13,38.0,17.31578947368421,25.66742099844154,7.0,7.0,7.0,21.0,140.0
14,33.0,36.06060606060606,44.9283731301414,7.0,7.0,14.0,42.0,210.0
15,15.0,42.0,48.92851929090027,7.0,7.0,14.0,66.5,140.0
16,39.0,40.38461538461539,42.44167228749009,7.0,7.0,28.0,52.5,224.0
17,39.0,45.05128205128205,52.1561162169827,7.0,14.0,35.0,63.0,301.0
18,39.0,29.076923076923077,27.373041497241704,7.0,7.0,21.0,42.0,140.0
19,42.0,24.5,26.5653818379319,7.0,7.0,14.0,35.0,140.0
20,36.0,32.47222222222222,50.370902094143375,7.0,7.0,7.0,42.0,238.0
21,36.0,48.22222222222222,60.789618996813736,7.0,7.0,28.0,50.75,273.0
22,26.0,16.96153846153846,28.22124131817135,7.0,7.0,7.0,14.0,140.0
23,37.0,43.891891891891895,53.17360653963987,7.0,7.0,21.0,49.0,273.0
24,35.0,37.8,43.42390233635903,7.0,7.0,21.0,38.5,196.0
25,20.0,19.6,30.520743593066083,7.0,7.0,7.0,21.0,140.0
26,36.0,47.44444444444444,58.377316751552655,7.0,14.0,21.0,64.75,245.0
27,32.0,46.15625,41.54058208159124,7.0,14.0,28.0,70.0,161.0
28,40.0,36.75,44.23639874988666,7.0,7.0,17.5,50.75,217.0
29,35.0,26.0,28.690026961625943,7.0,7.0,14.0,31.5,140.0
30,26.0,31.5,40.97242975465331,7.0,7.0,14.0,42.0,161.0
31,12.0,33.25,42.22477730174332,7.0,7.0,14.0,43.75,140.0
32,38.0,35.55263157894737,40.796593239076365,7.0,7.0,21.0,35.0,189.0
33,12.0,25.666666666666668,41.07052323489291,7.0,7.0,7.0,14.0,140.0
34,36.0,31.5,43.650887734386345,7.0,7.0,14.0,28.0,189.0
35,19.0,25.05263157894737,30.271867549133486,7.0,7.0,21.0,28.0,140.0
36,33.0,34.57575757575758,39.08966479696896,7.0,7.0,21.0,49.0,161.0
37,35.0,36.6,42.10574922320061,7.0,7.0,14.0,49.0,175.0
38,36.0,43.94444444444444,48.51506066275823,7.0,12.25,31.5,50.75,231.0
39,38.0,43.6578947368421,53.84024231692663,7.0,7.0,14.0,54.25,210.0
40,31.0,36.58064516129032,42.02758950463246,7.0,7.0,21.0,52.5,168.0
41,37.0,42.189189189189186,44.71504708076953,7.0,7.0,28.0,49.0,210.0
42,24.0,32.958333333333336,55.44482503524027,7.0,7.0,7.0,36.75,245.0
43,38.0,33.3421052631579,65.83569898097039,7.0,7.0,10.5,28.0,385.0
44,35.0,38.2,45.3760755827795,7.0,7.0,28.0,49.0,217.0
45,38.0,29.289473684210527,43.51322128666794,7.0,7.0,14.0,28.0,182.0
46,8.0,30.625,50.46904992170944,7.0,7.0,10.5,22.75,154.0
47,22.0,19.09090909090909,30.564388071443833,7.0,7.0,7.0,14.0,147.0
