id,count,mean,std,min,25%,50%,75%,max
0,39.0,9.153846153846153,23.61036621301225,0.0,0.0,7.0,7.0,147.0
1,45.0,10.733333333333333,23.9529842513507,0.0,0.0,7.0,14.0,154.0
2,43.0,15.13953488372093,27.787956791309053,0.0,0.0,7.0,14.0,161.0
3,44.0,14.636363636363637,23.621128607708457,0.0,0.0,7.0,14.0,140.0
4,42.0,13.333333333333334,23.84161832232959,0.0,0.0,7.0,14.0,147.0
5,45.0,12.133333333333333,25.256502313085814,0.0,0.0,7.0,14.0,154.0
6,34.0,16.470588235294116,36.51088280608752,0.0,0.0,7.0,14.0,161.0
7,48.0,12.979166666666666,24.24826344590152,0.0,0.0,7.0,8.75,140.0
8,51.0,12.901960784313726,22.590489062400383,0.0,0.0,7.0,14.0,140.0
9,56.0,8.625,23.004001628175278,0.0,0.0,3.5,7.0,168.0
10,24.0,8.166666666666666,31.282258712326506,0.0,0.0,0.0,1.75,154.0
11,35.0,12.8,29.1343742803219,0.0,0.0,0.0,7.0,147.0
12,34.0,24.5,66.63662201777183,0.0,0.0,7.0,14.0,364.0
13,58.0,8.448275862068966,19.65774916510928,0.0,0.0,7.0,7.0,140.0
14,44.0,12.25,25.1313988727712,0.0,0.0,7.0,14.0,161.0
15,34.0,10.911764705882353,28.483240842865055,0.0,0.0,0.0,7.0,147.0
16,44.0,14.159090909090908,23.74960776353529,0.0,5.25,7.0,14.0,154.0
17,38.0,15.105263157894736,28.02488225853147,0.0,0.0,7.0,14.0,161.0
18,50.0,9.66,20.585917516593717,0.0,0.0,7.0,7.0,140.0
19,49.0,12.0,25.238858928247925,0.0,0.0,7.0,14.0,147.0
20,45.0,21.155555555555555,58.404138846005026,0.0,0.0,7.0,14.0,364.0
21,39.0,10.58974358974359,24.611420058601748,0.0,0.0,7.0,7.0,147.0
22,36.0,8.555555555555555,25.98290035987344,0.0,0.0,0.0,7.0,154.0
23,38.0,22.842105263157894,71.32473370922125,0.0,0.0,7.0,14.0,427.0
24,48.0,11.083333333333334,23.80759161359494,0.0,0.0,7.0,14.0,161.0
25,36.0,11.277777777777779,25.003555302752,0.0,0.0,0.0,14.0,140.0
26,40.0,14.0,30.035022292360033,0.0,0.0,7.0,14.0,161.0
27,47.0,11.914893617021276,22.2757713839343,0.0,0.0,7.0,14.0,147.0
28,52.0,12.923076923076923,24.617741214493474,0.0,0.0,7.0,14.0,140.0
29,53.0,9.641509433962264,21.97471828787892,0.0,0.0,7.0,7.0,154.0
30,39.0,11.487179487179487,25.56814608975271,0.0,0.0,7.0,14.0,154.0
31,24.0,9.625,28.288594260185345,0.0,0.0,0.0,7.0,140.0
32,47.0,10.574468085106384,24.28700196370126,0.0,0.0,7.0,14.0,161.0
33,22.0,10.818181818181818,31.135091767874066,0.0,0.0,0.0,12.25,147.0
34,47.0,14.297872340425531,23.442728448578325,0.0,0.0,7.0,21.0,147.0
35,21.0,10.666666666666666,33.32316511577695,0.0,0.0,0.0,7.0,154.0
36,39.0,12.923076923076923,27.136482159034752,0.0,0.0,7.0,14.0,161.0
37,44.0,12.090909090909092,28.338336415221008,0.0,0.0,7.0,14.0,189.0
38,42.0,17.333333333333332,39.30224760324359,0.0,0.0,7.0,14.0,196.0
39,43.0,12.86046511627907,28.737383480448003,0.0,0.0,7.0,14.0,175.0
40,42.0,15.5,31.095643173767026,0.0,0.0,7.0,14.0,189.0
41,45.0,14.933333333333334,30.204153838353243,0.0,0.0,7.0,14.0,168.0
42,33.0,14.848484848484848,42.10041657463233,0.0,0.0,0.0,14.0,175.0
43,47.0,15.042553191489361,32.7672672347749,0.0,0.0,7.0,14.0,182.0
44,51.0,14.411764705882353,28.292880002282015,0.0,0.0,7.0,14.0,182.0
45,55.0,10.690909090909091,26.803035156539522,0.0,0.0,0.0,10.5,189.0
46,23.0,9.130434782608695,33.46681442838846,0.0,0.0,0.0,3.5,161.0
47,35.0,12.8,35.67236531348634,0.0,0.0,0.0,7.0,175.0
48,34.0,18.735294117647058,34.9669184121822,0.0,0.0,7.0,21.0,182.0
49,58.0,9.89655172413793,24.948852700248185,0.0,0.0,3.5,14.0,182.0
50,44.0,19.727272727272727,51.0450615502428,0.0,0.0,7.0,14.0,301.0
51,33.0,13.575757575757576,32.21803677972005,0.0,0.0,0.0,7.0,168.0
52,44.0,15.113636363636363,30.491490165550392,0.0,0.0,7.0,21.0,196.0
53,38.0,14.18421052631579,29.675593086500598,0.0,0.0,7.0,14.0,168.0
54,50.0,10.22,26.23775905065065,0.0,0.0,7.0,12.25,182.0
55,48.0,13.708333333333334,29.485631793629643,0.0,0.0,7.0,14.0,196.0
56,44.0,19.09090909090909,44.35838096622815,0.0,0.0,7.0,14.0,245.0
57,37.0,15.891891891891891,35.755950385746814,0.0,0.0,7.0,14.0,210.0
58,34.0,10.5,31.269357640871473,0.0,0.0,0.0,12.25,182.0
59,38.0,13.263157894736842,29.778174676354432,0.0,0.0,7.0,14.0,175.0
60,48.0,12.541666666666666,27.0129664163329,0.0,0.0,7.0,14.0,175.0
61,36.0,11.472222222222221,28.94179983653017,0.0,0.0,3.5,7.0,168.0
62,40.0,23.275,69.33973867108499,0.0,0.0,7.0,14.0,413.0
63,46.0,15.978260869565217,30.123072833099425,0.0,7.0,7.0,14.0,168.0
64,51.0,10.294117647058824,26.129901735480797,0.0,0.0,7.0,10.5,182.0
65,51.0,13.588235294117647,31.783754636976564,0.0,0.0,0.0,14.0,203.0
66,38.0,12.894736842105264,29.677354615192765,0.0,0.0,7.0,14.0,182.0
67,24.0,13.416666666666666,35.025353136247475,0.0,0.0,0.0,8.75,168.0
68,45.0,14.622222222222222,33.09716335612799,0.0,0.0,7.0,14.0,217.0
69,22.0,14.318181818181818,37.38396188287975,0.0,0.0,0.0,7.0,175.0
70,45.0,20.22222222222222,51.14013229659394,0.0,0.0,7.0,14.0,280.0
71,21.0,13.0,39.05508929704296,0.0,0.0,7.0,7.0,182.0
72,39.0,14.897435897435898,33.423750515397266,0.0,0.0,7.0,14.0,196.0
73,44.0,14.477272727272727,35.86504979837849,0.0,0.0,7.0,14.0,238.0
74,41.0,18.609756097560975,37.12672760207967,0.0,0.0,7.0,21.0,196.0
75,43.0,12.534883720930232,28.80339665585864,0.0,0.0,7.0,14.0,189.0
76,39.0,22.974358974358974,55.629170301147425,0.0,0.0,7.0,21.0,343.0
77,44.0,14.159090909090908,39.149055162092566,0.0,0.0,7.0,14.0,252.0
78,33.0,15.272727272727273,40.75864381274904,0.0,0.0,0.0,14.0,203.0
79,44.0,17.818181818181817,34.57265536436155,0.0,0.0,7.0,14.0,196.0
80,47.0,14.0,36.8386611662495,0.0,0.0,7.0,14.0,245.0
81,53.0,13.075471698113208,32.54573649059935,0.0,0.0,7.0,14.0,217.0
82,23.0,11.565217391304348,40.466401424747104,0.0,0.0,0.0,7.0,196.0
83,35.0,14.2,36.114035075186,0.0,0.0,0.0,10.5,203.0
84,31.0,26.870967741935484,53.7405755678667,0.0,0.0,7.0,24.5,231.0
85,56.0,10.375,25.745299659267022,0.0,0.0,7.0,14.0,189.0
86,41.0,15.536585365853659,37.123508428606,0.0,0.0,7.0,14.0,224.0
87,32.0,19.46875,86.16862102877126,0.0,0.0,0.0,7.0,490.0
88,43.0,18.232558139534884,33.85250726404199,0.0,0.0,7.0,24.5,203.0
89,37.0,18.54054054054054,48.67157200997234,0.0,0.0,7.0,14.0,294.0
90,49.0,12.285714285714286,31.158867116761485,0.0,0.0,7.0,14.0,203.0
91,47.0,16.382978723404257,36.32256047733932,0.0,0.0,7.0,14.0,224.0
92,43.0,15.465116279069768,29.52347640293616,0.0,0.0,7.0,17.5,189.0
93,37.0,12.675675675675675,36.292066820644344,0.0,0.0,7.0,14.0,224.0
94,33.0,16.96969696969697,46.46671177337926,0.0,0.0,7.0,7.0,238.0
95,37.0,12.675675675675675,34.79867019653836,0.0,0.0,7.0,7.0,210.0
96,47.0,20.404255319148938,42.55005215061847,0.0,0.0,7.0,21.0,231.0
97,32.0,19.46875,40.10308038607025,0.0,0.0,7.0,15.75,203.0
98,39.0,17.41025641025641,33.83374051595455,0.0,0.0,7.0,17.5,196.0
99,44.0,14.636363636363637,31.982619487153368,0.0,0.0,7.0,14.0,210.0
100,50.0,11.06,26.910592709934875,0.0,0.0,7.0,14.0,189.0
101,50.0,13.16,32.60797448477903,0.0,0.0,7.0,14.0,224.0
102,38.0,14.552631578947368,32.646093569063616,0.0,0.0,7.0,14.0,196.0
103,24.0,21.291666666666668,48.824868188487606,0.0,0.0,3.5,10.5,189.0
104,44.0,13.522727272727273,35.99191681627885,0.0,0.0,7.0,14.0,238.0
105,22.0,19.727272727272727,42.91429090217341,0.0,0.0,7.0,26.25,203.0
106,45.0,16.955555555555556,35.36366622522174,0.0,0.0,7.0,21.0,224.0
107,19.0,32.78947368421053,74.1931255780543,0.0,0.0,7.0,24.5,287.0
108,37.0,16.08108108108108,48.85714912907855,0.0,0.0,7.0,14.0,301.0
109,44.0,16.068181818181817,50.19654288442152,0.0,0.0,7.0,14.0,336.0
110,41.0,21.341463414634145,53.492807813806884,0.0,0.0,7.0,14.0,336.0
111,43.0,13.348837209302326,30.73379071108652,0.0,0.0,7.0,14.0,203.0
112,39.0,21.53846153846154,89.26007127426371,0.0,0.0,7.0,14.0,560.0
113,44.0,12.25,43.574648592960564,0.0,0.0,0.0,7.0,287.0
114,32.0,14.65625,38.68367111961225,0.0,0.0,0.0,14.0,217.0
115,44.0,24.022727272727273,57.21582503337229,0.0,5.25,7.0,14.0,322.0
116,47.0,14.595744680851064,44.1231771760297,0.0,0.0,7.0,14.0,301.0
117,52.0,13.057692307692308,34.34965163024445,0.0,0.0,7.0,8.75,238.0
118,23.0,16.73913043478261,44.60963755564317,0.0,0.0,0.0,7.0,210.0
119,33.0,19.303030303030305,41.63493488682675,0.0,0.0,0.0,21.0,224.0
120,28.0,27.5,62.17150710973875,0.0,0.0,7.0,14.0,245.0
121,53.0,11.622641509433961,31.72188422906322,0.0,0.0,0.0,14.0,217.0
122,41.0,20.146341463414632,52.2238264471351,0.0,0.0,7.0,14.0,259.0
123,32.0,22.96875,99.57182020547911,0.0,0.0,0.0,8.75,567.0
124,41.0,20.317073170731707,44.597331211850694,0.0,0.0,7.0,21.0,210.0
125,37.0,27.62162162162162,86.47425800373945,0.0,0.0,7.0,14.0,420.0
126,48.0,15.020833333333334,34.56507250952401,0.0,0.0,7.0,14.0,210.0
127,47.0,17.127659574468087,39.967713611862415,0.0,0.0,7.0,14.0,238.0
128,43.0,15.790697674418604,48.01614715485717,0.0,0.0,7.0,7.0,315.0
129,37.0,24.783783783783782,71.79683339316077,0.0,0.0,7.0,14.0,385.0
130,32.0,17.28125,48.20268656346328,0.0,0.0,0.0,7.0,252.0
131,36.0,23.13888888888889,71.16666666666666,0.0,0.0,7.0,14.0,378.0
132,44.0,21.954545454545453,44.466843956103865,0.0,0.0,7.0,21.0,210.0
133,32.0,28.875,85.65374782301726,0.0,0.0,0.0,21.0,476.0
134,38.0,16.210526315789473,42.44243025796227,0.0,0.0,7.0,14.0,238.0
135,43.0,18.88372093023256,36.867981528902604,0.0,0.0,7.0,21.0,217.0
136,50.0,11.48,34.37324540976601,0.0,0.0,7.0,7.0,245.0
137,49.0,14.714285714285714,39.57850847787639,0.0,0.0,7.0,14.0,266.0
138,38.0,10.5,34.08950857074057,0.0,0.0,0.0,7.0,210.0
139,23.0,18.565217391304348,50.94366414968645,0.0,0.0,0.0,7.0,231.0
