crossroad,amount
G,19.2
H,14.7
H,21.0
H,25.9
H,32.199999999999996
I,17.7
I,24.0
I,27.9
C,11.200000000000001
C,12.8
C,15.200000000000001
C,16.8
C,21.6
C,26.400000000000002
B,19.2
A,23.099999999999998
A,23.799999999999997
A,25.2
A,27.299999999999997
A,29.4
D,8.6
D,8.6
D,8.8
D,9.600000000000001
D,10.200000000000001
D,10.200000000000001
D,11.0
D,11.0
D,12.0
D,12.200000000000001
G,44.4
G,45.6
H,32.9
I,15.899999999999999
I,28.799999999999997
C,8.8
C,10.4
C,11.200000000000001
C,12.8
C,13.600000000000001
C,16.0
C,19.200000000000003
C,20.8
B,14.399999999999999
A,17.5
D,5.4
D,5.800000000000001
G,18.0
G,19.8
G,21.599999999999998
H,29.4
I,13.5
I,18.599999999999998
I,27.599999999999998
I,29.099999999999998
I,30.599999999999998
C,10.4
C,11.200000000000001
C,12.0
C,12.8
C,13.600000000000001
C,14.4
C,15.200000000000001
C,16.8
C,18.400000000000002
C,20.0
C,22.400000000000002
C,23.200000000000003
C,25.6
C,28.0
C,29.6
C,32.0
C,33.6
C,36.0
C,37.6
B,29.4
A,37.099999999999994
D,10.8
D,12.4
D,13.4
G,40.199999999999996
H,40.599999999999994
H,47.599999999999994
I,26.4
I,34.199999999999996
C,12.8
C,17.6
B,13.2
B,14.399999999999999
B,17.4
B,19.2
B,23.4
B,27.0
A,35.0
A,39.199999999999996
D,12.4
G,37.199999999999996
G,38.4
H,56.699999999999996
H,71.39999999999999
H,88.19999999999999
H,106.39999999999999
I,4.8
C,14.4
C,15.200000000000001
C,16.0
C,18.400000000000002
C,20.0
C,22.400000000000002
C,24.0
C,27.200000000000003
C,28.0
C,30.400000000000002
C,32.800000000000004
C,37.6
B,26.4
B,29.4
B,33.6
B,37.8
A,48.3
D,15.0
D,16.0
D,16.0
G,69.0
H,11.2
H,12.6
H,14.0
H,16.099999999999998
H,18.9
H,21.0
I,9.6
I,9.9
I,10.799999999999999
I,10.799999999999999
I,12.0
I,12.6
I,13.799999999999999
C,43.2
B,28.2
B,28.799999999999997
B,32.4
A,45.5
D,16.2
D,21.0
D,35.4
G,4.8
G,4.8
G,5.3999999999999995
