id,count,mean,std,min,25%,50%,75%,max
0,41.0,14.195121951219512,23.778372013444407,0.0,0.0,7.0,21.0,127.0
1,54.0,8.444444444444445,17.23496519164552,0.0,0.0,7.0,7.0,120.0
2,54.0,9.092592592592593,19.142236732260585,0.0,0.0,7.0,7.0,134.0
3,52.0,8.903846153846153,17.933711945181066,0.0,0.0,7.0,7.0,120.0
4,48.0,11.6875,21.015856475629427,0.0,0.0,7.0,14.0,134.0
5,55.0,9.309090909090909,20.105161238286758,0.0,0.0,7.0,10.5,141.0
6,34.0,10.529411764705882,23.667181335570284,0.0,0.0,0.0,12.25,127.0
7,58.0,11.482758620689655,20.47783686776558,0.0,0.0,7.0,14.0,120.0
8,57.0,12.175438596491228,21.74291576502361,0.0,0.0,7.0,14.0,141.0
9,59.0,9.271186440677965,20.0101961151831,0.0,0.0,7.0,7.0,134.0
10,24.0,7.625,25.810029226943005,0.0,0.0,0.0,7.0,127.0
11,35.0,11.82857142857143,23.705901119745683,0.0,0.0,0.0,17.5,120.0
12,41.0,13.682926829268293,24.469817147243095,0.0,0.0,7.0,14.0,134.0
13,61.0,8.39344262295082,18.799183216764668,0.0,0.0,7.0,7.0,134.0
14,54.0,11.814814814814815,25.299768120403623,0.0,0.0,7.0,12.25,133.0
15,36.0,10.916666666666666,22.240728405337805,0.0,0.0,0.0,14.0,120.0
16,51.0,11.686274509803921,21.881947076143327,0.0,0.0,7.0,14.0,141.0
17,50.0,13.18,22.98863073036632,0.0,0.0,7.0,14.0,141.0
18,54.0,11.296296296296296,18.781393471751258,0.0,0.0,7.0,14.0,127.0
19,54.0,10.518518518518519,19.084460477730715,0.0,0.0,7.0,14.0,120.0
20,56.0,12.017857142857142,22.19540580753231,0.0,0.0,7.0,14.0,148.0
21,51.0,11.549019607843137,20.96789328997093,0.0,0.0,7.0,14.0,134.0
22,34.0,10.735294117647058,23.09441598982043,0.0,0.0,0.0,12.25,127.0
23,50.0,13.04,26.823656936155654,0.0,0.0,7.0,14.0,148.0
24,55.0,10.709090909090909,21.24257842276069,0.0,0.0,7.0,14.0,148.0
25,33.0,18.060606060606062,29.13110386032792,0.0,0.0,7.0,14.0,120.0
26,52.0,12.403846153846153,22.949441118731883,0.0,0.0,7.0,7.0,134.0
27,53.0,10.716981132075471,18.31390535010799,0.0,0.0,7.0,14.0,127.0
28,57.0,11.192982456140351,18.045021668525198,0.0,0.0,7.0,14.0,120.0
29,56.0,9.892857142857142,19.99788949903425,0.0,0.0,7.0,7.0,141.0
30,42.0,9.69047619047619,22.330650592073507,0.0,0.0,3.5,12.25,141.0
31,24.0,10.541666666666666,25.395958539596958,0.0,0.0,7.0,7.0,127.0
32,55.0,9.818181818181818,18.817929697883297,0.0,0.0,7.0,14.0,134.0
33,22.0,13.727272727272727,27.46457773757009,0.0,0.0,3.5,12.25,120.0
34,54.0,11.425925925925926,21.589307147028805,0.0,0.0,7.0,14.0,148.0
35,21.0,10.047619047619047,27.4653894756222,0.0,0.0,0.0,7.0,127.0
36,40.0,13.5,26.913917855989943,0.0,0.0,7.0,14.0,155.0
37,53.0,9.660377358490566,20.40356623827015,0.0,0.0,7.0,7.0,141.0
38,53.0,9.79245283018868,20.08286534353069,0.0,0.0,7.0,14.0,141.0
39,51.0,10.03921568627451,23.39911176460656,0.0,0.0,7.0,14.0,162.0
40,46.0,13.26086956521739,23.43163557871537,0.0,1.75,7.0,14.0,155.0
41,54.0,10.648148148148149,23.629336904443083,0.0,0.0,7.0,14.0,169.0
42,34.0,10.735294117647058,26.022494725315156,0.0,0.0,3.5,7.0,148.0
43,53.0,16.264150943396228,28.192436890466418,0.0,0.0,7.0,21.0,162.0
44,55.0,11.854545454545455,26.381403510398215,0.0,0.0,7.0,14.0,190.0
45,57.0,12.912280701754385,27.747767414536764,0.0,0.0,0.0,14.0,169.0
46,23.0,9.478260869565217,30.616201244702555,0.0,0.0,0.0,7.0,148.0
47,34.0,18.764705882352942,37.220114164195174,0.0,0.0,0.0,12.25,155.0
48,41.0,16.24390243902439,27.93007383431422,0.0,0.0,7.0,21.0,162.0
49,59.0,10.576271186440678,22.299840257530924,0.0,0.0,7.0,14.0,155.0
50,51.0,13.607843137254902,28.258859447169872,0.0,0.0,7.0,7.0,162.0
