id,count,mean,std,min,25%,50%,75%,max
0,29.0,19.448275862068964,23.554778415576244,7.0,7.0,14.0,21.0,130.0
1,44.0,24.431818181818183,21.29351656678922,7.0,7.0,21.0,29.75,130.0
2,37.0,25.64864864864865,23.771149899985225,7.0,7.0,21.0,35.0,130.0
3,37.0,23.945945945945947,24.691368201532768,7.0,7.0,14.0,28.0,130.0
4,28.0,23.142857142857142,29.601944738059565,7.0,7.0,7.0,28.0,130.0
5,43.0,20.767441860465116,21.58685359337983,7.0,7.0,14.0,21.0,130.0
6,17.0,26.58823529411765,30.089572162813756,7.0,7.0,21.0,28.0,130.0
7,35.0,29.514285714285716,35.84802187386226,7.0,7.0,14.0,35.0,133.0
8,30.0,26.5,32.20810564074698,7.0,7.0,10.5,36.75,130.0
9,30.0,17.866666666666667,24.507188717814508,7.0,7.0,7.0,14.0,130.0
10,11.0,21.363636363636363,36.46991287972245,7.0,7.0,7.0,17.5,130.0
11,14.0,15.785714285714286,32.8731327552282,7.0,7.0,7.0,7.0,130.0
12,24.0,28.458333333333332,34.63973487029106,7.0,7.0,7.0,36.75,130.0
13,37.0,14.486486486486486,21.143191209808762,7.0,7.0,7.0,14.0,130.0
14,35.0,30.114285714285714,40.30382512030007,7.0,7.0,14.0,35.0,175.0
15,26.0,21.153846153846153,25.945623611996385,7.0,7.0,14.0,21.0,130.0
16,42.0,22.595238095238095,27.227191863488166,7.0,7.0,14.0,26.25,130.0
17,23.0,69.56521739130434,125.05410686686292,7.0,14.0,28.0,52.5,560.0
18,37.0,21.486486486486488,25.80656852390451,7.0,7.0,7.0,28.0,130.0
19,39.0,20.564102564102566,22.8896608144317,7.0,7.0,14.0,21.0,130.0
20,36.0,19.555555555555557,27.646177151843453,7.0,7.0,7.0,15.75,130.0
21,31.0,64.70967741935483,136.03411178778828,7.0,10.5,14.0,35.0,574.0
22,18.0,21.22222222222222,30.533598765863996,7.0,7.0,7.0,19.25,130.0
23,26.0,75.26923076923077,151.17236723483765,7.0,7.0,14.0,38.5,693.0
24,34.0,25.441176470588236,24.817138721688906,7.0,7.0,21.0,35.0,130.0
25,18.0,18.5,29.1189245114905,7.0,7.0,7.0,19.25,130.0
26,30.0,54.733333333333334,113.17637542359707,7.0,7.0,14.0,26.25,490.0
27,36.0,25.583333333333332,27.825348155953055,7.0,7.0,14.0,35.0,130.0
28,47.0,19.893617021276597,22.04662454944184,7.0,7.0,7.0,28.0,130.0
29,37.0,19.405405405405407,22.57882422322525,7.0,7.0,14.0,21.0,130.0
30,25.0,22.28,26.83207036365252,7.0,7.0,14.0,28.0,130.0
31,13.0,21.846153846153847,36.8348706025648,7.0,7.0,7.0,7.0,130.0
32,37.0,22.243243243243242,23.225232214370028,7.0,7.0,14.0,28.0,130.0
33,12.0,19.583333333333332,35.31535420216315,7.0,7.0,7.0,8.75,130.0
34,38.0,22.026315789473685,26.534512805844535,7.0,7.0,7.0,28.0,130.0
35,14.0,21.285714285714285,33.7078593241959,7.0,7.0,7.0,12.25,130.0
36,30.0,20.666666666666668,24.954210940804373,7.0,7.0,14.0,21.0,137.0
37,39.0,25.23076923076923,25.433568305708377,7.0,14.0,14.0,31.5,151.0
38,41.0,25.195121951219512,26.355473352033655,7.0,7.0,14.0,35.0,144.0
39,35.0,25.514285714285716,28.008792137019938,7.0,7.0,21.0,31.5,151.0
40,30.0,22.533333333333335,27.949132777038106,7.0,7.0,14.0,28.0,144.0
41,40.0,23.55,27.217028983095613,7.0,7.0,14.0,28.0,151.0
42,21.0,23.523809523809526,29.068228442096448,7.0,7.0,14.0,28.0,137.0
43,43.0,27.930232558139537,39.59641358749866,7.0,7.0,7.0,24.5,168.0
44,36.0,26.166666666666668,31.670175244226233,7.0,7.0,10.5,35.0,158.0
45,39.0,15.897435897435898,26.374623840465397,7.0,7.0,7.0,14.0,165.0
46,15.0,18.933333333333334,35.17195852759222,7.0,7.0,7.0,10.5,144.0
47,16.0,18.625,32.37051127183505,7.0,7.0,7.0,14.0,137.0
48,22.0,34.54545454545455,45.24612824554297,7.0,7.0,17.5,35.0,161.0
49,31.0,17.967741935483872,27.442647917633288,7.0,7.0,7.0,17.5,151.0
50,37.0,31.324324324324323,46.57255632884031,7.0,7.0,7.0,28.0,189.0
51,23.0,26.956521739130434,32.797558474637,7.0,7.0,14.0,31.5,137.0
52,38.0,24.236842105263158,31.087873894361014,7.0,7.0,10.5,28.0,151.0
53,29.0,65.06896551724138,128.9288095463325,7.0,7.0,21.0,49.0,630.0
54,33.0,24.939393939393938,30.039494205482423,7.0,7.0,14.0,28.0,144.0
55,38.0,22.210526315789473,25.36347437059713,7.0,7.0,17.5,26.25,151.0
56,37.0,23.37837837837838,35.965532381983714,7.0,7.0,7.0,21.0,140.0
57,27.0,76.62962962962963,151.72245616158375,7.0,10.5,21.0,42.0,602.0
58,26.0,16.03846153846154,26.991081148010007,7.0,7.0,7.0,14.0,144.0
59,26.0,77.6923076923077,150.70707195902102,7.0,14.0,21.0,33.25,700.0
60,37.0,26.594594594594593,30.185039947573976,7.0,7.0,14.0,35.0,158.0
61,21.0,21.19047619047619,32.716385875611394,7.0,7.0,7.0,21.0,151.0
62,31.0,65.38709677419355,150.61975908876295,7.0,7.0,14.0,28.0,651.0
63,36.0,28.88888888888889,31.26090920693838,7.0,7.0,14.0,42.0,144.0
64,41.0,24.0,26.774988328662253,7.0,7.0,14.0,28.0,144.0
65,36.0,22.86111111111111,27.5298827539175,7.0,7.0,14.0,28.0,151.0
66,24.0,22.041666666666668,32.39226849066016,7.0,7.0,7.0,21.0,158.0
67,13.0,24.0,39.202465908834526,7.0,7.0,7.0,14.0,144.0
68,36.0,23.055555555555557,30.90810753040553,7.0,7.0,14.0,28.0,179.0
69,11.0,23.90909090909091,38.76713697309757,7.0,7.0,7.0,21.0,137.0
70,40.0,20.05,27.236805791861673,7.0,7.0,14.0,21.0,165.0
71,12.0,21.916666666666668,37.12499362309914,7.0,7.0,7.0,17.5,137.0
72,32.0,22.0,29.735392184854344,7.0,7.0,7.0,28.0,158.0
73,41.0,22.975609756097562,27.266726797397272,7.0,7.0,14.0,28.0,165.0
74,37.0,21.864864864864863,32.26639304477834,7.0,7.0,14.0,21.0,179.0
75,37.0,26.405405405405407,30.607242660901413,7.0,7.0,21.0,28.0,172.0
76,31.0,23.612903225806452,33.57447186911988,7.0,7.0,14.0,24.5,179.0
77,41.0,23.829268292682926,32.38587843414502,7.0,7.0,14.0,21.0,200.0
78,17.0,31.941176470588236,39.39617777817299,7.0,7.0,21.0,42.0,172.0
79,35.0,30.914285714285715,46.543067613309965,7.0,7.0,7.0,17.5,172.0
80,42.0,25.595238095238095,34.85724162701873,7.0,7.0,7.0,38.5,193.0
81,35.0,20.314285714285713,33.90624741025432,7.0,7.0,14.0,21.0,207.0
82,13.0,24.0,40.64890322423636,7.0,7.0,14.0,21.0,158.0
83,18.0,20.055555555555557,38.45313759434558,7.0,7.0,7.0,14.0,172.0
84,25.0,39.36,50.81000557632981,7.0,7.0,14.0,49.0,179.0
85,37.0,17.513513513513512,27.56267768561685,7.0,7.0,7.0,14.0,172.0
86,34.0,34.911764705882355,46.64525546502564,7.0,7.0,14.0,33.25,186.0
