id,count,mean,std,min,25%,50%,75%,max
0,34.0,29.852941176470587,38.81434626443976,7.0,7.0,14.0,33.25,147.0
1,39.0,41.64102564102564,43.11947122728174,7.0,7.0,28.0,56.0,189.0
2,34.0,43.64705882352941,48.89561073003487,7.0,8.75,24.5,47.25,168.0
3,37.0,39.16216216216216,42.111962877755026,7.0,14.0,28.0,42.0,168.0
4,34.0,30.264705882352942,32.36469159488602,7.0,7.0,14.0,42.0,140.0
5,29.0,49.0,51.710733895391584,7.0,14.0,28.0,70.0,217.0
6,16.0,23.625,32.72078849905668,7.0,7.0,14.0,28.0,140.0
7,43.0,32.55813953488372,32.47145436898707,7.0,7.0,21.0,35.0,140.0
8,35.0,30.8,35.172516008283246,7.0,7.0,14.0,35.0,140.0
9,39.0,22.615384615384617,25.76780466172895,7.0,7.0,14.0,28.0,140.0
10,8.0,27.125,46.64895497221776,7.0,7.0,7.0,14.0,140.0
11,8.0,30.625,44.733935664101814,7.0,12.25,14.0,22.75,140.0
12,22.0,32.77272727272727,40.089105298526725,7.0,7.0,10.5,43.75,140.0
13,36.0,22.36111111111111,25.804930622740383,7.0,7.0,14.0,28.0,140.0
14,39.0,34.64102564102564,56.02184121980658,7.0,7.0,14.0,35.0,315.0
15,15.0,40.13333333333333,44.0711545874018,7.0,7.0,21.0,77.0,140.0
16,36.0,40.05555555555556,46.51140839741483,7.0,14.0,21.0,42.0,210.0
17,32.0,58.40625,74.90030336085687,7.0,14.0,28.0,68.25,392.0
18,36.0,33.638888888888886,40.776150436798765,7.0,7.0,10.5,50.75,168.0
19,41.0,26.975609756097562,35.4023218199584,7.0,7.0,14.0,35.0,140.0
20,35.0,42.8,79.42802883558097,7.0,7.0,14.0,35.0,357.0
21,33.0,48.15151515151515,46.02724818797639,7.0,21.0,28.0,63.0,196.0
22,30.0,17.266666666666666,26.044965538181412,7.0,7.0,7.0,14.0,140.0
23,36.0,54.05555555555556,74.13036564803328,7.0,14.0,28.0,52.5,357.0
24,39.0,32.12820512820513,35.71906426485464,7.0,7.0,14.0,38.5,140.0
25,19.0,20.263157894736842,30.680870089905923,7.0,7.0,7.0,17.5,140.0
26,31.0,48.774193548387096,57.02555548606803,7.0,7.0,21.0,84.0,210.0
27,37.0,35.945945945945944,55.9553125002175,7.0,7.0,14.0,42.0,301.0
28,44.0,29.272727272727273,32.06995524783763,7.0,7.0,14.0,36.75,140.0
29,36.0,33.638888888888886,30.66422091696517,7.0,7.0,28.0,49.0,140.0
30,25.0,33.32,40.780632658162624,7.0,14.0,14.0,28.0,161.0
31,10.0,53.9,46.438609415490085,7.0,15.75,45.5,87.5,140.0
32,35.0,40.6,40.13301413461755,7.0,7.0,28.0,56.0,147.0
33,8.0,27.125,46.19659078330348,7.0,7.0,7.0,17.5,140.0
34,36.0,32.083333333333336,46.68457989529305,7.0,7.0,7.0,35.0,224.0
35,11.0,22.90909090909091,39.73274353843325,7.0,7.0,7.0,14.0,140.0
