id,count,mean,std,min,25%,50%,75%,max
0,39.0,12.205128205128204,24.392815472873508,0.0,0.0,7.0,14.0,147.0
1,48.0,12.395833333333334,22.750954699007952,0.0,0.0,7.0,14.0,154.0
2,48.0,11.8125,21.763385462940057,0.0,0.0,7.0,14.0,147.0
3,47.0,13.25531914893617,23.86052596554509,0.0,0.0,7.0,14.0,154.0
4,44.0,12.409090909090908,23.478162225351358,0.0,0.0,7.0,14.0,147.0
5,48.0,12.833333333333334,24.133787856697023,0.0,0.0,7.0,14.0,154.0
6,34.0,10.5,26.431443625371887,0.0,0.0,0.0,7.0,140.0
7,47.0,16.680851063829788,29.248639048962026,0.0,0.0,7.0,21.0,161.0
8,51.0,12.352941176470589,24.553471061674163,0.0,0.0,7.0,14.0,168.0
9,54.0,12.833333333333334,25.32114486666214,0.0,0.0,0.0,14.0,161.0
10,23.0,10.956521739130435,28.615758946410132,0.0,0.0,7.0,7.0,140.0
11,35.0,13.6,27.05462883087607,0.0,0.0,7.0,14.0,147.0
12,37.0,20.243243243243242,32.69930801629821,0.0,0.0,7.0,28.0,140.0
13,58.0,10.5,23.68377192576341,0.0,0.0,7.0,7.0,161.0
14,44.0,13.681818181818182,26.276501773534193,0.0,0.0,7.0,15.75,154.0
15,35.0,12.4,24.194311436417298,0.0,0.0,7.0,14.0,140.0
16,46.0,14.152173913043478,25.96148205947877,0.0,7.0,7.0,14.0,168.0
17,35.0,20.8,38.54622892976539,0.0,0.0,7.0,17.5,168.0
18,47.0,14.297872340425531,26.553403854199527,0.0,0.0,7.0,17.5,161.0
19,49.0,14.428571428571429,25.49673181671199,0.0,0.0,7.0,21.0,147.0
20,49.0,18.857142857142858,29.290214520666567,0.0,0.0,7.0,21.0,140.0
21,34.0,19.352941176470587,34.078236503794564,0.0,0.0,7.0,19.25,154.0
22,34.0,11.117647058823529,25.509077060484145,0.0,0.0,3.5,14.0,147.0
23,36.0,17.88888888888889,39.258686229221226,0.0,0.0,7.0,14.0,175.0
24,48.0,13.125,25.11981924992567,0.0,0.0,7.0,14.0,168.0
25,35.0,15.4,26.070267039856187,0.0,0.0,7.0,21.0,140.0
26,34.0,21.0,34.03207043630784,0.0,0.0,7.0,19.25,154.0
27,47.0,11.46808510638298,22.44302066764302,0.0,0.0,7.0,10.5,147.0
