id,count,mean,std,min,25%,50%,75%,max
0,32.0,28.875,28.154813946945143,7.0,7.0,24.5,35.0,140.0
1,42.0,35.333333333333336,31.417461873440793,7.0,7.0,21.0,56.0,140.0
2,34.0,39.94117647058823,30.07258005727556,7.0,14.0,38.5,49.0,140.0
3,36.0,34.02777777777778,28.453958912210755,7.0,7.0,31.5,49.0,140.0
4,28.0,36.5,44.12230476502534,7.0,7.0,14.0,57.75,140.0
5,37.0,30.27027027027027,25.669533009482752,7.0,14.0,21.0,42.0,140.0
6,15.0,35.46666666666667,35.64080058958646,7.0,10.5,21.0,49.0,140.0
7,37.0,39.54054054054054,49.777613550780146,7.0,7.0,14.0,42.0,182.0
8,36.0,31.305555555555557,34.31269606298973,7.0,7.0,14.0,43.75,140.0
9,37.0,21.945945945945947,23.80469835271314,7.0,7.0,14.0,28.0,140.0
10,6.0,31.5,53.44810567269901,7.0,7.0,7.0,17.5,140.0
11,18.0,16.72222222222222,31.225565610768662,7.0,7.0,7.0,12.25,140.0
12,20.0,49.0,59.310068373981125,7.0,7.0,17.5,98.0,210.0
13,44.0,15.272727272727273,21.149922905311836,7.0,7.0,7.0,15.75,140.0
14,33.0,41.57575757575758,59.188802943963935,7.0,7.0,14.0,28.0,217.0
15,19.0,24.68421052631579,32.94617265173089,7.0,7.0,14.0,24.5,140.0
16,36.0,29.36111111111111,30.66422091696517,7.0,7.0,21.0,42.0,140.0
17,26.0,83.46153846153847,147.7371262125349,7.0,14.0,35.0,68.25,665.0
18,36.0,27.61111111111111,26.295331229030836,7.0,7.0,21.0,42.0,140.0
19,44.0,24.977272727272727,27.606444003684015,7.0,7.0,14.0,35.0,140.0
20,34.0,38.911764705882355,53.287878914587004,7.0,7.0,14.0,40.25,189.0
21,27.0,62.22222222222222,125.1947201311539,7.0,14.0,21.0,38.5,609.0
22,24.0,17.208333333333332,27.53808298507276,7.0,7.0,7.0,14.0,140.0
23,31.0,65.25806451612904,120.27495381886052,7.0,7.0,21.0,42.0,588.0
24,39.0,30.153846153846153,26.63845504997226,7.0,7.0,21.0,42.0,140.0
25,24.0,17.208333333333332,27.06992421676591,7.0,7.0,7.0,14.0,140.0
26,28.0,63.75,121.9203215826419,7.0,12.25,28.0,49.0,623.0
27,36.0,33.05555555555556,32.9015366071421,7.0,7.0,21.0,45.5,140.0
28,45.0,25.822222222222223,28.661257417770017,7.0,7.0,14.0,35.0,140.0
29,27.0,26.703703703703702,29.25329016973964,7.0,7.0,14.0,38.5,140.0
30,30.0,25.666666666666668,31.430638833330516,7.0,7.0,14.0,33.25,140.0
31,12.0,25.666666666666668,40.19347150365531,7.0,7.0,7.0,15.75,140.0
32,33.0,37.121212121212125,35.84232621475409,7.0,14.0,21.0,56.0,140.0
33,16.0,18.375,33.01893396219811,7.0,7.0,7.0,14.0,140.0
34,35.0,31.6,35.86920684932969,7.0,7.0,7.0,52.5,140.0
35,13.0,26.384615384615383,36.83643681089523,7.0,7.0,7.0,28.0,140.0
36,34.0,26.558823529411764,30.134236219180483,7.0,7.0,14.0,35.0,161.0
37,43.0,31.093023255813954,27.55065806273822,7.0,7.0,21.0,49.0,147.0
38,40.0,29.75,30.316070038250384,7.0,7.0,17.5,36.75,161.0
39,38.0,32.973684210526315,31.929387329683184,7.0,7.0,21.0,49.0,168.0
40,28.0,39.0,40.702170294305766,7.0,7.0,21.0,43.75,154.0
41,36.0,35.388888888888886,30.98781122384161,7.0,14.0,31.5,43.75,161.0
42,17.0,40.35294117647059,43.400664131540935,7.0,7.0,21.0,56.0,154.0
43,35.0,44.0,65.34838762131689,7.0,7.0,7.0,35.0,217.0
44,39.0,31.94871794871795,37.96185669988448,7.0,7.0,14.0,42.0,175.0
45,38.0,21.736842105263158,30.697903978563392,7.0,7.0,7.0,28.0,182.0
46,15.0,21.466666666666665,35.738867730618814,7.0,7.0,7.0,21.0,147.0
47,16.0,23.1875,37.10385200128598,7.0,7.0,10.5,15.75,154.0
48,24.0,42.0,52.70756071496516,7.0,7.0,17.5,43.75,182.0
49,34.0,18.735294117647058,27.985178786798112,7.0,7.0,10.5,19.25,161.0
50,35.0,38.8,61.78368335905334,7.0,7.0,14.0,38.5,287.0
51,24.0,24.5,31.7106483281453,7.0,7.0,14.0,22.75,147.0
52,33.0,30.96969696969697,35.436108745604436,7.0,7.0,14.0,42.0,189.0
53,23.0,98.91304347826087,159.79615225868187,7.0,14.0,42.0,80.5,672.0
54,36.0,27.416666666666668,26.264995716732944,7.0,12.25,21.0,36.75,147.0
55,44.0,22.59090909090909,27.749140511993055,7.0,7.0,14.0,22.75,161.0
56,36.0,40.25,56.38306483333449,7.0,7.0,7.0,57.75,182.0
57,29.0,65.89655172413794,133.01996220427813,7.0,7.0,14.0,49.0,637.0
58,27.0,15.037037037037036,28.381306796879095,7.0,7.0,7.0,10.5,154.0
59,30.0,70.46666666666667,128.4560124184025,7.0,8.75,24.5,54.25,644.0
60,36.0,37.916666666666664,37.43060245307307,7.0,14.0,28.0,50.75,182.0
61,20.0,22.4,33.578501894421734,7.0,7.0,7.0,21.0,147.0
62,29.0,57.206896551724135,95.7796501314885,7.0,14.0,21.0,42.0,448.0
63,35.0,39.0,39.242833740697165,7.0,7.0,21.0,59.5,154.0
64,43.0,32.23255813953488,32.264411478624794,7.0,7.0,21.0,42.0,161.0
65,37.0,26.675675675675677,29.736858959560283,7.0,7.0,14.0,28.0,168.0
66,31.0,30.258064516129032,40.22765859615785,7.0,7.0,14.0,38.5,189.0
67,16.0,23.625,36.31689230463789,7.0,7.0,14.0,15.75,147.0
68,38.0,36.28947368421053,34.51823481655225,7.0,8.75,24.5,54.25,175.0
69,12.0,23.916666666666668,41.300359525913294,7.0,7.0,14.0,15.75,154.0
70,38.0,30.394736842105264,38.65966504355965,7.0,7.0,14.0,35.0,154.0
71,21.0,20.333333333333332,30.98279092227382,7.0,7.0,7.0,21.0,147.0
72,29.0,30.17241379310345,35.35338836611729,7.0,7.0,21.0,42.0,189.0
73,38.0,37.94736842105263,34.23996982224378,7.0,14.0,28.0,56.0,182.0
74,32.0,30.84375,34.37845290575986,7.0,12.25,21.0,35.0,182.0
75,36.0,29.944444444444443,34.19519134485302,7.0,12.25,17.5,42.0,189.0
76,31.0,30.70967741935484,33.310852634326345,7.0,14.0,21.0,42.0,182.0
77,44.0,32.45454545454545,34.659442517192005,7.0,7.0,21.0,42.0,189.0
78,16.0,34.125,41.5994791634062,7.0,7.0,24.5,36.75,175.0
79,30.0,46.9,77.12388153774599,7.0,7.0,7.0,33.25,322.0
80,44.0,27.84090909090909,36.99399271271963,7.0,7.0,14.0,28.0,196.0
81,34.0,26.352941176470587,36.47737559750267,7.0,7.0,14.0,28.0,203.0
82,12.0,25.083333333333332,43.09494451120969,7.0,7.0,14.0,15.75,161.0
83,24.0,20.416666666666668,34.038235108115735,7.0,7.0,7.0,14.0,168.0
84,25.0,40.04,51.73689850258389,7.0,7.0,14.0,35.0,168.0
85,34.0,21.0,29.092329510777173,7.0,7.0,14.0,26.25,168.0
86,29.0,53.10344827586207,87.26001572786694,7.0,7.0,7.0,49.0,322.0
87,24.0,26.541666666666668,34.78502822200662,7.0,7.0,17.5,29.75,175.0
88,36.0,30.72222222222222,35.54683920938369,7.0,7.0,21.0,42.0,196.0
89,27.0,75.70370370370371,131.60454014111744,7.0,7.0,21.0,49.0,504.0
90,37.0,27.43243243243243,32.13646297046787,7.0,7.0,14.0,35.0,189.0
91,43.0,21.976744186046513,28.3141293788211,7.0,7.0,14.0,28.0,182.0
92,34.0,40.76470588235294,56.93274012723893,7.0,7.0,10.5,40.25,196.0
93,28.0,83.5,156.92921263352397,7.0,7.0,38.5,56.0,630.0
94,25.0,17.92,32.65082949431249,7.0,7.0,7.0,14.0,168.0
95,30.0,78.16666666666667,132.40900149975045,7.0,15.75,35.0,47.25,651.0
96,37.0,36.32432432432432,40.54356645364072,7.0,7.0,21.0,56.0,196.0
97,17.0,24.705882352941178,46.57220832465747,7.0,7.0,7.0,7.0,161.0
98,30.0,59.733333333333334,104.43903792968489,7.0,7.0,21.0,52.5,427.0
