id,count,mean,std,min,25%,50%,75%,max
0,39.0,12.025641025641026,25.33822489886853,0.0,0.0,7.0,14.0,154.0
1,46.0,9.58695652173913,21.50511679366515,0.0,0.0,7.0,12.25,140.0
2,47.0,15.638297872340425,27.663683249936575,0.0,0.0,7.0,14.0,154.0
3,46.0,12.630434782608695,25.882949081202025,0.0,0.0,7.0,7.0,147.0
4,41.0,17.073170731707318,28.69354478267058,0.0,0.0,7.0,14.0,147.0
5,46.0,13.695652173913043,26.927779596722452,0.0,0.0,7.0,14.0,161.0
6,34.0,11.529411764705882,25.43707065052612,0.0,0.0,0.0,14.0,140.0
7,47.0,13.404255319148936,23.43692698960347,0.0,0.0,7.0,14.0,154.0
8,49.0,14.714285714285714,29.87822506999593,0.0,0.0,7.0,14.0,168.0
9,55.0,11.327272727272728,21.950326535540082,0.0,0.0,7.0,14.0,147.0
10,23.0,8.521739130434783,29.31780341086188,0.0,0.0,0.0,3.5,140.0
11,35.0,12.2,29.811959700369762,0.0,0.0,0.0,7.0,154.0
12,34.0,17.91176470588235,34.040410608087576,0.0,0.0,7.0,19.25,168.0
13,57.0,8.964912280701755,23.05580567749903,0.0,0.0,0.0,7.0,161.0
14,44.0,13.522727272727273,23.455537984801122,0.0,0.0,7.0,21.0,140.0
15,33.0,14.636363636363637,32.615964440188435,0.0,0.0,0.0,7.0,154.0
16,44.0,11.931818181818182,23.367038728579143,0.0,0.0,7.0,14.0,147.0
17,42.0,13.666666666666666,30.53000656424771,0.0,0.0,7.0,12.25,161.0
18,50.0,8.26,22.167092727734957,0.0,0.0,0.0,7.0,154.0
19,48.0,12.6875,22.770040273186897,0.0,0.0,7.0,14.0,140.0
20,43.0,16.767441860465116,27.754739800534047,0.0,0.0,7.0,17.5,147.0
21,41.0,11.951219512195122,23.95615914489653,0.0,0.0,7.0,14.0,147.0
22,36.0,8.555555555555555,24.712569900985837,0.0,0.0,0.0,7.0,140.0
23,40.0,16.1,38.575799508141216,0.0,0.0,7.0,14.0,203.0
24,43.0,13.348837209302326,25.276455938406425,0.0,0.0,7.0,14.0,161.0
25,36.0,13.222222222222221,27.53502819642242,0.0,0.0,7.0,14.0,154.0
26,43.0,13.511627906976743,24.790908561140345,0.0,0.0,7.0,14.0,154.0
27,46.0,11.717391304347826,22.959542236511272,0.0,0.0,7.0,14.0,147.0
28,50.0,9.94,20.547019248543087,0.0,0.0,7.0,7.0,140.0
29,50.0,13.02,25.612887381160288,0.0,0.0,7.0,14.0,161.0
30,40.0,10.85,27.590921955581226,0.0,0.0,0.0,8.75,168.0
31,24.0,9.333333333333334,28.874039290122468,0.0,0.0,0.0,7.0,140.0
32,47.0,11.02127659574468,24.499768731563417,0.0,0.0,7.0,7.0,154.0
