id,count,mean,std,min,25%,50%,75%,max
0,39.0,13.461538461538462,26.2596810757943,0.0,0.0,7.0,14.0,161.0
1,45.0,9.8,23.897128013063146,0.0,0.0,7.0,7.0,154.0
2,43.0,15.465116279069768,27.519126541033152,0.0,0.0,7.0,14.0,140.0
3,45.0,12.28888888888889,23.319541378445034,0.0,0.0,7.0,14.0,154.0
4,45.0,13.688888888888888,25.104166823840057,0.0,0.0,7.0,14.0,154.0
5,45.0,11.355555555555556,24.98559180767584,0.0,0.0,7.0,14.0,161.0
6,34.0,8.235294117647058,24.27751026065745,0.0,0.0,0.0,7.0,140.0
7,45.0,17.57777777777778,30.933571707545486,0.0,7.0,7.0,21.0,154.0
8,53.0,10.037735849056604,23.599186967865375,0.0,0.0,7.0,14.0,168.0
9,56.0,8.0,21.03935705896322,0.0,0.0,0.0,7.0,154.0
10,24.0,8.458333333333334,28.675059859937768,0.0,0.0,0.0,1.75,140.0
11,35.0,13.2,28.142285537854203,0.0,0.0,0.0,10.5,147.0
12,35.0,18.2,34.00588184417513,0.0,0.0,7.0,17.5,140.0
13,58.0,7.844827586206897,20.443161876618095,0.0,0.0,0.0,7.0,147.0
14,43.0,21.325581395348838,46.58209390815549,0.0,0.0,7.0,14.0,238.0
15,32.0,15.09375,37.00249283232755,0.0,0.0,0.0,8.75,154.0
16,42.0,15.333333333333334,27.838967834337907,0.0,0.0,7.0,21.0,175.0
17,39.0,14.717948717948717,24.02405452211411,0.0,0.0,7.0,21.0,140.0
18,46.0,16.73913043478261,27.310099704939194,0.0,0.0,7.0,14.0,147.0
19,48.0,13.708333333333334,25.74833878825214,0.0,0.0,7.0,14.0,154.0
20,44.0,17.181818181818183,29.792517187009665,0.0,0.0,7.0,15.75,161.0
21,41.0,22.878048780487806,58.54579195892358,0.0,0.0,7.0,14.0,343.0
22,36.0,8.36111111111111,24.865527230373466,0.0,0.0,0.0,7.0,147.0
23,36.0,23.52777777777778,74.87341168784668,0.0,0.0,7.0,14.0,434.0
