id,count,mean,std,min,25%,50%,75%,max
0,33.0,25.87878787878788,34.84587276112981,7.0,7.0,7.0,28.0,140.0
1,32.0,44.84375,46.29157895619963,7.0,14.0,28.0,56.0,196.0
2,30.0,47.36666666666667,46.53028923284223,7.0,14.0,28.0,61.25,196.0
3,37.0,35.75675675675676,38.19060777890976,7.0,7.0,21.0,49.0,147.0
4,34.0,34.588235294117645,32.1446707464473,7.0,14.0,24.5,42.0,140.0
5,33.0,44.121212121212125,43.83688342577342,7.0,14.0,35.0,49.0,203.0
6,22.0,27.363636363636363,30.771887997149136,7.0,7.0,14.0,35.0,140.0
7,38.0,38.68421052631579,50.47081322108575,7.0,7.0,21.0,49.0,266.0
8,37.0,36.891891891891895,53.12238688150211,7.0,7.0,7.0,42.0,238.0
9,37.0,20.62162162162162,25.927625069445558,7.0,7.0,7.0,21.0,140.0
10,8.0,31.5,45.67274898667694,7.0,7.0,10.5,31.5,140.0
11,12.0,25.666666666666668,37.91217922163448,7.0,7.0,7.0,28.0,140.0
12,16.0,54.6875,65.52731618696639,7.0,7.0,24.5,78.75,238.0
13,40.0,18.2,24.290126726928708,7.0,7.0,7.0,14.0,140.0
14,36.0,32.47222222222222,43.735886612457946,7.0,7.0,14.0,49.0,224.0
15,21.0,31.666666666666668,38.57114638344748,7.0,7.0,14.0,35.0,140.0
16,36.0,42.583333333333336,45.191260216993285,7.0,14.0,21.0,63.0,196.0
17,32.0,60.15625,78.31001640502215,7.0,7.0,45.5,63.0,350.0
18,33.0,26.09090909090909,31.122101909619268,7.0,7.0,14.0,28.0,140.0
19,33.0,28.424242424242426,35.81901581477908,7.0,7.0,14.0,35.0,154.0
20,35.0,32.0,35.82555775190798,7.0,7.0,21.0,42.0,154.0
21,31.0,60.516129032258064,93.13856020923592,7.0,10.5,35.0,70.0,455.0
22,22.0,17.5,28.638552104927836,7.0,7.0,7.0,14.0,140.0
23,32.0,56.21875,96.9212298641897,7.0,7.0,21.0,49.0,427.0
24,43.0,32.55813953488372,46.80522067217014,7.0,7.0,21.0,42.0,280.0
25,21.0,19.333333333333332,29.52513053880259,7.0,7.0,7.0,21.0,140.0
26,32.0,56.0,71.69559306202947,7.0,14.0,21.0,61.25,315.0
27,37.0,37.270270270270274,48.10442844516538,7.0,7.0,21.0,56.0,252.0
28,41.0,29.536585365853657,32.363635117965046,7.0,7.0,14.0,35.0,140.0
29,41.0,24.585365853658537,34.3329110401056,7.0,7.0,14.0,28.0,168.0
30,26.0,31.23076923076923,38.04450834725842,7.0,7.0,17.5,28.0,140.0
31,16.0,27.125,34.56563804319737,7.0,7.0,10.5,36.75,140.0
32,33.0,45.18181818181818,52.2395052531215,7.0,7.0,21.0,70.0,217.0
33,11.0,21.636363636363637,39.77756334234847,7.0,7.0,7.0,10.5,140.0
34,36.0,28.194444444444443,38.28525971063944,7.0,7.0,14.0,29.75,182.0
35,17.0,22.647058823529413,32.128533222959675,7.0,7.0,7.0,21.0,140.0
36,33.0,27.363636363636363,38.43486225243479,7.0,7.0,7.0,28.0,161.0
37,32.0,46.375,52.975800927130564,7.0,7.0,24.5,57.75,210.0
38,35.0,40.2,45.439552607573845,7.0,14.0,21.0,52.5,224.0
39,32.0,46.15625,47.83648855316174,7.0,14.0,28.0,64.75,224.0
40,32.0,39.375,46.424235884065496,7.0,14.0,28.0,42.0,196.0
41,34.0,47.14705882352941,51.01344585257901,7.0,8.75,35.0,56.0,210.0
42,17.0,28.41176470588235,36.244066451505915,7.0,7.0,14.0,21.0,147.0
43,42.0,34.333333333333336,46.863406425361546,7.0,7.0,21.0,40.25,252.0
44,42.0,33.166666666666664,48.0284045360287,7.0,7.0,14.0,35.0,210.0
45,31.0,23.93548387096774,33.16819308099349,7.0,7.0,21.0,21.0,182.0
46,17.0,16.88235294117647,33.939067372537615,7.0,7.0,7.0,7.0,147.0
47,16.0,17.9375,36.50473713551891,7.0,7.0,7.0,8.75,154.0
48,24.0,51.041666666666664,77.38580881400091,7.0,7.0,21.0,50.75,315.0
49,43.0,18.72093023255814,25.17966449093333,7.0,7.0,14.0,17.5,161.0
50,36.0,41.02777777777778,57.75143095870247,7.0,7.0,21.0,49.0,322.0
51,26.0,30.423076923076923,33.94486479799038,7.0,7.0,17.5,54.25,154.0
52,36.0,40.638888888888886,42.4581493290092,7.0,7.0,24.5,56.0,168.0
53,30.0,61.13333333333333,79.81086838672837,7.0,14.0,42.0,89.25,427.0
54,30.0,32.666666666666664,34.798269213135946,7.0,7.0,21.0,42.0,161.0
55,42.0,25.166666666666668,35.426266035291555,7.0,7.0,14.0,26.25,168.0
56,32.0,43.53125,46.96531621760206,7.0,7.0,31.5,56.0,210.0
57,28.0,80.25,98.59968634913677,7.0,14.0,56.0,85.75,441.0
58,23.0,25.565217391304348,35.54360457363541,7.0,7.0,7.0,28.0,161.0
59,28.0,48.75,67.39745296868915,7.0,7.0,21.0,56.0,301.0
60,35.0,39.4,50.53723147052955,7.0,14.0,21.0,45.5,273.0
61,25.0,22.12,32.05765639177844,7.0,7.0,7.0,14.0,154.0
62,34.0,57.029411764705884,74.96038763770508,7.0,7.0,28.0,66.5,322.0
63,35.0,35.4,42.74631047030292,7.0,7.0,14.0,49.0,189.0
64,39.0,35.8974358974359,37.462117617805006,7.0,7.0,14.0,56.0,147.0
65,40.0,26.075,30.118047660361302,7.0,7.0,21.0,28.0,168.0
66,31.0,26.193548387096776,35.783068020912445,7.0,7.0,14.0,28.0,175.0
67,17.0,32.94117647058823,38.24178112391487,7.0,7.0,14.0,35.0,147.0
68,33.0,42.0,46.4327470649756,7.0,14.0,28.0,42.0,196.0
69,14.0,19.0,39.25655261325073,7.0,7.0,7.0,7.0,154.0
70,36.0,27.416666666666668,39.71712477005354,7.0,7.0,14.0,22.75,175.0
71,15.0,25.2,38.41353927979041,7.0,7.0,7.0,24.5,154.0
72,31.0,28.677419354838708,42.554582281092586,7.0,7.0,14.0,28.0,182.0
73,34.0,40.970588235294116,53.39758551692607,7.0,7.0,14.0,42.0,196.0
74,34.0,40.14705882352941,49.98432017957848,7.0,7.0,17.5,59.5,189.0
75,38.0,41.81578947368421,45.58322075308798,7.0,8.75,21.0,66.5,196.0
76,22.0,45.81818181818182,61.39539021289742,7.0,7.0,21.0,57.75,231.0
77,37.0,40.2972972972973,48.17091380633065,7.0,7.0,28.0,49.0,210.0
78,15.0,34.53333333333333,48.675113422227035,7.0,7.0,14.0,31.5,182.0
79,43.0,33.04651162790697,42.505995929074295,7.0,7.0,21.0,38.5,210.0
80,39.0,33.02564102564103,49.103803679170134,7.0,7.0,14.0,28.0,217.0
81,38.0,28.18421052631579,45.4085688205746,7.0,7.0,14.0,28.0,210.0
82,16.0,25.8125,40.79414786461411,7.0,7.0,10.5,22.75,168.0
83,20.0,17.85,38.840124396787076,7.0,7.0,7.0,14.0,182.0
84,25.0,50.68,84.85316729503974,7.0,7.0,14.0,49.0,378.0
85,38.0,21.55263157894737,31.48976441890118,7.0,7.0,14.0,28.0,196.0
86,39.0,26.025641025641026,34.47843504468995,7.0,7.0,14.0,21.0,175.0
87,20.0,37.45,42.68671061534133,7.0,7.0,24.5,50.75,182.0
88,37.0,38.972972972972975,48.82024084246119,7.0,7.0,21.0,35.0,189.0
89,29.0,58.172413793103445,85.63213222246377,7.0,14.0,28.0,56.0,406.0
90,39.0,29.974358974358974,38.27152794901135,7.0,7.0,14.0,35.0,175.0
91,39.0,27.28205128205128,34.17212523461092,7.0,7.0,14.0,35.0,189.0
92,35.0,36.4,45.16779175214021,7.0,7.0,21.0,49.0,210.0
93,30.0,65.33333333333333,96.3715272493272,7.0,14.0,28.0,73.5,427.0
