id,count,mean,std,min,25%,50%,75%,max
0,5.0,49.8,84.1647194494225,7.0,7.0,14.0,21.0,200.0
1,7.0,31.571428571428573,77.53248167243012,0.0,0.0,0.0,7.0,207.0
2,6.0,42.666666666666664,84.67978900934195,0.0,0.0,7.0,24.5,214.0
3,7.0,30.571428571428573,74.78381541228721,0.0,0.0,0.0,7.0,200.0
4,4.0,57.0,100.48880534666536,0.0,0.0,10.5,67.5,207.0
5,8.0,33.75,73.25639903789975,0.0,0.0,10.5,15.75,214.0
6,6.0,34.5,81.12644451718565,0.0,0.0,0.0,5.25,200.0
7,5.0,61.0,98.58245279967424,0.0,7.0,21.0,42.0,235.0
8,6.0,55.5,84.85458149092482,7.0,21.0,24.5,28.0,228.0
9,9.0,31.555555555555557,69.7246568853356,0.0,0.0,7.0,14.0,214.0
10,5.0,40.0,89.44271909999159,0.0,0.0,0.0,0.0,200.0
11,7.0,29.571428571428573,78.23864591291004,0.0,0.0,0.0,0.0,207.0
12,4.0,64.0,105.03015440021657,0.0,10.5,17.5,71.0,221.0
13,8.0,30.25,71.78091668403239,0.0,0.0,3.5,10.5,207.0
14,4.0,79.75,100.01458227012031,0.0,5.25,52.5,127.0,214.0
15,4.0,62.25,93.65317221891988,0.0,5.25,24.5,81.5,200.0
16,5.0,44.2,98.83420460549071,0.0,0.0,0.0,0.0,221.0
17,7.0,43.57142857142857,85.6287668618772,0.0,0.0,7.0,31.5,235.0
18,8.0,29.375,71.95224110477727,0.0,0.0,3.5,8.75,207.0
19,5.0,65.2,76.24434405252629,14.0,28.0,42.0,42.0,200.0
20,5.0,63.8,85.03352280130466,7.0,21.0,35.0,42.0,214.0
21,6.0,38.0,86.40370362432388,0.0,0.0,0.0,10.5,214.0
22,5.0,41.4,92.57321426849128,0.0,0.0,0.0,0.0,207.0
23,6.0,47.333333333333336,95.61310928249674,0.0,3.5,14.0,14.0,242.0
24,6.0,47.333333333333336,88.57463895871474,7.0,8.75,14.0,14.0,228.0
