id,count,mean,std,min,25%,50%,75%,max
0,4.0,51.75,103.5,0.0,0.0,0.0,51.75,207.0
1,7.0,30.571428571428573,74.78381541228721,0.0,0.0,0.0,7.0,200.0
2,5.0,45.6,94.2035031195762,0.0,0.0,7.0,7.0,214.0
3,7.0,31.571428571428573,77.53248167243012,0.0,0.0,0.0,7.0,207.0
4,3.0,99.33333333333333,94.87008660970713,28.0,45.5,63.0,135.0,207.0
5,8.0,33.75,75.84523716094505,0.0,5.25,7.0,14.0,221.0
6,6.0,33.333333333333336,81.6496580927726,0.0,0.0,0.0,0.0,200.0
7,5.0,51.2,106.71785230222731,0.0,0.0,7.0,7.0,242.0
8,6.0,60.166666666666664,84.03669833273239,7.0,12.25,35.0,47.25,228.0
9,10.0,26.3,66.50822839652582,0.0,0.0,3.5,7.0,214.0
10,5.0,41.4,88.71189322745852,0.0,0.0,0.0,7.0,200.0
11,6.0,42.666666666666664,81.06458330656284,0.0,1.75,14.0,21.0,207.0
12,4.0,60.5,107.4569681314339,0.0,0.0,10.5,71.0,221.0
13,6.0,39.166666666666664,89.14576078909568,0.0,0.0,3.5,7.0,221.0
14,4.0,76.25,89.08189116387985,7.0,33.25,45.5,88.5,207.0
15,4.0,60.5,93.52539762011173,7.0,7.0,17.5,71.0,200.0
16,5.0,54.0,97.95917517006765,0.0,0.0,14.0,28.0,228.0
17,7.0,49.57142857142857,75.20606611804916,0.0,10.5,14.0,49.0,214.0
18,8.0,32.0,68.33739825307956,0.0,0.0,10.5,15.75,200.0
19,6.0,54.333333333333336,82.60427753250231,7.0,14.0,21.0,38.5,221.0
20,5.0,62.4,81.49417157073259,14.0,21.0,28.0,42.0,207.0
21,6.0,41.5,91.43030132292029,0.0,1.75,7.0,7.0,228.0
22,5.0,41.4,92.57321426849128,0.0,0.0,0.0,0.0,207.0
23,6.0,41.5,101.65382432550189,0.0,0.0,0.0,0.0,249.0
24,6.0,38.0,89.69503888175755,0.0,0.0,0.0,5.25,221.0
25,5.0,44.2,87.56825908969529,0.0,0.0,0.0,21.0,200.0
26,5.0,48.4,92.70544752062847,0.0,7.0,7.0,14.0,214.0
27,5.0,48.4,96.66074694517935,0.0,0.0,7.0,14.0,221.0
28,6.0,34.5,81.12644451718565,0.0,0.0,0.0,5.25,200.0
29,8.0,30.25,71.78091668403239,0.0,0.0,3.5,10.5,207.0
30,8.0,38.125,78.42273267363232,0.0,0.0,7.0,22.75,228.0
31,6.0,40.333333333333336,82.00894260180816,0.0,1.75,7.0,17.5,207.0
32,7.0,37.57142857142857,87.1203327642427,0.0,3.5,7.0,7.0,235.0
33,4.0,50.0,100.0,0.0,0.0,0.0,50.0,200.0
34,8.0,50.375,80.7163242473293,0.0,0.0,17.5,54.25,235.0
35,4.0,50.0,100.0,0.0,0.0,0.0,50.0,200.0
36,4.0,67.5,108.816359064251,0.0,0.0,21.0,88.5,228.0
37,7.0,33.57142857142857,79.74094962827473,0.0,0.0,0.0,10.5,214.0
38,5.0,55.4,104.9418886813078,0.0,0.0,7.0,28.0,242.0
39,6.0,47.333333333333336,89.56487406716244,0.0,0.0,14.0,28.0,228.0
40,3.0,239.33333333333334,372.9079421698247,0.0,24.5,49.0,359.0,669.0
41,7.0,49.57142857142857,82.82482949546218,0.0,10.5,21.0,35.0,235.0
42,6.0,36.833333333333336,86.83873943503939,0.0,0.0,0.0,5.25,214.0
43,5.0,59.6,110.29188546760817,0.0,7.0,7.0,28.0,256.0
44,5.0,58.2,122.36298459910171,0.0,0.0,7.0,7.0,277.0
45,9.0,27.666666666666668,77.8090611689924,0.0,0.0,0.0,7.0,235.0
46,5.0,44.2,98.83420460549071,0.0,0.0,0.0,0.0,221.0
47,6.0,49.666666666666664,94.493738769649,0.0,8.75,14.0,19.25,242.0
48,4.0,74.5,107.4569681314339,14.0,14.0,24.5,85.0,235.0
49,5.0,58.2,110.83636587329991,0.0,7.0,7.0,21.0,256.0
50,4.0,83.25,108.32474324917645,0.0,26.25,45.5,102.5,242.0
51,4.0,67.5,99.05049217444606,7.0,7.0,24.5,85.0,214.0
52,5.0,51.2,102.79202303680962,0.0,7.0,7.0,7.0,235.0
53,6.0,45.0,89.8042315261369,0.0,7.0,10.5,14.0,228.0
54,8.0,35.5,81.90238091777309,0.0,0.0,0.0,15.75,235.0
55,6.0,49.666666666666664,98.11353967045868,0.0,7.0,7.0,22.75,249.0
56,3.0,197.33333333333334,299.8671928259797,7.0,24.5,42.0,292.5,543.0
57,6.0,47.333333333333336,99.38946959646513,0.0,0.0,3.5,22.75,249.0
58,5.0,47.0,105.09519494249011,0.0,0.0,0.0,0.0,235.0
59,6.0,52.0,107.65686229869418,0.0,0.0,3.5,28.0,270.0
60,6.0,67.16666666666667,101.52520212571194,0.0,0.0,10.5,110.25,242.0
61,4.0,64.0,101.13687095548619,0.0,5.25,21.0,79.75,214.0
62,5.0,61.0,105.67639282261672,0.0,7.0,21.0,28.0,249.0
63,5.0,52.6,98.22321517849026,0.0,7.0,14.0,14.0,228.0
64,6.0,45.0,93.50080213559667,0.0,0.0,7.0,19.25,235.0
