id,count,mean,std,min,25%,50%,75%,max
0,4.0,170.75,37.3217988133834,126.0,147.0,177.0,200.75,203.0
1,7.0,102.57142857142857,67.22315360761039,21.0,49.0,112.0,143.5,200.0
2,6.0,117.33333333333333,95.59846581753636,21.0,52.5,87.5,172.75,266.0
3,7.0,107.57142857142857,69.42827748321079,35.0,49.0,84.0,168.0,200.0
4,4.0,181.25,137.73979091025222,7.0,133.0,187.5,235.75,343.0
5,8.0,68.75,59.90409001061614,7.0,33.25,56.0,77.0,200.0
6,6.0,80.0,75.56454194925024,7.0,24.5,59.5,120.75,200.0
7,5.0,58.2,80.40024875583408,7.0,14.0,28.0,42.0,200.0
8,6.0,94.0,73.57445208766423,7.0,35.0,105.0,127.75,200.0
9,7.0,51.57142857142857,67.34700474125816,7.0,14.0,35.0,45.5,200.0
10,5.0,79.2,76.8615638664736,7.0,21.0,70.0,98.0,200.0
11,5.0,59.6,79.49402493269541,7.0,21.0,28.0,42.0,200.0
12,4.0,149.75,120.34499020178059,28.0,64.75,138.5,223.5,294.0
13,8.0,76.625,66.34097527169766,7.0,35.0,52.5,120.75,200.0
14,4.0,144.5,75.58879987581935,49.0,101.5,159.5,202.5,210.0
15,4.0,114.75,74.34771908628625,49.0,54.25,105.0,165.5,200.0
16,5.0,69.4,79.03037390775776,7.0,14.0,42.0,84.0,200.0
17,7.0,83.57142857142857,64.88928299510673,14.0,45.5,56.0,112.0,200.0
18,8.0,67.0,62.353829072479584,7.0,22.75,63.0,80.5,200.0
19,5.0,105.8,87.08731250876905,14.0,42.0,77.0,196.0,200.0
20,6.0,106.83333333333333,80.77478979648704,14.0,50.75,87.5,179.75,203.0
21,6.0,95.16666666666667,60.24422517276379,21.0,71.75,80.5,110.25,200.0
22,3.0,115.66666666666667,77.03462424996525,49.0,73.5,98.0,149.0,200.0
23,6.0,101.0,73.63151499188375,7.0,43.75,115.5,140.0,200.0
24,5.0,140.8,81.73860776891175,70.0,70.0,112.0,200.0,252.0
25,6.0,99.83333333333333,84.98097826376599,7.0,38.5,77.0,176.25,203.0
26,6.0,102.16666666666667,79.76319117654876,14.0,57.75,70.0,169.25,203.0
27,6.0,127.83333333333333,90.42436987154882,7.0,70.0,129.5,197.25,231.0
28,7.0,98.57142857142857,86.78682147049966,7.0,35.0,77.0,152.5,231.0
29,8.0,70.5,58.974570791146924,7.0,45.5,66.5,77.0,200.0
30,6.0,75.33333333333333,74.569877743407,7.0,21.0,52.5,110.25,200.0
31,5.0,83.4,78.85302784294336,14.0,21.0,56.0,126.0,200.0
32,7.0,82.57142857142857,67.16114239364194,21.0,31.5,56.0,119.0,200.0
33,5.0,48.4,84.8192195201064,7.0,7.0,14.0,14.0,200.0
34,6.0,97.5,68.39225102305085,14.0,47.25,108.5,122.5,200.0
35,3.0,141.33333333333334,52.70041113059113,98.0,112.0,126.0,163.0,200.0
36,4.0,141.0,86.91758548571553,21.0,105.0,168.0,204.0,207.0
37,7.0,109.57142857142857,69.088969555825,7.0,66.5,119.0,147.0,214.0
38,6.0,127.83333333333333,104.286943893599,42.0,56.0,80.5,186.75,294.0
39,7.0,103.57142857142857,72.18461780475843,21.0,49.0,77.0,161.0,207.0
40,3.0,118.0,87.72684879784524,42.0,70.0,98.0,156.0,214.0
41,8.0,71.375,70.25044483844924,14.0,21.0,52.5,78.75,221.0
42,4.0,74.5,90.0425825188653,7.0,28.0,42.0,88.5,207.0
43,5.0,79.2,94.2480769034573,14.0,21.0,42.0,77.0,242.0
44,3.0,185.66666666666666,47.60602202803058,140.0,161.0,182.0,208.5,235.0
45,9.0,57.22222222222222,68.24913511865512,14.0,21.0,28.0,49.0,228.0
46,5.0,69.4,81.1067198202467,7.0,28.0,28.0,77.0,207.0
47,6.0,50.833333333333336,80.61864962070915,7.0,10.5,21.0,31.5,214.0
48,4.0,149.75,145.11460987784793,21.0,31.5,131.5,249.75,315.0
49,7.0,78.57142857142857,69.45467861096459,7.0,35.0,56.0,101.5,214.0
50,4.0,156.75,82.92315719990405,35.0,145.25,185.5,197.0,221.0
51,4.0,130.5,53.194611255903226,84.0,105.0,115.5,141.0,207.0
52,5.0,80.6,88.75133801808286,14.0,21.0,42.0,98.0,228.0
53,7.0,96.57142857142857,73.57729981196,21.0,56.0,63.0,119.0,242.0
54,8.0,72.25,68.70589494359272,7.0,29.75,52.5,89.25,214.0
55,5.0,115.6,99.35693231979336,7.0,21.0,126.0,207.0,217.0
56,3.0,188.0,47.94788837894741,133.0,171.5,210.0,215.5,221.0
57,6.0,81.16666666666667,79.81582967473724,14.0,24.5,56.0,108.5,221.0
58,4.0,67.5,99.05049217444606,7.0,7.0,24.5,85.0,214.0
59,2.0,159.5,126.572113832392,70.0,114.75,159.5,204.25,249.0
60,6.0,119.66666666666667,93.21087204112332,7.0,59.5,98.0,199.5,235.0
61,5.0,114.2,82.05912502580077,28.0,42.0,105.0,189.0,207.0
62,6.0,113.83333333333333,73.66794870679287,7.0,78.75,105.0,168.0,207.0
63,4.0,118.25,84.4289642243703,42.0,57.75,101.5,162.0,228.0
64,5.0,153.4,86.69659739574558,42.0,77.0,210.0,217.0,221.0
65,6.0,87.0,74.98799903984637,7.0,36.75,73.5,115.5,214.0
66,6.0,91.66666666666667,84.76241305358565,21.0,29.75,59.5,131.25,235.0
67,4.0,99.0,85.59205570612264,21.0,42.0,80.5,137.5,214.0
68,6.0,99.83333333333333,86.06141218145719,28.0,40.25,63.0,143.5,242.0
69,5.0,54.0,85.72630868059116,7.0,14.0,21.0,21.0,207.0
70,5.0,91.8,75.52946444931277,7.0,70.0,77.0,91.0,214.0
71,3.0,162.33333333333334,65.01025560119983,98.0,129.5,161.0,194.5,228.0
72,2.0,163.0,82.02438661763951,105.0,134.0,163.0,192.0,221.0
73,6.0,117.33333333333333,75.74342655746878,21.0,78.75,108.5,143.5,242.0
74,3.0,94.66666666666667,127.78627991037743,14.0,21.0,28.0,135.0,242.0
75,6.0,113.83333333333333,105.62086283810916,14.0,29.75,80.5,202.5,252.0
76,3.0,267.3333333333333,318.77473760217157,56.0,84.0,112.0,373.0,634.0
77,7.0,95.57142857142857,81.67181713593568,14.0,52.5,84.0,101.5,263.0
78,6.0,62.5,84.44110373508863,7.0,14.0,28.0,63.0,228.0
79,3.0,141.33333333333334,96.40712283505475,63.0,87.5,112.0,180.5,249.0
80,3.0,216.0,189.91313803947318,7.0,135.0,263.0,320.5,378.0
81,9.0,60.333333333333336,72.18552486475389,14.0,28.0,35.0,56.0,249.0
82,4.0,85.0,95.73226554650562,28.0,33.25,42.0,93.75,228.0
83,7.0,53.57142857142857,84.2038343205683,7.0,10.5,28.0,38.5,242.0
84,4.0,167.25,159.86530788969404,28.0,38.5,142.0,270.75,357.0
85,5.0,82.0,101.95096860746347,21.0,35.0,35.0,56.0,263.0
86,3.0,195.0,127.85929766739687,49.0,149.0,249.0,268.0,287.0
87,2.0,131.5,146.37110370561533,28.0,79.75,131.5,183.25,235.0
88,5.0,91.8,90.74800273284255,28.0,28.0,49.0,112.0,242.0
89,7.0,97.57142857142857,81.71262069565742,28.0,45.5,63.0,119.0,263.0
90,5.0,96.0,84.18135185419631,35.0,42.0,42.0,133.0,228.0
