id,count,mean,std,min,25%,50%,75%,max
0,4.0,130.5,110.8347117708768,7.0,54.25,135.0,211.25,245.0
1,7.0,107.57142857142857,61.97003884366794,7.0,80.5,98.0,143.5,200.0
2,5.0,112.8,57.294851426633436,49.0,84.0,98.0,133.0,200.0
3,6.0,109.16666666666667,83.06483411568742,21.0,57.75,77.0,172.75,224.0
4,3.0,216.0,78.2368199762746,147.0,173.5,200.0,250.5,301.0
5,7.0,92.57142857142857,63.65232947519712,21.0,45.5,77.0,129.5,200.0
6,6.0,76.5,67.04848991588104,7.0,49.0,52.5,87.5,200.0
7,4.0,60.5,93.17546171963231,7.0,12.25,17.5,65.75,200.0
8,6.0,102.16666666666667,74.42423440430319,28.0,38.5,91.0,159.25,200.0
9,9.0,45.55555555555556,61.481930498137245,7.0,7.0,21.0,49.0,200.0
10,5.0,82.0,74.7562706399938,7.0,42.0,56.0,105.0,200.0
11,5.0,65.2,76.24434405252629,14.0,28.0,42.0,42.0,200.0
12,4.0,102.5,82.49646457071155,21.0,42.0,94.5,155.0,200.0
13,6.0,129.0,74.2563128629479,49.0,61.25,129.5,190.25,217.0
14,4.0,139.25,80.26362812631884,70.0,70.0,135.0,204.25,217.0
15,4.0,149.75,95.3567861594898,63.0,73.5,138.5,214.75,259.0
16,5.0,89.0,73.17103251970687,14.0,42.0,70.0,119.0,200.0
17,7.0,82.57142857142857,64.55709912642487,7.0,42.0,70.0,108.5,200.0
18,8.0,73.125,62.40292461095073,14.0,21.0,63.0,99.75,200.0
19,5.0,94.6,69.66204131375997,7.0,70.0,98.0,98.0,200.0
20,5.0,126.8,89.34875488779907,49.0,63.0,77.0,200.0,245.0
21,6.0,85.83333333333333,67.95415120996411,28.0,35.0,63.0,117.25,200.0
22,3.0,85.33333333333333,99.55065712155461,21.0,28.0,35.0,117.5,200.0
23,6.0,99.83333333333333,56.77470093859294,56.0,59.5,77.0,120.75,200.0
24,6.0,113.83333333333333,90.98003443979711,7.0,57.75,91.0,174.5,245.0
25,4.0,123.5,74.65699342102297,28.0,85.75,133.0,170.75,200.0
26,5.0,97.4,64.0882204465064,49.0,49.0,70.0,119.0,200.0
27,5.0,143.6,105.47416745345753,35.0,49.0,147.0,200.0,287.0
28,5.0,124.0,73.19494518066121,42.0,49.0,161.0,168.0,200.0
29,7.0,84.57142857142857,62.38551419161648,21.0,42.0,63.0,112.0,200.0
30,8.0,46.0,67.08203932499369,7.0,12.25,17.5,36.75,200.0
31,6.0,63.666666666666664,75.26132251473307,14.0,15.75,24.5,85.75,200.0
32,6.0,87.0,76.00789432683949,7.0,40.25,59.5,136.5,200.0
33,2.0,103.5,136.47160876900367,7.0,55.25,103.5,151.75,200.0
34,6.0,57.833333333333336,74.19815810831605,7.0,14.0,24.5,66.5,200.0
35,4.0,79.75,85.17188503256224,7.0,28.0,56.0,107.75,200.0
36,4.0,125.25,110.16162368689622,7.0,43.75,135.0,216.5,224.0
37,7.0,112.57142857142857,63.9735808566243,14.0,80.5,98.0,154.0,207.0
38,5.0,104.4,77.60025773153076,14.0,77.0,77.0,133.0,221.0
39,5.0,129.6,102.08476869739187,28.0,49.0,98.0,214.0,259.0
40,2.0,163.0,72.12489168102785,112.0,137.5,163.0,188.5,214.0
41,7.0,85.57142857142857,71.71902849048534,14.0,45.5,56.0,105.0,228.0
42,5.0,86.2,69.84769144359747,35.0,49.0,56.0,84.0,207.0
43,5.0,65.2,103.50458927023477,7.0,7.0,28.0,35.0,249.0
44,5.0,105.8,82.44210089511304,35.0,56.0,63.0,140.0,235.0
45,9.0,54.111111111111114,70.78743611059177,7.0,14.0,28.0,63.0,228.0
46,5.0,83.4,75.28811327161812,14.0,35.0,70.0,91.0,207.0
