id,count,mean,std,min,25%,50%,75%,max
0,33.0,22.515151515151516,25.04011932394844,7.0,7.0,14.0,28.0,120.0
1,38.0,23.42105263157895,27.049136049496706,7.0,7.0,7.0,33.25,120.0
2,39.0,23.53846153846154,23.46200304842991,7.0,7.0,14.0,31.5,120.0
3,37.0,20.45945945945946,24.935020658809478,7.0,7.0,14.0,21.0,120.0
4,30.0,18.933333333333334,25.352594009065534,7.0,7.0,7.0,19.25,120.0
5,38.0,19.92105263157895,23.446755758927008,7.0,7.0,7.0,21.0,120.0
6,18.0,17.555555555555557,27.09291685645622,7.0,7.0,7.0,14.0,120.0
7,47.0,16.404255319148938,25.08564423561818,7.0,7.0,7.0,14.0,133.0
8,34.0,20.823529411764707,23.470769168214186,7.0,7.0,7.0,28.0,120.0
9,31.0,16.29032258064516,21.87569968159053,7.0,7.0,7.0,14.0,120.0
10,9.0,21.11111111111111,37.371260496685295,7.0,7.0,7.0,7.0,120.0
11,13.0,20.0,31.026870075253587,7.0,7.0,7.0,14.0,120.0
12,16.0,19.3125,28.979806187527664,7.0,7.0,7.0,15.75,120.0
13,35.0,14.228571428571428,19.6993366778229,7.0,7.0,7.0,14.0,120.0
14,40.0,15.95,21.682972168300225,7.0,7.0,7.0,15.75,120.0
15,18.0,22.61111111111111,27.744928288817654,7.0,7.0,10.5,26.25,120.0
16,35.0,23.428571428571427,24.772239816904293,7.0,7.0,14.0,28.0,120.0
17,38.0,23.236842105263158,24.252538691885896,7.0,7.0,14.0,33.25,120.0
18,41.0,17.26829268292683,21.300263367202646,7.0,7.0,7.0,14.0,120.0
19,35.0,17.82857142857143,21.6366868648459,7.0,7.0,7.0,21.0,120.0
20,32.0,16.0,20.91303035692526,7.0,7.0,7.0,21.0,120.0
21,46.0,22.391304347826086,21.868778618406417,7.0,7.0,14.0,28.0,120.0
22,20.0,18.6,31.332512120630767,7.0,7.0,7.0,8.75,120.0
23,36.0,23.944444444444443,32.974400845369594,7.0,7.0,7.0,21.0,161.0
24,46.0,16.76086956521739,20.84779208411789,7.0,7.0,7.0,14.0,120.0
25,18.0,18.72222222222222,27.486479147895835,7.0,7.0,7.0,14.0,120.0
26,41.0,21.024390243902438,28.391449245219984,7.0,7.0,7.0,21.0,126.0
27,41.0,20.0,23.613555429032708,7.0,7.0,7.0,21.0,120.0
28,44.0,17.522727272727273,20.84102465494622,7.0,7.0,7.0,21.0,120.0
29,38.0,16.236842105263158,19.133152507971978,7.0,7.0,14.0,19.25,120.0
30,21.0,24.047619047619047,28.47889778498492,7.0,7.0,14.0,28.0,120.0
31,7.0,38.142857142857146,44.18306074892116,7.0,7.0,14.0,56.0,120.0
32,31.0,23.06451612903226,29.040127965593825,7.0,7.0,7.0,21.0,120.0
33,10.0,28.8,35.73917862638828,7.0,7.0,10.5,38.5,120.0
34,40.0,19.45,23.752948534920122,7.0,7.0,10.5,21.0,120.0
35,11.0,24.272727272727273,33.17556603613843,7.0,7.0,14.0,24.5,120.0
36,30.0,25.933333333333334,28.752131355279808,7.0,8.75,14.0,28.0,148.0
37,39.0,21.743589743589745,25.489644903390566,7.0,7.0,14.0,24.5,127.0
38,41.0,24.4390243902439,24.517390542722737,7.0,7.0,14.0,28.0,134.0
39,35.0,23.62857142857143,25.436293794828025,7.0,7.0,14.0,28.0,141.0
40,34.0,21.852941176470587,26.194068670437332,7.0,7.0,14.0,28.0,134.0
41,35.0,24.02857142857143,26.50913906149184,7.0,7.0,14.0,35.0,148.0
42,14.0,26.571428571428573,33.65141278486807,7.0,7.0,10.5,36.75,127.0
43,33.0,26.333333333333332,29.039484614343046,7.0,7.0,14.0,42.0,141.0
44,31.0,21.032258064516128,29.13587006991867,7.0,7.0,14.0,24.5,162.0
45,33.0,16.151515151515152,25.005150984498684,7.0,7.0,7.0,14.0,148.0
46,16.0,18.0,30.046630426721727,7.0,7.0,7.0,14.0,127.0
47,21.0,16.38095238095238,27.711867837582133,7.0,7.0,7.0,14.0,134.0
48,22.0,16.272727272727273,27.048777488758407,7.0,7.0,7.0,14.0,134.0
49,36.0,15.0,24.470390270692455,7.0,7.0,7.0,14.0,148.0
50,39.0,17.615384615384617,23.723866934970324,7.0,7.0,7.0,21.0,134.0
51,20.0,22.45,29.412627077140648,7.0,7.0,7.0,29.75,127.0
52,40.0,20.675,29.51521771769737,7.0,7.0,14.0,21.0,155.0
