id,count,mean,std,min,25%,50%,75%,max
0,36.0,13.88888888888889,27.372329905297505,0.0,0.0,7.0,15.75,164.0
1,44.0,9.295454545454545,22.90991411823411,0.0,0.0,7.0,7.0,150.0
2,43.0,13.418604651162791,25.78503862813208,0.0,0.0,7.0,14.0,164.0
3,44.0,10.409090909090908,23.771507453171633,0.0,0.0,7.0,7.0,150.0
4,41.0,14.75609756097561,25.356242316049986,0.0,0.0,7.0,21.0,157.0
5,44.0,11.363636363636363,25.372655954595587,0.0,0.0,7.0,14.0,164.0
6,34.0,8.735294117647058,25.942020228718444,0.0,0.0,0.0,7.0,150.0
7,39.0,19.28205128205128,34.34342710265235,0.0,3.5,7.0,17.5,178.0
8,48.0,13.333333333333334,27.346736032499482,0.0,0.0,7.0,14.0,185.0
9,50.0,14.76,30.024180731061232,0.0,0.0,0.0,14.0,171.0
10,23.0,11.08695652173913,33.01365150616864,0.0,0.0,0.0,7.0,157.0
11,34.0,15.941176470588236,30.60594235871335,0.0,0.0,7.0,12.25,150.0
12,28.0,17.107142857142858,32.157412929979394,0.0,0.0,7.0,14.0,157.0
13,58.0,8.5,22.831380374926116,0.0,0.0,0.0,7.0,164.0
14,37.0,16.35135135135135,33.646211786285356,0.0,0.0,7.0,14.0,178.0
15,35.0,10.685714285714285,26.833661288599075,0.0,0.0,0.0,7.0,150.0
16,43.0,14.883720930232558,26.22812857758195,0.0,0.0,7.0,14.0,157.0
17,33.0,29.363636363636363,62.432372503082384,0.0,0.0,7.0,28.0,322.0
18,49.0,12.775510204081632,24.906713708458252,0.0,0.0,7.0,14.0,164.0
19,47.0,14.51063829787234,27.06744582513766,0.0,0.0,7.0,14.0,171.0
20,38.0,24.394736842105264,52.326696960478415,0.0,7.0,7.0,14.0,259.0
21,34.0,14.705882352941176,31.574375314019882,0.0,0.0,7.0,14.0,185.0
22,33.0,12.393939393939394,28.95679906552539,0.0,0.0,0.0,7.0,157.0
23,31.0,18.387096774193548,37.40113850259538,0.0,0.0,7.0,14.0,192.0
24,43.0,16.023255813953487,28.89100071788134,0.0,7.0,7.0,17.5,171.0
25,32.0,23.5,41.32717609359449,0.0,0.0,7.0,22.75,150.0
26,34.0,15.117647058823529,27.795535619169247,0.0,7.0,7.0,14.0,164.0
27,44.0,12.795454545454545,26.660291477195987,0.0,0.0,7.0,14.0,171.0
28,48.0,9.541666666666666,23.25799641334396,0.0,0.0,7.0,8.75,157.0
29,49.0,13.63265306122449,27.731370531667306,0.0,0.0,0.0,7.0,150.0
30,38.0,12.052631578947368,29.383712502935907,0.0,0.0,7.0,12.25,178.0
31,23.0,13.521739130434783,32.80641506725807,0.0,0.0,7.0,7.0,157.0
32,45.0,11.422222222222222,30.101713095987268,0.0,0.0,0.0,7.0,185.0
33,22.0,13.818181818181818,31.507574846809028,0.0,0.0,7.0,12.25,150.0
34,45.0,15.155555555555555,29.985568919637718,0.0,0.0,7.0,21.0,192.0
35,21.0,12.476190476190476,34.26896416237154,0.0,0.0,0.0,14.0,157.0
36,36.0,11.75,30.355394907660155,0.0,0.0,7.0,7.0,178.0
37,44.0,11.363636363636363,28.394309050747207,0.0,0.0,7.0,8.75,185.0
38,43.0,15.69767441860465,29.584853656752685,0.0,0.0,7.0,14.0,185.0
39,43.0,13.581395348837209,28.957466804279168,0.0,0.0,7.0,14.0,178.0
40,40.0,14.95,30.93910478873306,0.0,0.0,7.0,14.0,192.0
41,44.0,12.477272727272727,30.38856014584836,0.0,0.0,7.0,14.0,199.0
42,34.0,10.382352941176471,32.60508856538357,0.0,0.0,0.0,7.0,171.0
43,34.0,27.676470588235293,48.79562858478162,0.0,0.0,7.0,21.0,206.0
