id,count,mean,std,min,25%,50%,75%,max
0,28.0,42.107142857142854,40.30287121994447,7.0,12.25,28.0,57.75,150.0
1,39.0,41.8974358974359,39.53332696119544,7.0,7.0,35.0,66.5,168.0
2,34.0,48.26470588235294,53.33559208675016,7.0,7.0,31.5,56.0,196.0
3,38.0,39.86842105263158,46.5398237215628,7.0,7.0,14.0,56.0,196.0
4,31.0,43.225806451612904,49.31714352191631,7.0,7.0,21.0,49.0,196.0
5,37.0,43.027027027027025,36.13361507153883,7.0,14.0,28.0,63.0,150.0
6,19.0,28.157894736842106,34.87320390897849,7.0,7.0,14.0,35.0,150.0
7,31.0,53.38709677419355,74.83790368494424,7.0,7.0,28.0,59.5,343.0
8,39.0,37.41025641025641,41.72700624215118,7.0,7.0,14.0,56.0,154.0
9,36.0,28.083333333333332,32.46305592515898,7.0,7.0,10.5,35.0,150.0
10,9.0,27.555555555555557,46.54597488266604,7.0,7.0,7.0,21.0,150.0
11,19.0,25.210526315789473,39.93130065412125,7.0,7.0,7.0,21.0,150.0
12,18.0,72.5,90.6559429932754,7.0,15.75,31.5,94.5,364.0
13,38.0,18.5,25.906015162923488,7.0,7.0,7.0,14.0,150.0
14,32.0,58.5,99.204253290712,7.0,7.0,10.5,52.5,434.0
15,21.0,28.80952380952381,34.09489558221149,7.0,7.0,14.0,42.0,150.0
16,31.0,54.064516129032256,59.588553421984756,7.0,14.0,42.0,59.5,294.0
17,27.0,98.11111111111111,150.58560901037535,7.0,21.0,42.0,87.5,637.0
18,34.0,29.529411764705884,28.736246031921603,7.0,7.0,28.0,35.0,150.0
19,38.0,31.763157894736842,34.172404079446764,7.0,7.0,14.0,42.0,150.0
20,31.0,43.67741935483871,58.48611635637652,7.0,7.0,14.0,52.5,231.0
21,27.0,75.03703703703704,111.76950233593084,7.0,24.5,42.0,63.0,539.0
22,19.0,24.842105263157894,37.90816850978272,7.0,7.0,7.0,14.0,150.0
23,28.0,86.35714285714286,135.75992270827433,7.0,12.25,31.5,101.5,672.0
24,36.0,43.05555555555556,44.7940968333006,7.0,7.0,31.5,63.0,203.0
25,18.0,38.27777777777778,53.25499761751784,7.0,7.0,14.0,40.25,189.0
26,28.0,76.10714285714286,136.31073958007758,7.0,7.0,35.0,75.25,686.0
27,30.0,51.9,44.55786628953256,7.0,14.0,31.5,84.0,161.0
28,39.0,43.69230769230769,40.07962722155264,7.0,7.0,35.0,63.0,150.0
29,34.0,26.029411764705884,29.84960818393439,7.0,7.0,14.0,35.0,150.0
30,31.0,34.645161290322584,43.74894161546217,7.0,7.0,14.0,45.5,175.0
31,15.0,30.533333333333335,39.853063453976375,7.0,7.0,7.0,42.0,150.0
32,32.0,46.6875,45.498980846437824,7.0,7.0,42.0,59.5,161.0
33,17.0,26.11764705882353,38.281657410797244,7.0,7.0,7.0,28.0,150.0
34,32.0,40.78125,55.26226874436294,7.0,7.0,17.5,35.0,259.0
35,10.0,29.7,45.134490383987085,7.0,7.0,7.0,35.0,150.0
36,30.0,41.4,45.40970578312906,7.0,7.0,24.5,63.0,171.0
37,36.0,46.94444444444444,45.98381357729164,7.0,14.0,35.0,63.0,189.0
38,33.0,46.75757575757576,50.98347177212821,7.0,14.0,28.0,56.0,196.0
39,31.0,47.29032258064516,48.74778186296418,7.0,14.0,28.0,59.5,196.0
40,32.0,43.40625,47.09966055284845,7.0,7.0,28.0,50.75,189.0
41,39.0,42.794871794871796,36.85546412904525,7.0,14.0,35.0,63.0,157.0
42,21.0,29.80952380952381,39.52925378453159,7.0,7.0,14.0,42.0,178.0
43,34.0,53.8235294117647,98.45702664745004,7.0,7.0,7.0,47.25,378.0
44,38.0,44.473684210526315,54.55061465311566,7.0,7.0,14.0,73.5,210.0
45,35.0,28.685714285714287,37.20671304749076,7.0,7.0,14.0,31.5,192.0
46,12.0,27.083333333333332,44.34258846205475,7.0,7.0,7.0,19.25,157.0
47,22.0,27.5,42.31036122117923,7.0,7.0,7.0,21.0,171.0
48,22.0,58.68181818181818,73.47716610889358,7.0,14.0,28.0,82.25,322.0
49,34.0,21.08823529411765,29.198762579694765,7.0,7.0,14.0,21.0,171.0
50,33.0,58.0,99.68136736622347,7.0,7.0,14.0,42.0,378.0
