id,count,mean,std,min,25%,50%,75%,max
0,1009.0,29.90882061446977,35.06917217161127,7.0,7.0,14.0,42.0,245.0
1,2033.0,37.46925725528775,33.08149035671883,7.0,14.0,28.0,49.0,287.0
2,2016.0,32.632440476190474,32.80506102690689,7.0,14.0,21.0,42.0,266.0
3,2075.0,43.50168674698795,36.30371685278369,7.0,21.0,35.0,56.0,273.0
4,1741.0,35.94945433658817,34.751065079035605,7.0,14.0,21.0,49.0,329.0
5,2075.0,32.57493975903614,27.33972402163747,7.0,14.0,21.0,42.0,210.0
6,1425.0,32.436491228070174,28.724506313612643,7.0,14.0,28.0,42.0,273.0
7,1361.0,31.220426157237327,41.35059811923228,7.0,7.0,14.0,35.0,343.0
8,1652.0,34.657384987893465,37.003037181998955,7.0,7.0,21.0,49.0,350.0
9,1460.0,32.00410958904109,37.51218194039154,7.0,7.0,21.0,42.0,336.0
10,1248.0,14.982371794871796,16.46930055008565,7.0,7.0,7.0,14.0,210.0
11,834.0,35.26978417266187,41.76278259739755,7.0,7.0,21.0,42.0,350.0
12,877.0,21.424173318129988,32.22747005184442,7.0,7.0,7.0,21.0,378.0
13,1553.0,24.1513200257566,24.390395478954648,7.0,7.0,14.0,28.0,259.0
14,1992.0,24.57429718875502,24.0825322511224,7.0,7.0,14.0,28.0,252.0
15,646.0,13.904024767801857,15.841073564727441,7.0,7.0,7.0,14.0,196.0
16,1965.0,42.70229007633588,43.15736869121682,7.0,14.0,28.0,56.0,420.0
17,1401.0,27.24625267665953,29.2415316535837,7.0,7.0,14.0,35.0,210.0
18,1725.0,23.070144927536234,24.04221577725614,7.0,7.0,14.0,28.0,504.0
19,1947.0,32.131484334874166,29.151889331538875,7.0,14.0,21.0,42.0,245.0
20,2082.0,27.67098943323727,40.58152269824653,7.0,7.0,14.0,28.0,427.0
21,1354.0,31.237075332348596,35.305559851201025,7.0,7.0,21.0,42.0,280.0
22,895.0,30.941899441340784,40.84596177963647,7.0,7.0,14.0,35.0,322.0
23,1746.0,39.98396334478809,38.05879594761291,7.0,14.0,28.0,54.25,350.0
24,2037.0,37.08296514482082,37.81124261667884,7.0,7.0,21.0,49.0,315.0
25,715.0,12.953846153846154,17.016529981443085,7.0,7.0,7.0,14.0,182.0
26,1546.0,41.76067270375162,50.616493524976676,7.0,7.0,28.0,56.0,525.0
27,1592.0,38.71608040201005,37.175714283099495,7.0,14.0,28.0,56.0,280.0
28,1728.0,38.285879629629626,38.4180881045521,7.0,14.0,28.0,49.0,294.0
29,1907.0,27.593078133193497,29.00137700381116,7.0,7.0,21.0,35.0,518.0
30,1155.0,23.061471861471862,26.771914127433085,7.0,7.0,14.0,28.0,231.0
31,578.0,33.548442906574394,48.118231475649864,7.0,7.0,7.0,35.0,287.0
32,1944.0,38.007201646090536,36.02566634645501,7.0,14.0,28.0,49.0,301.0
33,953.0,18.937040923399792,35.82861020611733,7.0,7.0,7.0,14.0,357.0
34,1478.0,37.667117726657644,39.88925276396359,7.0,7.0,21.0,49.0,357.0
35,395.0,12.478481012658229,13.611036792247598,7.0,7.0,7.0,14.0,126.0
36,1372.0,31.715014577259474,34.153145149929784,7.0,7.0,21.0,42.0,259.0
37,1409.0,27.841731724627394,30.823956082727424,7.0,7.0,14.0,35.0,266.0
38,1597.0,37.90670006261741,36.69597625252865,7.0,14.0,28.0,56.0,280.0
39,2046.0,43.59139784946237,36.147635393601185,7.0,21.0,35.0,56.0,252.0
40,1377.0,36.485112563543936,39.14654511924304,7.0,7.0,21.0,49.0,301.0
41,1523.0,26.86080105055811,26.26943295232079,7.0,7.0,14.0,35.0,168.0
42,619.0,13.888529886914379,14.299009208337644,7.0,7.0,7.0,14.0,134.0
43,1680.0,35.679761904761904,44.71250038004045,7.0,7.0,21.0,42.0,406.0
44,1448.0,38.17196132596685,40.841952542844716,7.0,7.0,21.0,49.0,294.0
45,1713.0,31.849970811441914,38.443720566461025,7.0,7.0,21.0,42.0,336.0
46,1157.0,18.586862575626622,24.066058891737534,7.0,7.0,7.0,21.0,273.0
47,621.0,12.096618357487923,16.295566530380267,7.0,7.0,7.0,14.0,196.0
48,890.0,22.920224719101125,34.602959878388944,7.0,7.0,7.0,21.0,434.0
49,1555.0,22.72475884244373,23.948547871714755,7.0,7.0,14.0,28.0,252.0
50,1768.0,29.600113122171944,30.582741266463724,7.0,7.0,21.0,35.0,343.0
51,1493.0,15.51038178164769,15.256236124019564,7.0,7.0,7.0,21.0,203.0
52,1247.0,27.254210104250202,27.281312217445493,7.0,7.0,14.0,35.0,168.0
53,1722.0,32.6184668989547,32.75159915770159,7.0,14.0,21.0,42.0,266.0
54,1955.0,26.625575447570334,26.471899715131016,7.0,7.0,21.0,35.0,322.0
55,2066.0,38.1108422071636,33.00035671635333,7.0,14.0,28.0,49.0,287.0
56,1343.0,16.763216679076695,19.39860917518072,7.0,7.0,7.0,21.0,189.0
57,1791.0,33.21831379117811,34.68449687735946,7.0,7.0,21.0,42.0,315.0
58,1293.0,29.30549110595514,38.193214298239276,7.0,7.0,14.0,35.0,343.0
59,1955.0,42.294117647058826,45.41403907283943,7.0,14.0,28.0,56.0,455.0
60,1459.0,23.03495544893763,27.854304675190562,7.0,7.0,7.0,28.0,280.0
61,1120.0,17.963392857142857,19.66532990505066,7.0,7.0,14.0,21.0,182.0
62,1747.0,40.802518603319974,49.64286468639336,7.0,14.0,28.0,49.0,546.0
63,2014.0,31.917576961271102,34.93319376630404,7.0,7.0,21.0,42.0,315.0
64,1599.0,25.601626016260163,30.933628692538374,7.0,7.0,14.0,35.0,287.0
65,1611.0,23.824953445065177,25.581712179931145,7.0,7.0,14.0,28.0,511.0
66,1584.0,33.63068181818182,33.35190106124406,7.0,14.0,21.0,42.0,308.0
67,1117.0,25.29364368845121,39.15958166151914,7.0,7.0,14.0,21.0,301.0
68,1234.0,30.854132901134523,33.30580059908467,7.0,7.0,14.0,42.0,273.0
69,618.0,23.50485436893204,28.321735856756014,7.0,7.0,14.0,28.0,266.0
