id,count,mean,std,min,25%,50%,75%,max
0,30.0,24.066666666666666,26.742621713137137,7.0,7.0,14.0,28.0,120.0
1,52.0,31.51923076923077,28.078664277917063,7.0,14.0,21.0,38.5,120.0
2,43.0,36.16279069767442,40.25923746856599,7.0,7.0,28.0,49.0,217.0
3,41.0,25.804878048780488,25.736374562275785,7.0,7.0,14.0,35.0,120.0
4,28.0,31.785714285714285,42.39877456549994,7.0,7.0,10.5,38.5,189.0
5,49.0,33.734693877551024,32.50242010874221,7.0,14.0,21.0,42.0,154.0
6,19.0,29.157894736842106,35.395014020958655,7.0,7.0,14.0,31.5,120.0
7,37.0,18.756756756756758,29.703540198102655,7.0,7.0,7.0,14.0,140.0
8,38.0,39.81578947368421,44.23393295916114,7.0,7.0,21.0,54.25,210.0
9,48.0,29.333333333333332,27.5683547640617,7.0,7.0,24.5,36.75,120.0
10,10.0,21.1,35.0791169279451,7.0,7.0,7.0,14.0,120.0
11,21.0,39.38095238095238,62.9265255599546,7.0,7.0,14.0,35.0,266.0
12,18.0,23.0,28.988841666690835,7.0,7.0,7.0,26.25,120.0
13,38.0,23.973684210526315,23.277975720137515,7.0,7.0,17.5,33.25,120.0
14,55.0,29.545454545454547,29.283934529854786,7.0,7.0,21.0,38.5,126.0
15,39.0,29.46153846153846,29.43757548104852,7.0,14.0,21.0,35.0,161.0
16,44.0,42.65909090909091,38.14351307695724,7.0,14.0,28.0,59.5,154.0
17,36.0,23.36111111111111,23.956094098254923,7.0,7.0,14.0,29.75,120.0
18,32.0,18.40625,22.122619244973333,7.0,7.0,7.0,21.0,120.0
19,51.0,33.23529411764706,32.33981337935896,7.0,7.0,21.0,59.5,120.0
20,40.0,27.15,26.433807025212122,7.0,7.0,14.0,35.0,120.0
21,48.0,37.0625,42.287972360743176,7.0,7.0,28.0,42.0,245.0
22,38.0,34.10526315789474,50.52791012183492,7.0,7.0,14.0,28.0,217.0
23,43.0,29.488372093023255,37.397715803065054,7.0,10.5,14.0,31.5,217.0
24,50.0,40.9,37.01254613544671,7.0,7.0,28.0,59.5,168.0
25,46.0,23.456521739130434,35.972030197387234,7.0,7.0,7.0,21.0,210.0
26,47.0,35.319148936170215,28.40323495275993,7.0,14.0,21.0,49.0,120.0
27,37.0,49.78378378378378,37.7397043613922,7.0,14.0,49.0,70.0,126.0
28,43.0,42.02325581395349,39.556161624715564,7.0,10.5,35.0,49.0,154.0
29,39.0,15.102564102564102,19.448711054293913,7.0,7.0,7.0,14.0,120.0
30,19.0,37.26315789473684,44.80555782150142,7.0,7.0,21.0,38.5,175.0
31,19.0,26.94736842105263,31.231169765352703,7.0,7.0,14.0,24.5,120.0
32,40.0,31.0,29.430491775603176,7.0,7.0,24.5,36.75,133.0
33,14.0,44.57142857142857,56.81104210885861,7.0,7.0,7.0,61.25,154.0
34,45.0,36.733333333333334,32.037903688089095,7.0,14.0,28.0,63.0,120.0
35,24.0,26.0,27.877059292231824,7.0,12.25,14.0,22.75,120.0
36,30.0,27.8,29.694304574074994,7.0,7.0,17.5,28.0,148.0
37,40.0,26.1,25.91089267034926,7.0,7.0,14.0,35.0,134.0
38,31.0,38.645161290322584,43.31631593067964,7.0,7.0,14.0,52.5,162.0
39,49.0,29.448979591836736,26.538542116835938,7.0,14.0,21.0,35.0,127.0
40,41.0,36.90243902439025,42.43925357381347,7.0,14.0,14.0,49.0,210.0
41,47.0,35.91489361702128,36.611847564055736,7.0,14.0,21.0,38.5,162.0
42,13.0,17.307692307692307,33.06151996754085,7.0,7.0,7.0,7.0,127.0
43,45.0,27.244444444444444,42.82424735609678,7.0,7.0,14.0,21.0,238.0
44,32.0,38.3125,43.13776692741374,7.0,7.0,17.5,64.75,169.0
45,51.0,36.529411764705884,38.66075681679109,7.0,14.0,21.0,42.0,203.0
46,23.0,17.391304347826086,24.9813369072972,7.0,7.0,7.0,14.0,127.0
47,21.0,36.714285714285715,44.154436761375244,7.0,7.0,14.0,42.0,140.0
48,23.0,20.434782608695652,27.926569439020092,7.0,7.0,7.0,21.0,127.0
49,41.0,22.902439024390244,27.799105091755003,7.0,7.0,14.0,35.0,141.0
50,37.0,25.56756756756757,28.59733917356312,7.0,7.0,14.0,28.0,134.0
51,35.0,29.82857142857143,31.41139331917801,7.0,10.5,21.0,35.0,147.0
52,34.0,34.411764705882355,35.88712746938051,7.0,7.0,21.0,42.0,148.0
53,43.0,36.0,31.037611591959415,7.0,14.0,28.0,45.5,148.0
54,34.0,19.58823529411765,25.632741428787526,7.0,7.0,7.0,26.25,141.0
55,53.0,33.43396226415094,31.01892067380455,7.0,7.0,21.0,42.0,127.0
56,37.0,16.864864864864863,21.75387853306236,7.0,7.0,14.0,21.0,134.0
57,42.0,44.523809523809526,47.36276096889813,7.0,14.0,21.0,61.25,238.0
58,31.0,33.903225806451616,35.15238715337331,7.0,7.0,21.0,42.0,141.0
59,47.0,38.59574468085106,36.11133723847382,7.0,21.0,28.0,42.0,210.0
60,42.0,49.69047619047619,43.006799289572406,7.0,14.0,38.5,68.25,196.0
61,44.0,22.136363636363637,29.43703640060833,7.0,7.0,7.0,21.0,134.0
62,48.0,41.291666666666664,40.179892469558055,7.0,14.0,28.0,56.0,217.0
63,47.0,45.8936170212766,48.910403464575204,7.0,7.0,21.0,77.0,203.0
64,37.0,41.648648648648646,44.99396022197264,7.0,7.0,21.0,56.0,182.0
65,50.0,23.12,21.931842473575134,7.0,7.0,14.0,28.0,134.0
66,30.0,28.266666666666666,39.502888007328536,7.0,7.0,7.0,28.0,168.0
67,24.0,27.458333333333332,32.91224057566037,7.0,7.0,14.0,28.0,141.0
68,35.0,48.02857142857143,45.47493538092341,7.0,21.0,42.0,56.0,231.0
69,10.0,40.0,48.13868852942853,7.0,7.0,7.0,56.0,127.0
70,37.0,42.78378378378378,45.56810235188593,7.0,7.0,28.0,63.0,161.0
71,21.0,25.38095238095238,32.5091928390666,7.0,7.0,14.0,28.0,134.0
72,35.0,27.62857142857143,30.442893224842468,7.0,7.0,14.0,35.0,155.0
73,39.0,26.94871794871795,31.562760133747155,7.0,7.0,14.0,35.0,162.0
74,27.0,39.44444444444444,49.26563268752938,7.0,7.0,14.0,49.0,176.0
75,43.0,43.97674418604651,32.889054752008605,7.0,17.5,35.0,63.0,155.0
76,31.0,47.903225806451616,38.60082454966445,7.0,10.5,35.0,77.0,148.0
77,50.0,43.42,44.23595822405117,7.0,14.0,28.0,63.0,211.0
78,38.0,16.789473684210527,27.94217764612123,7.0,7.0,7.0,14.0,176.0
79,54.0,37.74074074074074,46.74627830416029,7.0,7.0,21.0,42.0,224.0
80,44.0,37.88636363636363,41.023088172558765,7.0,7.0,21.0,63.0,190.0
81,37.0,40.513513513513516,43.83594518303546,7.0,14.0,28.0,49.0,224.0
82,23.0,31.08695652173913,29.863192673922896,7.0,14.0,21.0,38.5,148.0
83,18.0,25.333333333333332,41.51116079548047,7.0,7.0,7.0,19.25,162.0
84,41.0,23.073170731707318,29.130216480402645,7.0,7.0,14.0,21.0,176.0
85,45.0,28.955555555555556,32.609922887168416,7.0,7.0,14.0,35.0,169.0
86,28.0,34.285714285714285,39.82355262800325,7.0,7.0,14.0,54.25,162.0
87,27.0,34.77777777777778,30.814998013371717,7.0,14.0,35.0,45.5,155.0
88,46.0,37.45652173913044,39.2715370616991,7.0,14.0,21.0,42.0,183.0
89,40.0,33.1,42.569882214951825,7.0,7.0,21.0,35.0,190.0
90,40.0,20.15,26.62999080466252,7.0,7.0,14.0,28.0,169.0
91,45.0,40.62222222222222,34.35991909775168,7.0,14.0,28.0,63.0,162.0
92,46.0,23.91304347826087,25.69809857813221,7.0,7.0,14.0,28.0,155.0
93,45.0,37.82222222222222,43.25941247493738,7.0,7.0,21.0,49.0,196.0
94,19.0,36.526315789473685,48.013156091791515,7.0,7.0,7.0,42.0,176.0
95,37.0,33.891891891891895,36.85541101821171,7.0,14.0,21.0,42.0,204.0
96,38.0,43.68421052631579,49.54665028803957,7.0,7.0,21.0,61.25,203.0
97,42.0,26.19047619047619,40.54280369529256,7.0,7.0,14.0,26.25,217.0
98,43.0,41.04651162790697,46.40502512216912,7.0,14.0,28.0,45.5,231.0
99,46.0,56.78260869565217,52.82840693897692,7.0,21.0,38.5,68.25,224.0
100,43.0,43.651162790697676,40.57789905198233,7.0,21.0,28.0,59.5,183.0
101,50.0,35.02,35.86510440924038,7.0,14.0,21.0,47.25,190.0
102,41.0,33.48780487804878,36.683866993011726,7.0,14.0,21.0,42.0,169.0
103,27.0,29.59259259259259,31.168597682306483,7.0,14.0,21.0,28.0,148.0
104,40.0,38.175,38.187048079494716,7.0,12.25,21.0,56.0,204.0
105,11.0,38.90909090909091,49.86472610063058,7.0,7.0,14.0,42.0,155.0
106,37.0,47.32432432432432,50.231162336438814,7.0,14.0,28.0,56.0,175.0
107,26.0,23.46153846153846,29.992306705861452,7.0,7.0,14.0,28.0,148.0
108,40.0,37.475,34.45769423956995,7.0,14.0,28.0,49.0,183.0
109,44.0,24.522727272727273,29.67693383237783,7.0,7.0,14.0,29.75,169.0
110,37.0,39.75675675675676,63.99149483651254,7.0,7.0,14.0,42.0,344.0
111,43.0,41.372093023255815,39.76539729092904,7.0,14.0,28.0,66.5,183.0
