id,count,mean,std,min,25%,50%,75%,max
0,42.0,18.095238095238095,32.23375713010222,0.0,0.0,7.0,14.0,137.0
1,52.0,11.384615384615385,24.24155712832889,0.0,0.0,3.5,8.75,144.0
2,53.0,15.39622641509434,23.990654929529338,0.0,0.0,7.0,21.0,144.0
3,50.0,10.02,20.529212635378187,0.0,0.0,3.5,14.0,130.0
4,48.0,14.375,25.29874692044412,0.0,0.0,7.0,14.0,151.0
5,53.0,11.037735849056604,23.282514290731427,0.0,0.0,0.0,7.0,137.0
6,42.0,16.928571428571427,29.13500355338487,0.0,0.0,7.0,14.0,130.0
7,41.0,26.390243902439025,47.7686497866438,0.0,0.0,14.0,28.0,210.0
8,57.0,19.105263157894736,30.88092581104667,0.0,0.0,7.0,21.0,158.0
9,66.0,10.878787878787879,23.4733991190127,0.0,0.0,0.0,14.0,151.0
10,25.0,6.04,26.16371533249817,0.0,0.0,0.0,0.0,130.0
11,47.0,11.106382978723405,21.04367512388708,0.0,0.0,7.0,14.0,137.0
12,34.0,26.88235294117647,56.151723417725556,0.0,0.0,7.0,21.0,301.0
13,65.0,8.676923076923076,18.063350059848126,0.0,0.0,7.0,7.0,137.0
14,38.0,25.342105263157894,82.32902884185307,0.0,0.0,7.0,19.25,497.0
15,40.0,6.225,21.1569077038622,0.0,0.0,0.0,7.0,130.0
16,50.0,9.6,23.543273227945903,0.0,0.0,0.0,12.25,151.0
17,35.0,15.914285714285715,31.445911946567243,0.0,0.0,7.0,14.0,137.0
18,55.0,21.454545454545453,36.578590267986904,0.0,0.0,7.0,21.0,175.0
19,50.0,10.02,22.822733027776117,0.0,0.0,0.0,12.25,151.0
20,42.0,19.595238095238095,28.397921191360265,0.0,0.0,7.0,28.0,130.0
21,40.0,23.9,67.86782025113983,0.0,0.0,7.0,14.0,413.0
22,40.0,9.55,21.805609722835438,0.0,0.0,0.0,14.0,130.0
23,36.0,8.472222222222221,28.643110476653508,0.0,0.0,0.0,7.0,172.0
24,47.0,12.595744680851064,22.372012381999777,0.0,0.0,7.0,14.0,137.0
25,40.0,11.125,25.6377001048586,0.0,0.0,0.0,8.75,144.0
26,40.0,19.7,58.127269737873355,0.0,0.0,7.0,14.0,350.0
27,53.0,15.39622641509434,23.855607003097028,0.0,0.0,7.0,14.0,151.0
28,54.0,13.555555555555555,21.342372298924786,0.0,0.0,7.0,19.25,144.0
29,55.0,9.618181818181819,23.605155517457767,0.0,0.0,0.0,7.0,130.0
30,43.0,12.953488372093023,25.815234970635988,0.0,0.0,7.0,14.0,158.0
31,24.0,8.916666666666666,27.069823832430835,0.0,0.0,0.0,1.75,130.0
32,53.0,11.30188679245283,23.407415742797586,0.0,0.0,7.0,14.0,165.0
33,27.0,6.888888888888889,26.259552596419123,0.0,0.0,0.0,3.5,137.0
34,54.0,17.185185185185187,23.21358911879807,0.0,1.75,10.5,21.0,151.0
35,24.0,8.625,27.9468634002645,0.0,0.0,0.0,7.0,137.0
36,42.0,16.928571428571427,41.28213034370061,0.0,0.0,7.0,14.0,217.0
37,49.0,11.224489795918368,24.696714783315517,0.0,0.0,7.0,7.0,158.0
38,50.0,18.0,37.751064318014365,0.0,0.0,7.0,14.0,172.0
39,50.0,14.5,24.881146046181808,0.0,7.0,7.0,14.0,165.0
40,48.0,19.916666666666668,37.37722217592758,0.0,0.0,7.0,14.0,168.0
41,53.0,14.075471698113208,27.84631522136883,0.0,0.0,7.0,21.0,193.0
42,42.0,8.261904761904763,23.641694796878614,0.0,0.0,0.0,7.0,144.0
43,41.0,18.024390243902438,31.00845675366484,0.0,0.0,7.0,21.0,172.0
44,54.0,11.092592592592593,27.05010621017653,0.0,0.0,3.5,12.25,186.0
45,66.0,13.742424242424242,27.422231635641687,0.0,0.0,7.0,14.0,179.0
46,25.0,6.88,28.756622425683677,0.0,0.0,0.0,0.0,144.0
47,44.0,18.545454545454547,33.17427873452602,0.0,0.0,7.0,15.75,165.0
48,33.0,12.636363636363637,29.120244442030984,0.0,0.0,0.0,14.0,151.0
49,64.0,15.375,26.117256959931897,0.0,0.0,10.5,15.75,172.0
50,37.0,28.2972972972973,55.96321453759944,0.0,7.0,7.0,21.0,231.0
51,40.0,13.4,26.212934759731667,0.0,0.0,7.0,15.75,158.0
52,50.0,11.14,26.481422059355396,0.0,0.0,7.0,12.25,179.0
53,35.0,15.314285714285715,36.905898961429735,0.0,0.0,0.0,10.5,165.0
54,51.0,11.196078431372548,27.899834843843173,0.0,0.0,0.0,7.0,172.0
55,50.0,7.08,22.188285197373858,0.0,0.0,7.0,7.0,158.0
56,42.0,14.761904761904763,34.31973728068294,0.0,0.0,7.0,14.0,200.0
57,40.0,10.25,25.156688461698895,0.0,0.0,7.0,7.0,158.0
58,37.0,6.351351351351352,27.339649896376812,0.0,0.0,0.0,0.0,165.0
59,36.0,14.88888888888889,40.0655019242795,0.0,0.0,0.0,14.0,207.0
60,46.0,20.17391304347826,31.939042181301204,0.0,0.0,7.0,26.25,179.0
61,36.0,11.0,32.686388604432885,0.0,0.0,0.0,7.0,186.0
62,40.0,21.45,69.367823029088,0.0,0.0,7.0,8.75,420.0
63,47.0,21.23404255319149,36.45438648739083,0.0,0.0,7.0,24.5,186.0
64,52.0,10.846153846153847,25.689995470415813,0.0,0.0,0.0,7.0,172.0
65,54.0,17.574074074074073,30.937308399621276,0.0,0.0,7.0,21.0,165.0
66,41.0,11.707317073170731,31.21397435639927,0.0,0.0,0.0,7.0,186.0
67,24.0,6.875,29.302489135996918,0.0,0.0,0.0,0.0,144.0
68,53.0,11.962264150943396,26.229726430544222,0.0,0.0,7.0,14.0,179.0
69,26.0,14.423076923076923,33.393619842027405,0.0,0.0,0.0,14.0,151.0
70,48.0,12.479166666666666,29.389525984415815,0.0,0.0,0.0,14.0,186.0
71,21.0,8.857142857142858,34.50113869756434,0.0,0.0,0.0,0.0,158.0
72,40.0,23.2,39.928911188735775,0.0,0.0,14.0,22.75,200.0
73,49.0,10.510204081632653,29.203397668321912,0.0,0.0,0.0,7.0,179.0
74,48.0,16.5625,48.65724946533574,0.0,0.0,0.0,8.75,312.0
75,50.0,22.34,35.108932522324615,0.0,0.0,10.5,28.0,179.0
76,47.0,23.76595744680851,61.31926882273361,0.0,0.0,7.0,21.0,410.0
77,53.0,10.641509433962264,29.23452538696106,0.0,0.0,0.0,14.0,207.0
78,39.0,9.435897435897436,30.3009422050787,0.0,0.0,0.0,3.5,179.0
79,41.0,22.121951219512194,46.192637466349126,0.0,0.0,7.0,14.0,200.0
80,53.0,15.132075471698114,29.517946129202524,0.0,0.0,7.0,14.0,200.0
81,63.0,12.174603174603174,26.664304810920296,0.0,0.0,0.0,14.0,193.0
82,25.0,11.92,34.091690092063985,0.0,0.0,0.0,7.0,172.0
83,43.0,19.13953488372093,39.09608517446462,0.0,0.0,0.0,21.0,214.0
84,32.0,17.1875,34.77618530713409,0.0,0.0,7.0,21.0,186.0
85,59.0,7.661016949152542,36.18944891458126,0.0,0.0,0.0,7.0,277.0
86,37.0,17.7027027027027,33.827064168654516,0.0,0.0,7.0,14.0,200.0
87,40.0,22.15,77.30676488791843,0.0,0.0,7.0,14.0,487.0
88,49.0,12.510204081632653,28.80040686126065,0.0,0.0,0.0,14.0,186.0
89,35.0,19.714285714285715,52.784562933054715,0.0,0.0,0.0,17.5,277.0
90,50.0,9.88,26.782296924861175,0.0,0.0,0.0,7.0,179.0
91,47.0,15.425531914893616,32.67411199741489,0.0,0.0,7.0,14.0,207.0
92,41.0,34.24390243902439,82.83561446859825,0.0,7.0,14.0,28.0,455.0
93,40.0,8.675,27.02552212546219,0.0,0.0,0.0,7.0,172.0
94,37.0,10.324324324324325,31.665836878649287,0.0,0.0,0.0,7.0,193.0
95,36.0,17.22222222222222,40.55339415853842,0.0,0.0,0.0,14.0,214.0
96,45.0,19.066666666666666,34.55917191768871,0.0,0.0,7.0,21.0,200.0
97,36.0,11.38888888888889,54.44854859814395,0.0,0.0,0.0,0.0,326.0
98,40.0,17.075,31.1014778278609,0.0,0.0,7.0,14.0,179.0
99,47.0,17.51063829787234,32.52682661409992,0.0,0.0,7.0,14.0,200.0
100,48.0,13.208333333333334,31.447327345310608,0.0,0.0,7.0,14.0,207.0
101,54.0,13.944444444444445,33.66170023770459,0.0,0.0,7.0,14.0,228.0
102,41.0,14.609756097560975,33.843668572408404,0.0,0.0,7.0,14.0,214.0
103,24.0,16.5,40.998409301061805,0.0,0.0,3.5,14.0,200.0
104,52.0,13.807692307692308,32.14003578797772,0.0,0.0,7.0,14.0,207.0
105,24.0,8.333333333333334,35.14401014789522,0.0,0.0,0.0,0.0,172.0
106,48.0,18.3125,36.83035071842995,0.0,0.0,7.0,21.0,214.0
107,21.0,17.523809523809526,48.400019677288405,0.0,0.0,0.0,7.0,221.0
108,40.0,28.45,56.68670083257669,0.0,5.25,10.5,28.0,347.0
109,49.0,17.367346938775512,42.83188739982506,0.0,0.0,7.0,14.0,270.0
110,48.0,17.291666666666668,82.35805540917137,0.0,0.0,0.0,7.0,571.0
111,50.0,12.96,28.421722075101037,0.0,0.0,7.0,14.0,193.0
112,42.0,16.261904761904763,64.45420364115205,0.0,0.0,0.0,7.0,417.0
113,52.0,15.557692307692308,31.80788745537901,0.0,7.0,7.0,14.0,228.0
114,39.0,13.564102564102564,33.50553361350996,0.0,0.0,0.0,14.0,186.0
115,41.0,20.24390243902439,38.73550082792585,0.0,0.0,7.0,28.0,221.0
116,53.0,17.90566037735849,37.51679836622082,0.0,0.0,7.0,21.0,256.0
117,61.0,13.950819672131148,31.971042225482833,0.0,0.0,7.0,14.0,228.0
118,24.0,29.916666666666668,60.412291195883576,0.0,5.25,14.0,21.0,238.0
119,43.0,12.627906976744185,38.23985907015645,0.0,0.0,7.0,7.0,249.0
120,32.0,29.21875,46.170605350017844,0.0,7.0,10.5,28.0,193.0
121,59.0,9.322033898305085,39.94670616863133,0.0,0.0,0.0,7.0,305.0
122,37.0,28.2972972972973,56.667580808736794,0.0,0.0,7.0,21.0,266.0
123,40.0,18.475,77.80909824198433,0.0,0.0,0.0,7.0,494.0
124,49.0,16.653061224489797,31.852231096900265,0.0,0.0,7.0,14.0,193.0
125,35.0,32.714285714285715,79.3545919308026,0.0,0.0,7.0,17.5,336.0
126,50.0,11.28,28.917221759458744,0.0,0.0,0.0,7.0,186.0
127,47.0,19.74468085106383,36.37454203214253,0.0,0.0,14.0,21.0,235.0
128,40.0,20.225,58.85335426033343,0.0,0.0,7.0,21.0,368.0
129,39.0,25.58974358974359,80.4512660424139,0.0,0.0,7.0,14.0,462.0
