id,count,mean,std,min,25%,50%,75%,max
0,39.0,40.743589743589745,36.368521632340205,7.0,14.0,28.0,59.5,140.0
1,36.0,51.72222222222222,72.48156853833791,7.0,7.0,24.5,52.5,371.0
2,42.0,58.333333333333336,60.72355056727113,7.0,14.0,38.5,75.25,294.0
3,38.0,71.10526315789474,75.03180928101715,7.0,28.0,52.5,82.25,350.0
4,34.0,51.470588235294116,49.43390769448157,7.0,14.0,35.0,68.25,189.0
5,40.0,51.45,52.51615136171114,7.0,14.0,42.0,63.0,294.0
6,36.0,36.166666666666664,36.02499132546738,7.0,21.0,21.0,36.75,161.0
7,41.0,51.90243902439025,84.33439537876845,7.0,7.0,14.0,56.0,385.0
8,51.0,41.450980392156865,52.99408032053777,7.0,7.0,21.0,49.0,294.0
9,37.0,39.729729729729726,66.10078527380604,7.0,14.0,21.0,28.0,308.0
10,12.0,25.666666666666668,38.14644826391462,7.0,7.0,7.0,29.75,140.0
11,20.0,17.85,31.013197530287513,7.0,7.0,7.0,8.75,140.0
12,29.0,60.827586206896555,97.01475181108034,7.0,14.0,35.0,56.0,525.0
13,61.0,29.83606557377049,26.896208114322764,7.0,7.0,28.0,42.0,140.0
14,36.0,39.861111111111114,48.86608685422278,7.0,7.0,21.0,50.75,203.0
15,25.0,48.72,45.38678221685252,7.0,7.0,42.0,70.0,161.0
16,40.0,58.1,55.16818109316461,7.0,14.0,35.0,80.5,224.0
17,33.0,65.96969696969697,66.82228522753695,7.0,21.0,42.0,98.0,329.0
18,46.0,41.54347826086956,49.17529032699209,7.0,7.0,17.5,61.25,231.0
19,36.0,49.388888888888886,47.4156561110826,7.0,21.0,28.0,70.0,196.0
20,35.0,56.0,66.73256546932424,7.0,14.0,21.0,73.5,259.0
21,38.0,66.86842105263158,74.07562645889256,7.0,15.75,42.0,70.0,329.0
22,17.0,49.8235294117647,67.04498051133065,7.0,7.0,14.0,77.0,245.0
23,39.0,76.1025641025641,118.37180382430938,7.0,14.0,42.0,84.0,651.0
24,33.0,62.15151515151515,56.37492860977808,7.0,14.0,56.0,98.0,196.0
25,19.0,38.68421052631579,45.626567104385515,7.0,7.0,14.0,52.5,154.0
26,31.0,58.70967741935484,72.73889081199368,7.0,7.0,35.0,80.5,322.0
27,38.0,43.473684210526315,58.524532551606676,7.0,7.0,21.0,50.75,266.0
28,43.0,48.51162790697674,46.367256556973,7.0,10.5,28.0,87.5,154.0
29,34.0,37.88235294117647,39.07395063899125,7.0,7.0,24.5,52.5,140.0
30,40.0,43.925,64.01858203798211,7.0,7.0,14.0,43.75,301.0
31,18.0,44.72222222222222,80.50049729883335,7.0,7.0,14.0,36.75,329.0
32,44.0,51.86363636363637,67.0111378833611,7.0,14.0,24.5,59.5,308.0
33,28.0,44.75,50.95504554670388,7.0,7.0,28.0,71.75,196.0
34,30.0,46.9,55.70200887852653,7.0,14.0,28.0,54.25,224.0
35,24.0,34.125,35.17077900263476,7.0,12.25,24.5,43.75,140.0
36,31.0,38.16129032258065,38.96759061424725,7.0,14.0,21.0,49.0,147.0
37,43.0,55.348837209302324,70.59437577791073,7.0,21.0,28.0,66.5,392.0
38,38.0,61.3421052631579,68.01242983208506,7.0,21.0,31.5,87.5,322.0
39,38.0,61.89473684210526,68.0531546913322,7.0,14.0,35.0,77.0,315.0
40,42.0,47.0,59.2011865405152,7.0,7.0,21.0,68.25,294.0
41,32.0,49.0,61.15395695793448,7.0,7.0,21.0,59.5,273.0
42,36.0,38.30555555555556,35.79051705565472,7.0,14.0,28.0,35.0,154.0
43,25.0,85.96,132.09923037878255,7.0,14.0,28.0,91.0,546.0
44,51.0,43.09803921568628,56.12887132375309,7.0,7.0,21.0,52.5,301.0
45,53.0,43.320754716981135,63.00084663195032,7.0,7.0,21.0,42.0,322.0
46,24.0,18.958333333333332,29.732838187207534,7.0,7.0,7.0,14.0,147.0
47,34.0,18.735294117647058,26.625698253503717,7.0,7.0,10.5,14.0,154.0
48,31.0,53.064516129032256,66.45145370061314,7.0,7.0,21.0,59.5,287.0
49,38.0,17.86842105263158,26.07491395920771,7.0,7.0,7.0,21.0,154.0
50,36.0,40.05555555555556,38.906440483692556,7.0,14.0,24.5,50.75,161.0
51,18.0,38.888888888888886,43.894109063261745,7.0,7.0,14.0,54.25,147.0
52,38.0,62.81578947368421,62.00386006430083,7.0,21.0,38.5,82.25,252.0
53,33.0,60.24242424242424,80.84051826862192,7.0,14.0,42.0,56.0,336.0
54,32.0,53.15625,57.60998422372692,7.0,14.0,38.5,64.75,280.0
55,39.0,50.43589743589744,51.99230452763628,7.0,14.0,28.0,59.5,210.0
56,33.0,43.06060606060606,40.595519606493674,7.0,14.0,28.0,63.0,161.0
57,35.0,84.6,84.07496654771859,7.0,28.0,49.0,133.0,343.0
58,24.0,36.75,57.695791422131364,7.0,7.0,14.0,35.0,245.0
59,38.0,77.73684210526316,119.43644339723032,7.0,14.0,42.0,84.0,658.0
60,29.0,58.89655172413793,56.23442313056644,7.0,14.0,35.0,98.0,175.0
61,20.0,23.45,31.979393035943765,7.0,7.0,14.0,21.0,147.0
62,33.0,51.75757575757576,56.40701989947168,7.0,14.0,28.0,77.0,224.0
63,42.0,50.0,66.54395209916233,7.0,14.0,24.5,63.0,357.0
64,38.0,54.526315789473685,61.91133016077073,7.0,14.0,35.0,75.25,273.0
65,47.0,42.59574468085106,45.00756437604495,7.0,14.0,21.0,52.5,210.0
66,27.0,60.925925925925924,54.974767586821784,7.0,28.0,42.0,77.0,210.0
67,24.0,54.25,89.14923979777808,7.0,14.0,21.0,38.5,329.0
68,37.0,58.270270270270274,72.76585304501947,7.0,14.0,35.0,77.0,385.0
69,12.0,44.333333333333336,81.43299904420402,7.0,7.0,7.0,24.5,266.0
70,41.0,43.19512195121951,51.0304906463749,7.0,14.0,21.0,56.0,224.0
71,12.0,30.333333333333332,38.840778321321785,7.0,7.0,17.5,35.0,147.0
72,30.0,32.666666666666664,43.70854357684772,7.0,7.0,14.0,38.5,196.0
73,42.0,58.333333333333336,67.13570772720371,7.0,21.0,35.0,68.25,350.0
74,32.0,53.375,70.51183840206345,7.0,7.0,14.0,63.0,308.0
75,38.0,64.28947368421052,67.43401495305227,7.0,14.0,35.0,108.5,308.0
76,39.0,47.38461538461539,60.1618935979873,7.0,7.0,21.0,66.5,287.0
77,33.0,53.24242424242424,69.97679539632688,7.0,14.0,28.0,49.0,322.0
78,36.0,45.30555555555556,39.5798068604574,7.0,21.0,35.0,56.0,175.0
79,29.0,81.82758620689656,118.23435232184224,7.0,14.0,28.0,98.0,525.0
