id,count,mean,std,min,25%,50%,75%,max
0,36.0,14.194444444444445,27.874022155245395,0.0,0.0,3.5,14.0,140.0
1,43.0,14.651162790697674,42.73834217038453,0.0,0.0,0.0,7.0,231.0
2,46.0,18.869565217391305,31.783719589089547,0.0,0.0,7.0,21.0,161.0
3,43.0,9.44186046511628,23.31084187319731,0.0,0.0,0.0,14.0,147.0
4,46.0,14.0,24.33835564608989,0.0,0.0,7.0,14.0,147.0
5,45.0,15.71111111111111,27.605683062980663,0.0,0.0,7.0,14.0,161.0
6,38.0,10.131578947368421,23.790948826984465,0.0,0.0,0.0,12.25,140.0
7,50.0,12.6,24.819347291981714,0.0,0.0,7.0,14.0,154.0
8,48.0,16.1875,27.744009320779313,0.0,0.0,7.0,22.75,168.0
9,54.0,18.01851851851852,39.401413029321645,0.0,0.0,7.0,14.0,231.0
10,26.0,11.307692307692308,28.21456252472362,0.0,0.0,0.0,7.0,140.0
11,39.0,11.666666666666666,25.102247051161452,0.0,0.0,7.0,14.0,147.0
12,37.0,20.054054054054053,53.9742458883792,0.0,0.0,7.0,14.0,301.0
13,64.0,11.703125,24.410302071507065,0.0,0.0,3.5,14.0,147.0
14,44.0,14.795454545454545,26.9724920557141,0.0,0.0,7.0,15.75,161.0
15,36.0,5.055555555555555,23.64130096063056,0.0,0.0,0.0,0.0,140.0
16,44.0,17.65909090909091,31.32273353913474,0.0,0.0,7.0,21.0,168.0
17,36.0,31.5,93.38415283119508,0.0,0.0,7.0,21.0,546.0
18,49.0,13.0,33.47947132199074,0.0,0.0,0.0,14.0,189.0
19,48.0,17.9375,29.624893392392796,0.0,0.0,7.0,15.75,154.0
20,48.0,22.895833333333332,55.03741071320656,0.0,0.0,7.0,14.0,308.0
21,37.0,26.864864864864863,75.13031721325665,0.0,0.0,7.0,14.0,413.0
22,39.0,12.564102564102564,28.60051055101425,0.0,0.0,0.0,7.0,147.0
23,36.0,20.416666666666668,46.41389878042999,0.0,0.0,0.0,7.0,210.0
24,45.0,13.688888888888888,24.611363065039527,0.0,0.0,7.0,21.0,154.0
25,38.0,5.342105263157895,22.751627581565288,0.0,0.0,0.0,0.0,140.0
26,40.0,16.975,27.994951467939853,0.0,0.0,7.0,21.0,140.0
