id,count,mean,std,min,25%,50%,75%,max
0,37.0,50.13513513513514,55.13073460328547,7.0,21.0,35.0,49.0,245.0
1,40.0,68.95,76.90285246951974,7.0,14.0,49.0,85.75,350.0
2,35.0,70.0,88.34824143527635,7.0,21.0,42.0,70.0,385.0
3,39.0,51.333333333333336,74.26068356005764,7.0,7.0,14.0,66.5,343.0
4,35.0,53.0,48.6838540694841,7.0,14.0,42.0,73.5,210.0
5,32.0,61.90625,83.60597268948456,7.0,14.0,35.0,64.75,350.0
6,22.0,25.454545454545453,36.05383180577049,7.0,7.0,7.0,24.5,140.0
7,38.0,50.473684210526315,62.16748817557087,7.0,7.0,21.0,68.25,301.0
8,36.0,46.861111111111114,52.72470430874358,7.0,7.0,17.5,66.5,182.0
9,32.0,35.65625,38.23156049315716,7.0,7.0,17.5,50.75,140.0
10,22.0,18.136363636363637,28.137917908801,7.0,7.0,7.0,19.25,140.0
11,24.0,28.0,33.02699817869696,7.0,7.0,7.0,36.75,140.0
12,30.0,51.56666666666667,58.20397150410421,7.0,14.0,35.0,56.0,287.0
13,47.0,35.297872340425535,34.6315481289739,7.0,10.5,28.0,42.0,182.0
14,46.0,41.391304347826086,45.09618277064137,7.0,7.0,24.5,47.25,196.0
15,27.0,26.185185185185187,31.52049032837704,7.0,7.0,14.0,35.0,140.0
16,40.0,70.0,71.24533273062478,7.0,14.0,49.0,94.5,294.0
17,37.0,60.91891891891892,60.41632339138267,7.0,21.0,35.0,77.0,308.0
18,38.0,44.76315789473684,68.94276286834132,7.0,7.0,24.5,49.0,406.0
19,35.0,45.2,48.44815300309977,7.0,7.0,28.0,63.0,189.0
20,35.0,31.4,42.92894265698911,7.0,7.0,14.0,24.5,196.0
21,42.0,56.166666666666664,56.689103640335645,7.0,14.0,35.0,82.25,287.0
22,22.0,50.90909090909091,66.27353784265496,7.0,8.75,24.5,52.5,238.0
23,30.0,67.2,72.43422700201413,7.0,14.0,42.0,80.5,322.0
24,38.0,48.63157894736842,48.90388867124244,7.0,14.0,35.0,70.0,259.0
25,27.0,27.74074074074074,33.032143544167816,7.0,7.0,14.0,31.5,140.0
26,34.0,65.67647058823529,68.69419303596736,7.0,14.0,38.5,108.5,315.0
27,33.0,39.878787878787875,59.099364196959414,7.0,7.0,21.0,49.0,315.0
28,40.0,53.375,49.23501333869565,7.0,21.0,38.5,66.5,217.0
29,37.0,32.729729729729726,33.36968738295336,7.0,14.0,21.0,35.0,140.0
30,29.0,56.0,57.96550698475775,7.0,21.0,49.0,56.0,266.0
31,17.0,56.411764705882355,116.75190513623825,7.0,7.0,14.0,35.0,490.0
32,42.0,59.166666666666664,81.91396934579437,7.0,14.0,21.0,77.0,378.0
33,14.0,22.5,39.51971270527776,7.0,7.0,7.0,7.0,140.0
34,36.0,43.166666666666664,41.84973118193234,7.0,7.0,28.0,63.0,147.0
35,19.0,26.894736842105264,32.01543852727254,7.0,7.0,14.0,28.0,140.0
36,36.0,54.833333333333336,56.0374874525973,7.0,21.0,28.0,59.5,231.0
37,38.0,65.76315789473684,67.23111980949938,7.0,14.0,42.0,103.25,301.0
38,39.0,69.1025641025641,88.82264850807594,7.0,7.0,28.0,101.5,371.0
39,41.0,62.48780487804878,76.60748068929675,7.0,14.0,28.0,77.0,371.0
40,29.0,51.6551724137931,45.68860115895506,7.0,7.0,42.0,63.0,154.0
41,38.0,65.76315789473684,80.21842957707558,7.0,21.0,28.0,73.5,350.0
42,29.0,28.482758620689655,34.795956958957966,7.0,7.0,21.0,28.0,161.0
43,41.0,31.75609756097561,52.1041171539279,7.0,7.0,7.0,28.0,273.0
44,45.0,53.2,59.21670525973378,7.0,14.0,28.0,70.0,266.0
45,37.0,30.83783783783784,38.00037537352136,7.0,7.0,14.0,35.0,182.0
46,27.0,22.296296296296298,26.551567844211284,7.0,14.0,14.0,21.0,147.0
47,18.0,33.05555555555556,37.795848234837244,7.0,8.75,14.0,45.5,161.0
48,27.0,49.77777777777778,72.6251351558829,7.0,14.0,21.0,59.5,364.0
49,46.0,33.02173913043478,35.09826784610747,7.0,7.0,21.0,40.25,161.0
50,44.0,46.61363636363637,73.75642373572147,7.0,7.0,21.0,49.0,427.0
51,34.0,29.647058823529413,39.07171522318009,7.0,7.0,14.0,33.25,168.0
52,35.0,76.4,91.8256660263157,7.0,17.5,42.0,91.0,378.0
53,34.0,72.05882352941177,82.06019268083885,7.0,14.0,35.0,103.25,329.0
54,39.0,46.48717948717949,67.0356824836287,7.0,7.0,28.0,56.0,378.0
55,34.0,39.3235294117647,51.46856680522548,7.0,7.0,17.5,47.25,203.0
56,49.0,37.285714285714285,37.40766409886259,7.0,14.0,21.0,49.0,168.0
57,35.0,58.2,59.94693732058084,7.0,21.0,42.0,73.5,315.0
58,36.0,35.583333333333336,52.71290164656087,7.0,7.0,17.5,36.75,245.0
59,38.0,64.10526315789474,79.50515518681935,7.0,8.75,31.5,89.25,385.0
60,44.0,51.70454545454545,47.95908117583618,7.0,21.0,35.0,71.75,189.0
61,28.0,27.5,36.74184212805562,7.0,7.0,14.0,24.5,147.0
62,39.0,62.1025641025641,63.67549097688293,7.0,14.0,49.0,73.5,322.0
