crossroad,veics
23,A
6,D
15,F
28,I
25,H
3,C
10,E
33,B
18,G
12,A
4,D
13,F
26,I
22,H
35,C
11,E
31,B
17,G
0,A
7,D
14,F
29,I
61,H
34,C
46,E
30,B
20,G
1,A
42,D
16,F
27,I
24,H
2,C
9,E
69,B
19,G
37,A
5,D
51,F
62,I
21,H
71,C
82,E
32,B
56,G
36,A
78,D
50,F
64,I
58,H
39,C
47,E
67,B
54,G
48,A
40,D
52,F
65,I
60,H
38,C
45,E
105,B
55,G
72,A
114,D
49,F
63,I
96,H
70,C
8,E
66,B
90,G
84,A
41,D
88,F
99,I
57,H
75,C
118,E
68,B
6,G
59,A
43,D
86,F
100,I
94,H
111,C
44,E
11,B
53,G
73,A
79,D
35,F
98,I
28,H
13,C
83,E
103,B
42,G
95,A
115,D
26,F
14,I
97,H
107,C
81,E
104,B
5,G
32,A
20,D
29,F
21,I
27,H
106,C
80,E
102,B
78,G
7,A
10,D
34,F
101,I
64,H
16,C
116,E
0,B
91,G
43,A
77,D
71,F
50,I
9,H
52,C
117,E
47,B
24,G
109,A
46,D
62,F
57,I
93,H
30,C
31,E
2,B
114,G
68,A
113,D
85,F
86,I
17,H
49,C
119,E
36,B
89,G
11,A
19,D
70,F
35,I
53,H
88,C
67,E
72,B
60,G
79,A
56,D
65,F
34,I
63,H
66,C
25,E
7,B
96,G
104,A
1,D
8,F
18,I
45,H
26,C
15,E
38,B
92,G
47,A
82,D
98,F
71,I
81,H
102,C
103,E
83,B
28,G
115,A
37,D
44,F
9,I
99,H
29,C
4,E
13,B
41,G
3,A
73,D
21,F
93,I
5,H
62,C
61,E
43,B
27,G
39,A
55,D
107,F
17,I
100,H
0,C
51,E
119,B
64,G
2,A
32,D
101,F
54,I
117,H
36,C
7,E
49,B
77,G
20,A
91,D
57,F
53,I
89,H
85,C
97,E
79,B
23,G
108,A
24,D
80,F
70,I
31,H
65,C
40,E
25,B
59,G
38,A
109,D
18,F
45,I
67,H
74,C
43,E
26,B
113,G
83,A
60,D
9,F
8,I
34,H
98,C
29,B
63,G
19,A
68,D
93,F
81,I
103,H
12,C
61,B
1,G
13,A
96,D
17,F
5,I
41,H
21,C
79,E
115,B
99,G
56,A
104,D
54,F
44,I
77,H
101,C
62,B
37,G
22,A
92,D
87,F
117,I
23,H
57,C
97,B
14,G
119,A
3,D
116,F
107,I
7,H
72,C
20,B
100,G
55,A
28,D
4,F
90,I
59,H
18,C
85,B
50,G
49,A
39,D
53,F
89,I
70,H
25,C
115,E
108,B
34,G
26,A
27,D
45,F
30,I
43,H
9,C
65,B
73,G
75,A
64,D
106,F
41,I
113,H
61,C
87,E
74,B
95,G
91,A
2,D
81,F
66,I
8,H
48,C
19,B
32,G
58,A
63,D
5,F
77,I
79,H
93,C
98,B
109,G
24,A
99,D
6,F
80,I
