id,count,mean,std,min,25%,50%,75%,max
0,25.0,27.76,26.296831241298506,7.0,7.0,21.0,35.0,120.0
1,46.0,31.52173913043478,29.791676041348477,7.0,14.0,21.0,35.0,133.0
2,48.0,40.5625,39.295880488980714,7.0,14.0,28.0,63.0,175.0
3,49.0,42.734693877551024,35.05280273518562,7.0,14.0,35.0,56.0,154.0
4,37.0,34.648648648648646,42.280292372725185,7.0,14.0,14.0,42.0,175.0
5,47.0,33.680851063829785,37.48049137941702,7.0,14.0,21.0,42.0,238.0
6,43.0,28.348837209302324,32.034864727973094,7.0,7.0,14.0,42.0,120.0
7,51.0,32.549019607843135,31.479716469809695,7.0,7.0,21.0,42.0,120.0
8,47.0,43.51063829787234,36.35804578166957,7.0,14.0,35.0,66.5,133.0
9,43.0,31.930232558139537,30.36241046083542,7.0,7.0,21.0,42.0,140.0
10,16.0,35.9375,36.01938135689359,7.0,7.0,21.0,52.5,120.0
11,36.0,29.77777777777778,44.37316506378351,7.0,7.0,10.5,35.0,210.0
12,22.0,45.54545454545455,50.81219133120307,7.0,14.0,28.0,59.5,203.0
13,60.0,25.216666666666665,24.593020690160582,7.0,7.0,14.0,29.75,120.0
14,42.0,29.857142857142858,26.458961715310465,7.0,14.0,21.0,40.25,120.0
15,41.0,31.4390243902439,37.202855253654796,7.0,7.0,14.0,28.0,161.0
16,36.0,45.52777777777778,44.43003238551349,7.0,14.0,35.0,52.5,182.0
17,46.0,43.23913043478261,49.05243669680151,7.0,14.0,35.0,56.0,315.0
18,52.0,36.76923076923077,34.531949051263155,7.0,14.0,28.0,49.0,203.0
19,50.0,31.66,32.21902720886703,7.0,7.0,14.0,47.25,161.0
20,38.0,22.68421052631579,37.37545463026966,7.0,7.0,7.0,14.0,196.0
21,28.0,36.535714285714285,57.251545114428296,7.0,7.0,21.0,35.0,301.0
22,41.0,30.24390243902439,37.93137256138043,7.0,7.0,14.0,35.0,161.0
23,46.0,46.43478260869565,47.47287046252513,7.0,21.0,28.0,56.0,259.0
24,33.0,41.81818181818182,36.03770121818134,7.0,14.0,28.0,63.0,126.0
25,41.0,22.390243902439025,32.765742818361744,7.0,7.0,7.0,28.0,147.0
26,38.0,47.0,55.175396005142765,7.0,14.0,24.5,49.0,210.0
27,53.0,34.62264150943396,35.51176750529016,7.0,7.0,21.0,49.0,140.0
28,42.0,39.523809523809526,35.202714761747856,7.0,14.0,28.0,54.25,126.0
29,45.0,24.288888888888888,23.763629794501114,7.0,7.0,21.0,35.0,120.0
30,23.0,34.130434782608695,38.343310839910636,7.0,7.0,21.0,49.0,140.0
31,21.0,39.714285714285715,40.874371991680626,7.0,7.0,28.0,49.0,120.0
32,49.0,35.734693877551024,33.41704624277611,7.0,14.0,28.0,49.0,175.0
33,12.0,32.75,48.87298007916217,7.0,7.0,7.0,22.75,147.0
34,49.0,38.16326530612245,39.513366377075236,7.0,14.0,21.0,49.0,175.0
35,25.0,25.8,29.67322024991558,7.0,7.0,14.0,28.0,120.0
