id,count,mean,std,min,25%,50%,75%,max
0,42.0,6.023809523809524,18.92796111478555,0.0,0.0,0.0,7.0,120.0
1,53.0,12.433962264150944,22.225686312810943,0.0,0.0,7.0,14.0,134.0
2,50.0,15.14,23.960860943272827,0.0,0.0,7.0,19.25,148.0
3,52.0,11.461538461538462,19.913993048993326,0.0,0.0,7.0,14.0,127.0
4,45.0,14.644444444444444,24.390903255438527,0.0,0.0,7.0,14.0,127.0
5,53.0,7.150943396226415,20.65410764362447,0.0,0.0,0.0,7.0,148.0
6,45.0,4.377777777777778,18.317017533242993,0.0,0.0,0.0,0.0,120.0
7,59.0,14.966101694915254,25.501160285769632,0.0,0.0,7.0,17.5,134.0
8,53.0,16.0,23.09095727102512,0.0,0.0,7.0,21.0,141.0
9,66.0,12.106060606060606,22.441122135578755,0.0,0.0,3.5,14.0,134.0
10,34.0,12.176470588235293,30.512263394720584,0.0,0.0,0.0,7.0,133.0
11,41.0,23.585365853658537,41.31947217097291,0.0,0.0,7.0,21.0,196.0
12,45.0,25.533333333333335,40.30091359217104,0.0,7.0,14.0,35.0,224.0
13,64.0,10.84375,19.84960816853684,0.0,0.0,7.0,14.0,127.0
14,53.0,11.90566037735849,28.667365626428975,0.0,0.0,7.0,14.0,161.0
15,44.0,5.75,20.78698720857119,0.0,0.0,0.0,0.0,120.0
16,52.0,14.288461538461538,22.63117452391336,0.0,0.0,7.0,21.0,141.0
17,49.0,13.306122448979592,52.724205415868475,0.0,0.0,0.0,7.0,350.0
18,57.0,17.333333333333332,32.46279922208394,0.0,0.0,7.0,21.0,203.0
19,50.0,12.76,27.578873902215182,0.0,0.0,7.0,12.25,141.0
20,52.0,16.307692307692307,27.026159050103814,0.0,0.0,7.0,21.0,134.0
21,48.0,9.354166666666666,23.865304276856605,0.0,0.0,0.0,7.0,148.0
22,41.0,7.365853658536586,22.540803110760027,0.0,0.0,0.0,0.0,127.0
23,49.0,12.73469387755102,31.024033365416937,0.0,0.0,0.0,7.0,154.0
24,51.0,17.58823529411765,25.7722148606504,0.0,0.0,7.0,21.0,141.0
25,44.0,14.659090909090908,23.09126803836139,0.0,0.0,7.0,21.0,120.0
26,48.0,13.729166666666666,26.400144731496678,0.0,0.0,7.0,14.0,127.0
27,54.0,24.12962962962963,30.67974951085678,0.0,7.0,14.0,28.0,154.0
28,57.0,12.789473684210526,21.82948271923716,0.0,0.0,7.0,14.0,120.0
29,62.0,17.403225806451612,24.152832829419417,0.0,7.0,14.0,21.0,134.0
30,44.0,13.386363636363637,23.1066444778874,0.0,0.0,7.0,14.0,134.0
31,25.0,6.48,25.349424714050876,0.0,0.0,0.0,0.0,127.0
32,54.0,13.5,25.821411328950784,0.0,0.0,0.0,14.0,148.0
33,31.0,13.806451612903226,25.72860840237149,0.0,0.0,0.0,17.5,120.0
34,52.0,10.25,23.570399349400002,0.0,0.0,0.0,7.0,141.0
35,21.0,6.380952380952381,26.117955874218396,0.0,0.0,0.0,0.0,120.0
36,41.0,21.365853658536587,30.135324867637458,0.0,7.0,14.0,28.0,155.0
37,52.0,14.153846153846153,21.877004325327018,0.0,0.0,7.0,21.0,141.0
38,49.0,9.448979591836734,24.73447427553444,0.0,0.0,0.0,7.0,162.0
39,52.0,9.711538461538462,22.27047332008129,0.0,0.0,7.0,7.0,155.0
40,43.0,18.906976744186046,29.693524990418183,0.0,7.0,14.0,21.0,183.0
41,53.0,9.39622641509434,24.094636829546744,0.0,0.0,7.0,7.0,162.0
42,45.0,7.955555555555556,21.279477475167518,0.0,0.0,0.0,7.0,141.0
43,56.0,10.017857142857142,33.08253649252458,0.0,0.0,0.0,7.0,176.0
