id,count,mean,std,min,25%,50%,75%,max
0,41.0,7.365853658536586,22.986687557759353,0.0,0.0,0.0,7.0,141.0
1,54.0,11.814814814814815,19.483978976520998,0.0,0.0,7.0,14.0,134.0
2,49.0,15.591836734693878,24.782317593520634,0.0,0.0,7.0,21.0,141.0
3,54.0,11.037037037037036,19.26964859806587,0.0,0.0,7.0,12.25,120.0
4,46.0,20.717391304347824,25.98175688480777,0.0,7.0,14.0,26.25,120.0
5,54.0,8.444444444444445,21.29369351821799,0.0,0.0,0.0,7.0,148.0
6,50.0,8.14,20.434075182680242,0.0,0.0,0.0,7.0,127.0
7,53.0,14.81132075471698,29.8593218299602,0.0,0.0,7.0,14.0,147.0
8,56.0,15.517857142857142,21.237181007442047,0.0,5.25,7.0,21.0,134.0
9,65.0,15.415384615384616,26.338477264553177,0.0,0.0,7.0,14.0,155.0
10,25.0,5.36,24.046621384302618,0.0,0.0,0.0,0.0,120.0
11,42.0,22.857142857142858,52.90929718133663,0.0,0.0,3.5,14.0,287.0
12,40.0,10.525,21.698384082573334,0.0,0.0,7.0,8.75,127.0
13,70.0,10.614285714285714,20.679957991395433,0.0,0.0,7.0,12.25,127.0
14,51.0,15.392156862745098,21.753232800089783,0.0,3.5,7.0,21.0,134.0
15,49.0,9.591836734693878,18.952702497870565,0.0,0.0,7.0,14.0,120.0
16,53.0,17.849056603773583,26.903957548754715,0.0,0.0,7.0,21.0,141.0
17,48.0,18.833333333333332,38.59408693179942,0.0,5.25,7.0,21.0,238.0
18,57.0,10.087719298245615,17.36198711240243,0.0,0.0,7.0,14.0,120.0
19,53.0,19.830188679245282,24.83231134031178,0.0,7.0,14.0,28.0,141.0
20,55.0,20.0,34.338726652981,0.0,0.0,7.0,24.5,196.0
21,48.0,22.479166666666668,31.221916459049826,0.0,7.0,14.0,28.0,148.0
22,45.0,12.0,28.705400188814647,0.0,0.0,0.0,7.0,133.0
23,44.0,12.75,28.701450413070653,0.0,0.0,0.0,8.75,140.0
24,49.0,11.16326530612245,23.02023289302217,0.0,0.0,7.0,14.0,141.0
25,44.0,15.931818181818182,31.139892702891075,0.0,0.0,3.5,14.0,147.0
26,47.0,17.0,45.24714739987579,0.0,0.0,7.0,14.0,287.0
27,53.0,21.150943396226417,28.662758084594117,0.0,7.0,7.0,28.0,141.0
28,55.0,11.981818181818182,21.800009266979774,0.0,0.0,7.0,14.0,120.0
29,57.0,6.035087719298246,18.379885076860425,0.0,0.0,0.0,7.0,134.0
30,43.0,11.906976744186046,22.450807550952874,0.0,0.0,7.0,14.0,134.0
31,24.0,5.583333333333333,25.901009996534494,0.0,0.0,0.0,0.0,127.0
32,54.0,10.777777777777779,22.570365164254625,0.0,0.0,3.5,14.0,148.0
33,31.0,18.322580645161292,28.67680490893199,0.0,0.0,7.0,21.0,120.0
34,52.0,8.5,19.7449422662625,0.0,0.0,0.0,8.75,134.0
35,21.0,6.714285714285714,27.640808340464393,0.0,0.0,0.0,0.0,127.0
36,41.0,10.78048780487805,26.518401342390487,0.0,0.0,7.0,7.0,155.0
37,54.0,8.185185185185185,20.96004651629045,0.0,0.0,3.5,7.0,148.0
38,49.0,16.163265306122447,32.237624847099276,0.0,0.0,7.0,14.0,204.0
39,53.0,11.50943396226415,23.01305870212141,0.0,0.0,7.0,14.0,155.0
40,46.0,21.934782608695652,28.167279814953964,0.0,7.0,14.0,28.0,155.0
41,54.0,11.425925925925926,25.864379126842596,0.0,0.0,7.0,7.0,183.0
42,50.0,11.08,24.52473969572067,0.0,0.0,0.0,7.0,141.0
43,53.0,12.169811320754716,23.102394022678688,0.0,0.0,7.0,14.0,162.0
44,51.0,21.980392156862745,31.36334816060201,0.0,0.0,14.0,28.0,162.0
45,63.0,18.904761904761905,35.82831565626519,0.0,0.0,7.0,24.5,190.0
46,25.0,7.88,28.364179287733094,0.0,0.0,0.0,0.0,141.0
47,39.0,4.512820512820513,23.678628821956504,0.0,0.0,0.0,0.0,148.0
48,40.0,11.75,29.13166397845901,0.0,0.0,0.0,14.0,176.0
49,66.0,9.242424242424242,19.87968472591718,0.0,0.0,7.0,14.0,155.0
50,51.0,17.313725490196077,33.19788559295814,0.0,0.0,7.0,14.0,162.0
51,49.0,10.877551020408163,23.98839359379624,0.0,0.0,7.0,14.0,148.0
52,51.0,10.588235294117647,25.028125355757854,0.0,0.0,7.0,10.5,169.0
53,47.0,24.4468085106383,57.36830230325966,0.0,0.0,7.0,14.0,336.0
54,57.0,20.157894736842106,32.40248528479843,0.0,7.0,7.0,14.0,162.0
55,52.0,16.71153846153846,24.60140003864083,0.0,7.0,14.0,21.0,155.0
56,50.0,11.78,22.72487623728675,0.0,0.0,7.0,14.0,148.0
57,48.0,14.895833333333334,36.49904666976136,0.0,0.0,7.0,14.0,189.0
58,44.0,13.545454545454545,29.747350513605095,0.0,0.0,7.0,14.0,155.0
59,44.0,21.818181818181817,46.981576164949146,0.0,0.0,7.0,14.0,245.0
60,48.0,15.041666666666666,32.09358544865866,0.0,0.0,3.5,21.0,162.0
61,42.0,14.19047619047619,25.912835218015115,0.0,0.0,7.0,21.0,134.0
