id,count,mean,std,min,25%,50%,75%,max
0,30.0,29.2,33.74284087543352,7.0,7.0,14.0,28.0,120.0
1,49.0,41.734693877551024,33.496128824962796,7.0,14.0,35.0,56.0,147.0
2,51.0,36.94117647058823,27.710223214334363,7.0,14.0,28.0,49.0,120.0
3,41.0,39.63414634146341,33.17586178048806,7.0,14.0,28.0,63.0,133.0
4,32.0,33.0625,38.21664685414189,7.0,7.0,10.5,42.0,126.0
5,46.0,28.934782608695652,26.127382123327195,7.0,14.0,21.0,35.0,120.0
6,20.0,18.25,29.477690047327588,7.0,7.0,7.0,14.0,120.0
7,51.0,36.3921568627451,55.76704346883473,7.0,7.0,14.0,42.0,301.0
8,41.0,39.97560975609756,46.95396032544967,7.0,7.0,14.0,49.0,196.0
9,42.0,40.023809523809526,39.170352212491515,7.0,8.75,28.0,59.5,182.0
10,18.0,26.88888888888889,33.96691970118763,7.0,7.0,7.0,33.25,120.0
11,42.0,18.69047619047619,26.541718744535995,7.0,7.0,7.0,19.25,120.0
12,27.0,25.185185185185187,30.02567752010453,7.0,7.0,14.0,24.5,120.0
13,40.0,15.25,19.480101616119946,7.0,7.0,7.0,14.0,120.0
14,47.0,31.148936170212767,34.774415084884424,7.0,7.0,21.0,35.0,154.0
15,38.0,36.13157894736842,30.888790105737417,7.0,21.0,28.0,40.25,161.0
16,34.0,31.11764705882353,34.24932178570473,7.0,7.0,17.5,35.0,140.0
17,54.0,37.611111111111114,31.656420056879615,7.0,14.0,28.0,54.25,140.0
18,36.0,28.61111111111111,29.990739311401516,7.0,7.0,14.0,29.75,126.0
19,46.0,32.130434782608695,30.36416652397448,7.0,7.0,21.0,49.0,120.0
20,34.0,43.26470588235294,65.9372101796437,7.0,8.75,21.0,54.25,371.0
21,38.0,42.94736842105263,37.84459500729269,7.0,14.0,38.5,56.0,161.0
22,36.0,38.138888888888886,54.89166097363464,7.0,7.0,21.0,35.0,266.0
23,31.0,28.032258064516128,26.183307495384334,7.0,7.0,21.0,31.5,120.0
24,34.0,43.05882352941177,35.68034955025694,7.0,15.75,35.0,54.25,133.0
25,31.0,22.612903225806452,33.262268332506366,7.0,7.0,7.0,17.5,154.0
26,42.0,41.857142857142854,34.53847019404519,7.0,14.0,28.0,61.25,154.0
27,42.0,36.857142857142854,31.975273547960445,7.0,8.75,28.0,61.25,120.0
28,53.0,40.0377358490566,41.023896537051776,7.0,14.0,21.0,49.0,175.0
29,49.0,32.02040816326531,27.80923841993158,7.0,14.0,28.0,42.0,133.0
30,25.0,31.68,37.74555161428518,7.0,7.0,14.0,28.0,133.0
31,15.0,40.2,61.144092110358464,7.0,7.0,21.0,38.5,231.0
32,31.0,46.774193548387096,46.18131633566353,7.0,10.5,35.0,63.0,182.0
33,25.0,21.04,32.01494442704323,7.0,7.0,7.0,14.0,120.0
34,54.0,32.03703703703704,32.90005618103993,7.0,7.0,21.0,42.0,161.0
35,21.0,19.047619047619047,26.395977327002292,7.0,7.0,7.0,14.0,120.0
36,40.0,35.55,35.083015103008876,7.0,14.0,21.0,45.5,155.0
37,43.0,37.7906976744186,34.673001806356,7.0,14.0,28.0,49.0,147.0
38,45.0,44.2,41.40300823501947,7.0,7.0,28.0,63.0,147.0
39,49.0,44.16326530612245,42.750900058154485,7.0,14.0,35.0,56.0,196.0
40,41.0,46.80487804878049,39.82035880814934,7.0,14.0,28.0,63.0,140.0
41,40.0,29.25,36.783322586640004,7.0,7.0,14.0,28.0,155.0
42,38.0,17.342105263157894,23.750136632084335,7.0,7.0,14.0,14.0,127.0
43,37.0,28.783783783783782,41.282990265789685,7.0,7.0,14.0,28.0,189.0
44,35.0,52.22857142857143,51.19058146038294,7.0,7.0,35.0,77.0,224.0
45,47.0,36.06382978723404,44.691894146536015,7.0,10.5,21.0,42.0,245.0
46,31.0,20.806451612903224,26.169217737434323,7.0,7.0,14.0,21.0,127.0
47,27.0,26.48148148148148,39.62261433766792,7.0,7.0,14.0,21.0,175.0
48,22.0,22.318181818181817,30.54331251508159,7.0,7.0,7.0,21.0,134.0
49,49.0,20.73469387755102,20.96403220419448,7.0,7.0,14.0,21.0,134.0
50,46.0,37.0,37.09267672555685,7.0,8.75,21.0,49.0,141.0
51,40.0,38.7,31.4562781634674,7.0,14.0,28.0,50.75,140.0
52,37.0,31.62162162162162,37.36929172414115,7.0,14.0,21.0,35.0,182.0
53,40.0,32.4,32.708345990525075,7.0,7.0,24.5,42.0,134.0
54,44.0,32.0,34.73286761877366,7.0,14.0,21.0,35.0,189.0
55,50.0,41.46,41.641428546923926,7.0,7.0,21.0,68.25,148.0
56,30.0,20.8,27.76179463542136,7.0,7.0,7.0,21.0,148.0
57,43.0,40.55813953488372,37.97010247774613,7.0,10.5,28.0,63.0,161.0
58,25.0,50.72,59.36646078946147,7.0,14.0,35.0,63.0,252.0
59,50.0,36.14,39.55260511557452,7.0,14.0,24.5,42.0,217.0
60,39.0,32.333333333333336,46.404022814119614,7.0,7.0,7.0,42.0,231.0
61,19.0,32.473684210526315,37.05006885741484,7.0,7.0,7.0,59.5,127.0
62,45.0,42.48888888888889,42.40262761059541,7.0,7.0,28.0,63.0,196.0
63,47.0,38.0,38.86431245511357,7.0,14.0,28.0,49.0,154.0
64,39.0,26.05128205128205,35.25691325858827,7.0,7.0,14.0,28.0,168.0
65,39.0,26.23076923076923,26.87442683693487,7.0,7.0,21.0,35.0,141.0
66,41.0,28.195121951219512,35.54800944651833,7.0,7.0,14.0,21.0,141.0
67,24.0,32.125,52.91446132572177,7.0,7.0,14.0,29.75,238.0
68,38.0,29.86842105263158,34.68559250134376,7.0,7.0,14.0,33.25,155.0
69,10.0,33.0,36.73932195587961,7.0,8.75,17.5,42.0,127.0
70,36.0,43.583333333333336,51.012253429935825,7.0,12.25,21.0,50.75,210.0
71,28.0,17.785714285714285,22.99654908548824,7.0,7.0,14.0,21.0,127.0
72,25.0,38.4,47.76679460322481,7.0,7.0,14.0,56.0,169.0
73,41.0,36.5609756097561,35.65112114680814,7.0,14.0,28.0,49.0,154.0
74,25.0,33.08,37.001036021531434,7.0,7.0,21.0,56.0,169.0
75,49.0,36.44897959183673,35.160975778369334,7.0,7.0,21.0,42.0,162.0
76,25.0,44.0,58.458674862390325,7.0,7.0,14.0,49.0,211.0
77,50.0,33.48,36.02903590954702,7.0,7.0,21.0,35.0,169.0
78,38.0,26.18421052631579,25.010111753057537,7.0,14.0,21.0,28.0,148.0
79,52.0,32.05769230769231,43.68802656516281,7.0,7.0,14.0,31.5,196.0
80,32.0,46.84375,46.132424658137246,7.0,7.0,42.0,57.75,183.0
81,38.0,44.973684210526315,55.91909543893207,7.0,7.0,24.5,54.25,224.0
82,22.0,28.681818181818183,33.41996318660359,7.0,7.0,14.0,33.25,148.0
83,41.0,18.634146341463413,26.810218292249107,7.0,7.0,7.0,21.0,155.0
84,27.0,25.703703703703702,31.1705171532514,7.0,10.5,14.0,31.5,162.0
85,41.0,31.26829268292683,30.191078475473425,7.0,14.0,28.0,35.0,176.0
86,36.0,42.611111111111114,41.38894108870683,7.0,7.0,35.0,56.0,162.0
87,37.0,32.75675675675676,33.87510180829753,7.0,7.0,21.0,42.0,155.0
88,44.0,32.31818181818182,42.4586106134196,7.0,7.0,21.0,28.0,169.0
89,42.0,35.69047619047619,33.75412393611395,7.0,8.75,28.0,49.0,176.0
90,46.0,32.28260869565217,33.208876352551194,7.0,8.75,24.5,35.0,176.0
91,48.0,40.5625,36.939805117618846,7.0,14.0,31.5,49.0,162.0
92,41.0,17.26829268292683,24.394696544786022,7.0,7.0,7.0,21.0,155.0
93,45.0,38.44444444444444,36.87235695030502,7.0,7.0,28.0,56.0,176.0
94,29.0,43.96551724137931,61.26609570356692,7.0,7.0,14.0,42.0,245.0
95,49.0,37.30612244897959,45.19596409048077,7.0,14.0,21.0,42.0,252.0
96,38.0,33.36842105263158,51.13068632363574,7.0,7.0,14.0,28.0,266.0
97,23.0,25.0,37.76602609850191,7.0,7.0,7.0,21.0,141.0
98,45.0,47.31111111111111,44.53130779280319,7.0,21.0,35.0,63.0,224.0
99,45.0,49.8,51.30461613114005,7.0,21.0,35.0,56.0,210.0
100,41.0,30.414634146341463,34.195742139743146,7.0,7.0,14.0,35.0,162.0
101,37.0,32.75675675675676,33.523130824854356,7.0,7.0,21.0,42.0,169.0
102,39.0,38.61538461538461,39.91610635518831,7.0,14.0,28.0,42.0,183.0
103,23.0,41.130434782608695,55.80265906651116,7.0,14.0,21.0,42.0,238.0
104,48.0,27.4375,32.769281314553425,7.0,7.0,14.0,35.0,183.0
105,15.0,22.933333333333334,36.08416088350492,7.0,7.0,7.0,21.0,148.0
106,32.0,43.125,47.87736349762663,7.0,7.0,28.0,50.75,190.0
107,24.0,25.416666666666668,32.59223255912987,7.0,7.0,14.0,22.75,148.0
108,28.0,34.785714285714285,45.26494608320377,7.0,7.0,14.0,38.5,183.0
109,38.0,42.39473684210526,44.09911408908789,7.0,14.0,28.0,49.0,204.0
110,40.0,43.775,74.22159734754106,7.0,7.0,28.0,42.0,463.0
111,47.0,46.191489361702125,48.81359321455642,7.0,7.0,28.0,59.5,231.0
112,29.0,54.827586206896555,96.29829733160145,7.0,7.0,14.0,56.0,470.0
113,46.0,39.891304347826086,36.530795690984135,7.0,15.75,28.0,49.0,183.0
114,38.0,30.605263157894736,25.788683327512363,7.0,21.0,24.5,35.0,162.0
115,49.0,40.02040816326531,46.915033924780076,7.0,14.0,21.0,42.0,203.0
116,32.0,39.625,45.755133679889035,7.0,7.0,21.0,43.75,218.0
117,36.0,37.166666666666664,44.96887812698912,7.0,12.25,21.0,36.75,204.0
118,21.0,36.714285714285715,52.96899362565128,7.0,7.0,14.0,35.0,203.0
119,43.0,22.651162790697676,30.00943004245279,7.0,7.0,14.0,24.5,176.0
