id,count,mean,std,min,25%,50%,75%,max
0,40.0,12.275,24.156527492850053,0.0,0.0,7.0,14.0,134.0
1,54.0,9.61111111111111,21.282836265330225,0.0,0.0,7.0,7.0,141.0
2,49.0,12.591836734693878,23.110169449244395,0.0,0.0,7.0,14.0,141.0
3,54.0,8.574074074074074,18.491815478544087,0.0,0.0,0.0,7.0,120.0
4,42.0,23.857142857142858,43.12747493276943,0.0,1.75,10.5,26.25,252.0
5,54.0,6.2407407407407405,21.09004521067037,0.0,0.0,0.0,7.0,148.0
6,46.0,4.739130434782608,17.855512416939973,0.0,0.0,0.0,5.25,120.0
7,53.0,21.67924528301887,37.90918986660788,0.0,0.0,7.0,21.0,168.0
8,52.0,12.538461538461538,24.695368731857666,0.0,0.0,7.0,14.0,162.0
9,59.0,15.677966101694915,32.285066836225084,0.0,0.0,7.0,14.0,196.0
10,35.0,6.0285714285714285,20.616221075371005,0.0,0.0,0.0,0.0,120.0
11,38.0,4.2631578947368425,20.652444669802662,0.0,0.0,0.0,0.0,127.0
12,43.0,8.976744186046512,21.040197776651723,0.0,0.0,0.0,7.0,127.0
13,63.0,11.126984126984127,19.9179705400733,0.0,0.0,7.0,14.0,127.0
14,51.0,12.784313725490197,20.86749982675471,0.0,0.0,7.0,14.0,134.0
15,47.0,11.042553191489361,20.222627712549375,0.0,0.0,7.0,14.0,120.0
16,50.0,11.78,28.21585167444509,0.0,0.0,3.5,7.0,141.0
17,55.0,12.363636363636363,19.94934663031426,0.0,0.0,7.0,17.5,127.0
18,57.0,12.912280701754385,21.45200681734061,0.0,0.0,7.0,14.0,120.0
19,51.0,16.49019607843137,22.459183020777587,0.0,7.0,7.0,21.0,141.0
20,51.0,15.254901960784315,24.49476934960189,0.0,0.0,7.0,21.0,134.0
21,55.0,14.781818181818181,23.309266087156956,0.0,7.0,7.0,17.5,148.0
22,42.0,6.690476190476191,20.062692102553395,0.0,0.0,0.0,7.0,127.0
23,53.0,21.41509433962264,40.501867935206754,0.0,0.0,7.0,14.0,182.0
24,48.0,14.75,25.292753987166346,0.0,0.0,7.0,15.75,141.0
25,40.0,11.925,24.372522885308197,0.0,0.0,0.0,14.0,120.0
26,55.0,12.49090909090909,23.91022772578693,0.0,0.0,7.0,10.5,127.0
27,57.0,16.350877192982455,21.407184398225965,0.0,0.0,14.0,21.0,141.0
28,53.0,11.377358490566039,20.055908792763006,0.0,0.0,7.0,14.0,120.0
29,56.0,13.392857142857142,25.597356803480224,0.0,0.0,7.0,14.0,134.0
30,44.0,15.295454545454545,27.946443419308,0.0,0.0,7.0,8.75,134.0
31,33.0,8.515151515151516,22.558425826231222,0.0,0.0,0.0,7.0,127.0
32,49.0,9.306122448979592,22.736904730738832,0.0,0.0,7.0,7.0,148.0
33,25.0,14.6,28.438530201119747,0.0,0.0,7.0,14.0,120.0
34,56.0,15.517857142857142,22.500093794898298,0.0,5.25,7.0,21.0,134.0
35,30.0,8.666666666666666,24.18510988666136,0.0,0.0,0.0,7.0,127.0
36,39.0,14.205128205128204,25.961691907378786,0.0,0.0,7.0,14.0,155.0
37,53.0,11.50943396226415,21.569763952837594,0.0,0.0,7.0,14.0,148.0
38,48.0,19.5625,37.288927253873645,0.0,0.0,7.0,21.0,196.0
39,53.0,14.547169811320755,24.430880551635912,0.0,0.0,7.0,14.0,155.0
40,40.0,15.6,25.973161690582227,0.0,5.25,7.0,21.0,162.0
41,53.0,10.981132075471699,26.589826398916717,0.0,0.0,7.0,7.0,190.0
42,46.0,11.73913043478261,29.57659343513132,0.0,0.0,7.0,7.0,147.0
43,52.0,14.826923076923077,28.947363423469803,0.0,0.0,7.0,14.0,183.0
44,51.0,11.137254901960784,27.38687248142302,0.0,0.0,7.0,10.5,183.0
45,59.0,10.457627118644067,23.58866036299288,0.0,0.0,7.0,7.0,155.0
46,35.0,10.82857142857143,24.71066180260434,0.0,0.0,0.0,10.5,134.0
47,38.0,8.5,24.302986136175427,0.0,0.0,0.0,7.0,148.0
48,40.0,15.775,31.253707472382064,0.0,0.0,3.5,15.75,162.0
49,62.0,13.790322580645162,24.25285996099591,0.0,0.0,7.0,21.0,169.0
50,51.0,23.215686274509803,35.08863846061298,0.0,3.5,14.0,28.0,155.0
51,46.0,13.869565217391305,30.751049626640334,0.0,0.0,7.0,14.0,148.0
52,50.0,13.18,39.10670384619862,0.0,0.0,7.0,7.0,231.0
53,55.0,13.127272727272727,28.457280878833714,0.0,0.0,7.0,14.0,169.0
54,57.0,15.368421052631579,26.338884602527557,0.0,0.0,7.0,14.0,162.0
55,49.0,16.020408163265305,27.17956477754194,0.0,0.0,7.0,21.0,155.0
56,50.0,10.38,22.227846113763313,0.0,0.0,7.0,14.0,148.0
57,55.0,8.8,24.420998857237294,0.0,0.0,0.0,7.0,176.0
