id,count,mean,std,min,25%,50%,75%,max
0,23.0,33.21739130434783,34.42113056320219,7.0,7.0,14.0,56.0,120.0
1,43.0,41.2093023255814,39.91512312725048,7.0,14.0,28.0,56.0,217.0
2,31.0,35.03225806451613,35.7262591296353,7.0,10.5,21.0,38.5,133.0
3,41.0,41.853658536585364,43.464100689885306,7.0,7.0,28.0,70.0,217.0
4,35.0,43.42857142857143,44.57530687716324,7.0,7.0,28.0,56.0,196.0
5,52.0,33.94230769230769,28.682449003609253,7.0,14.0,28.0,36.75,133.0
6,16.0,25.0,32.82275633357646,7.0,7.0,10.5,21.0,120.0
7,39.0,40.58974358974359,49.77777878189062,7.0,7.0,21.0,52.5,238.0
8,43.0,43.97674418604651,49.352709373251436,7.0,7.0,35.0,59.5,245.0
9,50.0,40.34,50.580148562172376,7.0,7.0,21.0,49.0,266.0
10,10.0,21.8,36.21479133049245,7.0,7.0,7.0,7.0,120.0
11,32.0,21.46875,27.252681874539224,7.0,7.0,14.0,21.0,120.0
12,17.0,14.882352941176471,27.56102853881994,7.0,7.0,7.0,7.0,120.0
13,37.0,21.594594594594593,24.21370073539572,7.0,7.0,14.0,21.0,120.0
14,34.0,34.205882352941174,62.26520961167432,7.0,14.0,21.0,28.0,364.0
15,20.0,17.55,24.938819876692346,7.0,7.0,10.5,15.75,120.0
16,40.0,31.7,31.29610445161112,7.0,7.0,21.0,42.0,120.0
17,37.0,24.81081081081081,23.18864405723658,7.0,7.0,14.0,35.0,120.0
18,30.0,18.233333333333334,22.03396020462165,7.0,7.0,14.0,21.0,120.0
19,39.0,35.205128205128204,32.2467293218524,7.0,14.0,28.0,42.0,168.0
20,31.0,21.032258064516128,28.116998264356912,7.0,7.0,7.0,21.0,120.0
21,46.0,34.71739130434783,33.15261882967469,7.0,8.75,21.0,47.25,126.0
22,22.0,49.68181818181818,77.44822317346778,7.0,7.0,14.0,40.25,280.0
23,50.0,36.7,29.09467305195231,7.0,21.0,28.0,49.0,133.0
24,42.0,46.357142857142854,37.503704811184456,7.0,15.75,42.0,61.25,168.0
25,21.0,25.714285714285715,28.882767971825096,7.0,7.0,14.0,35.0,120.0
26,39.0,42.92307692307692,38.93272511679914,7.0,14.0,28.0,66.5,175.0
27,49.0,40.87755102040816,35.94824558367512,7.0,14.0,28.0,63.0,168.0
28,40.0,31.35,31.256219893827247,7.0,7.0,17.5,49.0,120.0
29,39.0,24.974358974358974,25.377660274848843,7.0,7.0,14.0,31.5,120.0
30,25.0,33.36,45.77015038938223,7.0,7.0,14.0,42.0,210.0
31,17.0,59.35294117647059,87.47709784314306,7.0,7.0,21.0,70.0,294.0
