id,count,mean,std,min,25%,50%,75%,max
0,24.0,40.291666666666664,50.76671210518773,7.0,7.0,10.5,64.75,217.0
1,50.0,39.08,39.184982546159915,7.0,14.0,24.5,49.0,210.0
2,50.0,34.46,35.93259562808437,7.0,14.0,21.0,42.0,140.0
3,31.0,32.32258064516129,40.14921094847253,7.0,7.0,14.0,35.0,133.0
4,38.0,51.421052631578945,57.32441184571032,7.0,7.0,28.0,68.25,252.0
5,54.0,33.46296296296296,25.125881539374454,7.0,14.0,28.0,42.0,120.0
6,33.0,27.393939393939394,19.740408104221455,7.0,21.0,21.0,28.0,120.0
7,39.0,24.615384615384617,37.449345004893566,7.0,7.0,7.0,21.0,196.0
8,36.0,33.083333333333336,40.450587140361755,7.0,7.0,14.0,35.0,154.0
9,49.0,38.87755102040816,41.05871438818907,7.0,7.0,21.0,56.0,182.0
10,17.0,30.529411764705884,28.942005906335396,7.0,14.0,21.0,35.0,120.0
11,27.0,24.14814814814815,28.81466467417069,7.0,7.0,14.0,24.5,120.0
12,16.0,28.9375,40.55361677253131,7.0,7.0,7.0,29.75,133.0
13,62.0,28.467741935483872,30.200813007152085,7.0,7.0,14.0,35.0,161.0
14,39.0,24.076923076923077,29.989809335299405,7.0,7.0,14.0,21.0,133.0
15,16.0,19.75,27.795683118067092,7.0,7.0,10.5,21.0,120.0
16,46.0,44.91304347826087,39.710522583626805,7.0,8.75,35.0,70.0,161.0
17,43.0,27.046511627906977,23.834702080282312,7.0,7.0,21.0,38.5,120.0
18,56.0,28.767857142857142,26.0391251573673,7.0,7.0,21.0,42.0,120.0
19,48.0,29.1875,26.788895960985602,7.0,7.0,21.0,42.0,120.0
20,34.0,20.0,23.950706954834622,7.0,7.0,7.0,21.0,120.0
21,39.0,27.128205128205128,25.797979813991848,7.0,7.0,14.0,35.0,120.0
22,21.0,52.714285714285715,58.89918747923681,7.0,14.0,35.0,56.0,224.0
23,46.0,37.45652173913044,30.490586176894467,7.0,15.75,28.0,54.25,126.0
24,42.0,30.023809523809526,28.047423337363327,7.0,7.0,21.0,40.25,120.0
25,27.0,39.7037037037037,60.548019604795314,7.0,7.0,14.0,42.0,294.0
26,33.0,29.727272727272727,31.4446664071118,7.0,7.0,14.0,42.0,126.0
27,39.0,44.53846153846154,45.280323456305965,7.0,10.5,28.0,59.5,182.0
28,41.0,29.048780487804876,31.554675738717552,7.0,7.0,14.0,35.0,120.0
29,48.0,28.604166666666668,24.914098873831165,7.0,7.0,21.0,42.0,120.0
30,32.0,33.9375,32.38970117082719,7.0,7.0,21.0,43.75,120.0
31,18.0,35.833333333333336,45.21224456741258,7.0,7.0,14.0,50.75,168.0
32,31.0,31.419354838709676,36.804686471107985,7.0,7.0,14.0,42.0,120.0
33,14.0,33.57142857142857,39.78154633208001,7.0,7.0,21.0,38.5,126.0
34,32.0,53.84375,50.751837325711506,7.0,14.0,35.0,91.0,175.0
35,11.0,41.45454545454545,62.769998624125584,7.0,7.0,21.0,28.0,203.0
36,24.0,34.166666666666664,52.57100098844929,7.0,7.0,14.0,24.5,224.0
37,41.0,41.853658536585364,44.09566927466334,7.0,14.0,35.0,49.0,203.0
38,41.0,43.90243902439025,44.93873878851563,7.0,14.0,28.0,56.0,196.0
39,51.0,32.549019607843135,38.000165118320304,7.0,7.0,21.0,35.0,154.0
40,26.0,43.65384615384615,49.35013054304299,7.0,7.0,24.5,54.25,182.0
41,43.0,35.18604651162791,30.246019662533392,7.0,14.0,28.0,42.0,162.0
42,34.0,27.0,22.479620400116488,7.0,14.0,24.5,28.0,127.0
43,55.0,30.69090909090909,48.13556193950917,7.0,7.0,14.0,35.0,315.0
44,42.0,33.857142857142854,41.70077581811581,7.0,7.0,14.0,35.0,162.0
45,32.0,41.8125,44.79158727174759,7.0,7.0,21.0,54.25,154.0
46,25.0,26.36,28.241340855797436,7.0,7.0,21.0,28.0,127.0
47,41.0,24.609756097560975,28.79138590688236,7.0,7.0,14.0,35.0,134.0
48,21.0,29.38095238095238,42.33376452723782,7.0,7.0,7.0,28.0,154.0
49,43.0,23.790697674418606,24.410729627158474,7.0,7.0,14.0,28.0,134.0
50,41.0,33.829268292682926,40.39672167331428,7.0,7.0,21.0,42.0,224.0
51,36.0,20.25,27.13392710243027,7.0,7.0,7.0,21.0,127.0
52,37.0,29.16216216216216,29.046431711919368,7.0,7.0,21.0,42.0,148.0
53,50.0,29.0,26.04391895022165,7.0,7.0,21.0,42.0,134.0
54,50.0,29.56,28.575114048016378,7.0,7.0,21.0,40.25,133.0
55,49.0,40.16326530612245,47.582974431852335,7.0,7.0,21.0,56.0,259.0
56,41.0,24.951219512195124,34.80872822979331,7.0,7.0,7.0,28.0,148.0
57,47.0,35.170212765957444,26.98978804380276,7.0,17.5,28.0,45.5,155.0
58,25.0,41.48,59.46365836934915,7.0,7.0,14.0,56.0,252.0
59,53.0,40.83018867924528,43.31403034772585,7.0,7.0,28.0,63.0,217.0
60,37.0,32.945945945945944,38.67093794364757,7.0,7.0,14.0,42.0,155.0
61,24.0,34.458333333333336,47.86936859073203,7.0,7.0,14.0,36.75,203.0
62,50.0,29.14,27.585865946168884,7.0,7.0,21.0,42.0,134.0
63,47.0,39.787234042553195,39.119069168603005,7.0,7.0,28.0,56.0,175.0
64,39.0,31.974358974358974,39.163279780055504,7.0,7.0,14.0,38.5,147.0
65,38.0,30.236842105263158,28.763184248906754,7.0,7.0,21.0,40.25,141.0
66,40.0,40.8,36.00583998215446,7.0,14.0,28.0,56.0,141.0
67,27.0,33.48148148148148,62.08144177695468,7.0,7.0,14.0,28.0,308.0
68,38.0,26.736842105263158,36.84201788244058,7.0,7.0,14.0,21.0,155.0
69,18.0,27.27777777777778,30.73952342918795,7.0,7.0,14.0,40.25,127.0
70,37.0,50.54054054054054,45.99009228723713,7.0,14.0,28.0,84.0,147.0
71,21.0,30.047619047619047,48.76215355219271,7.0,7.0,14.0,28.0,203.0
72,29.0,29.482758620689655,44.27480796897549,7.0,7.0,7.0,28.0,175.0
73,40.0,42.55,42.84913905726366,7.0,14.0,28.0,50.75,168.0
74,34.0,27.61764705882353,30.6732681029277,7.0,7.0,17.5,33.25,169.0
75,50.0,37.12,39.646725679970814,7.0,14.0,21.0,40.25,169.0
76,29.0,37.93103448275862,45.52623343781564,7.0,7.0,21.0,49.0,169.0
77,46.0,39.130434782608695,38.3791660471333,7.0,14.0,28.0,49.0,176.0
78,36.0,34.638888888888886,32.71535487266559,7.0,14.0,28.0,42.0,148.0
79,54.0,40.592592592592595,52.198647607189656,7.0,14.0,28.0,42.0,287.0
80,38.0,36.13157894736842,42.446259219910885,7.0,7.0,14.0,42.0,169.0
81,30.0,50.9,55.5730956985234,7.0,21.0,35.0,56.0,203.0
82,23.0,23.47826086956522,29.773187396498816,7.0,7.0,14.0,28.0,141.0
83,39.0,20.846153846153847,27.263372828315074,7.0,7.0,7.0,28.0,155.0
84,26.0,30.73076923076923,47.683588533001746,7.0,7.0,7.0,26.25,176.0
85,35.0,27.228571428571428,30.54320538119703,7.0,7.0,14.0,35.0,169.0
86,35.0,35.82857142857143,42.158305102027406,7.0,7.0,21.0,42.0,176.0
87,36.0,27.63888888888889,28.472696473015063,7.0,14.0,21.0,28.0,155.0
88,48.0,27.875,34.11658671909753,7.0,7.0,14.0,35.0,175.0
89,48.0,38.8125,33.887584025182875,7.0,14.0,35.0,49.0,176.0
90,46.0,35.17391304347826,36.547870798493605,7.0,14.0,17.5,54.25,176.0
91,45.0,38.6,39.965553349671694,7.0,7.0,21.0,56.0,162.0
92,42.0,20.19047619047619,29.37249260309603,7.0,7.0,7.0,21.0,155.0
93,50.0,33.62,31.560689834937747,7.0,7.0,28.0,42.0,183.0
94,26.0,49.30769230769231,56.7223195793467,7.0,7.0,28.0,63.0,196.0
95,47.0,38.59574468085106,44.602914495564214,7.0,10.5,21.0,52.5,231.0
96,36.0,33.666666666666664,42.54879551761719,7.0,7.0,21.0,29.75,182.0
97,19.0,35.05263157894737,35.780928632459634,7.0,14.0,21.0,45.5,141.0
98,42.0,39.357142857142854,29.50884235281832,7.0,21.0,35.0,49.0,155.0
99,41.0,54.146341463414636,53.59690335066465,7.0,14.0,35.0,77.0,196.0
100,35.0,39.628571428571426,49.8002396133414,7.0,7.0,28.0,35.0,231.0
101,47.0,24.893617021276597,29.473078388187172,7.0,7.0,14.0,31.5,169.0
102,37.0,41.648648648648646,53.30218685122706,7.0,7.0,21.0,49.0,231.0
103,25.0,54.64,83.95578201251736,7.0,7.0,14.0,49.0,301.0
104,37.0,27.27027027027027,40.14255752845009,7.0,7.0,14.0,21.0,183.0
105,13.0,42.07692307692308,79.25534844040656,7.0,7.0,7.0,21.0,273.0
106,36.0,43.97222222222222,48.96966180991837,7.0,7.0,21.0,59.5,183.0
107,21.0,42.04761904761905,53.735906236404155,14.0,21.0,21.0,28.0,231.0
108,33.0,26.545454545454547,39.70051236216205,7.0,7.0,14.0,14.0,169.0
109,39.0,36.1025641025641,47.71118972349473,7.0,7.0,14.0,28.0,190.0
110,44.0,45.68181818181818,48.92175657501249,7.0,14.0,31.5,57.75,274.0
111,48.0,45.083333333333336,37.16886899940642,7.0,19.25,35.0,70.0,176.0
112,26.0,61.69230769230769,95.12760660534639,7.0,8.75,35.0,54.25,477.0
113,45.0,36.733333333333334,43.18006695013547,7.0,14.0,21.0,42.0,217.0
114,30.0,43.9,43.091202398377455,7.0,14.0,24.5,63.0,169.0
115,52.0,35.42307692307692,44.22817226293053,7.0,7.0,21.0,42.0,211.0
116,35.0,37.82857142857143,45.48334259683992,7.0,7.0,14.0,59.5,211.0
117,34.0,39.14705882352941,43.2015237897231,7.0,14.0,28.0,47.25,204.0
118,13.0,58.23076923076923,96.85913641826625,7.0,7.0,21.0,42.0,343.0
119,37.0,24.243243243243242,31.772109891648164,7.0,7.0,14.0,28.0,183.0
