id,count,mean,std,min,25%,50%,75%,max
0,22.0,12.818181818181818,19.699253946802305,7.0,7.0,7.0,12.25,100.0
1,47.0,25.51063829787234,21.323463643546088,7.0,7.0,21.0,31.5,100.0
2,60.0,21.15,16.387081518011865,7.0,7.0,14.0,28.0,100.0
3,30.0,14.533333333333333,18.140701680785792,7.0,7.0,7.0,14.0,100.0
4,45.0,30.844444444444445,24.75696004575422,7.0,14.0,21.0,35.0,105.0
5,60.0,21.383333333333333,16.17917857028099,7.0,7.0,14.0,28.0,100.0
6,20.0,13.75,20.685298618762275,7.0,7.0,7.0,14.0,100.0
7,42.0,24.047619047619047,19.56845692403775,7.0,7.0,21.0,33.25,100.0
8,49.0,23.040816326530614,19.334726081666147,7.0,7.0,14.0,28.0,100.0
9,46.0,16.17391304347826,15.35405027682864,7.0,7.0,14.0,21.0,100.0
10,9.0,19.666666666666668,30.91520661422142,7.0,7.0,7.0,7.0,100.0
11,17.0,17.823529411764707,22.74102925913218,7.0,7.0,7.0,14.0,100.0
12,47.0,22.382978723404257,21.6378826331821,7.0,7.0,14.0,31.5,100.0
13,49.0,24.897959183673468,27.301743608817965,7.0,7.0,14.0,28.0,140.0
14,33.0,14.06060606060606,17.62799512483516,7.0,7.0,7.0,14.0,100.0
15,47.0,19.25531914893617,15.565385349922495,7.0,7.0,21.0,21.0,100.0
16,54.0,25.703703703703702,25.656386626004156,7.0,7.0,14.0,33.25,105.0
17,45.0,18.711111111111112,18.775736545560143,7.0,7.0,14.0,21.0,100.0
18,44.0,17.227272727272727,16.174719919739864,7.0,7.0,14.0,21.0,100.0
19,57.0,23.982456140350877,18.941160045246676,7.0,7.0,21.0,42.0,100.0
20,31.0,25.129032258064516,25.92777395700586,7.0,7.0,14.0,31.5,100.0
21,55.0,18.745454545454546,16.51735135010743,7.0,7.0,14.0,28.0,100.0
22,21.0,26.761904761904763,25.868716168191966,7.0,14.0,14.0,28.0,100.0
23,63.0,24.58730158730159,17.642173555500943,7.0,14.0,21.0,31.5,100.0
24,59.0,24.11864406779661,20.151225466083226,7.0,7.0,21.0,28.0,100.0
25,19.0,13.368421052631579,21.93731100283459,7.0,7.0,7.0,7.0,100.0
26,49.0,21.183673469387756,20.837339750821275,7.0,7.0,14.0,28.0,112.0
27,34.0,30.323529411764707,25.00390343857885,7.0,14.0,21.0,40.25,100.0
28,50.0,18.24,17.27988095197087,7.0,7.0,14.0,21.0,100.0
29,43.0,17.302325581395348,17.12493987993747,7.0,7.0,7.0,21.0,100.0
30,46.0,22.26086956521739,18.398592678799826,7.0,7.0,14.0,33.25,100.0
31,5.0,29.8,40.282750650867925,7.0,7.0,7.0,28.0,100.0
32,41.0,29.75609756097561,23.353565560535806,7.0,14.0,21.0,42.0,100.0
33,14.0,16.642857142857142,24.399265886992907,7.0,7.0,7.0,14.0,100.0
34,44.0,19.295454545454547,18.20245261452237,7.0,7.0,14.0,28.0,100.0
35,19.0,24.05263157894737,24.845016679430298,7.0,7.0,14.0,31.5,100.0
36,43.0,16.325581395348838,16.54966685067156,7.0,7.0,14.0,14.0,107.0
37,57.0,26.80701754385965,23.27816159015879,7.0,7.0,21.0,35.0,114.0
38,26.0,22.96153846153846,32.521353931508784,7.0,7.0,7.0,19.25,128.0
39,54.0,18.833333333333332,16.730663296463252,7.0,7.0,14.0,26.25,107.0
40,28.0,18.571428571428573,25.817634759022074,7.0,7.0,7.0,21.0,128.0
41,49.0,24.612244897959183,18.740348990136468,7.0,14.0,21.0,28.0,121.0
42,41.0,14.560975609756097,15.97192659087783,7.0,7.0,14.0,14.0,107.0
43,65.0,18.015384615384615,24.845455009224214,7.0,7.0,7.0,14.0,147.0
44,43.0,16.488372093023255,22.13419256761256,7.0,7.0,7.0,17.5,142.0
45,35.0,16.457142857142856,22.184179388159716,7.0,7.0,14.0,14.0,135.0
46,27.0,13.037037037037036,19.75130274472953,7.0,7.0,7.0,7.0,107.0
47,44.0,15.477272727272727,17.38147722515383,7.0,7.0,14.0,14.0,114.0
48,16.0,19.8125,29.842293812641145,7.0,7.0,7.0,14.0,121.0
49,39.0,19.256410256410255,18.97050057425441,7.0,7.0,14.0,28.0,114.0
50,48.0,21.041666666666668,19.42903982837243,7.0,7.0,14.0,28.0,121.0
51,41.0,21.21951219512195,20.041846465735077,7.0,7.0,14.0,28.0,107.0
52,25.0,18.84,28.749898550545648,7.0,7.0,7.0,14.0,135.0
53,46.0,21.043478260869566,18.99936434227809,7.0,7.0,14.0,28.0,114.0
54,50.0,23.14,19.52602658724284,7.0,7.0,21.0,28.0,107.0
55,60.0,28.383333333333333,24.671462734226516,7.0,7.0,21.0,36.75,128.0
56,33.0,18.727272727272727,23.203276610309707,7.0,7.0,7.0,21.0,121.0
57,44.0,20.40909090909091,21.2518871192908,7.0,7.0,14.0,28.0,128.0
58,31.0,18.806451612903224,21.63087200405739,7.0,7.0,14.0,21.0,114.0
59,62.0,28.596774193548388,24.226025618999863,7.0,8.75,21.0,40.25,128.0
60,43.0,13.069767441860465,17.875755526939688,7.0,7.0,7.0,14.0,121.0
61,35.0,14.857142857142858,17.845979704029663,7.0,7.0,7.0,14.0,107.0
62,53.0,21.830188679245282,20.791765982138777,7.0,7.0,14.0,28.0,114.0
63,57.0,28.157894736842106,27.1278648741765,7.0,14.0,21.0,35.0,140.0
64,36.0,15.027777777777779,19.88033646037656,7.0,7.0,7.0,14.0,114.0
65,42.0,20.547619047619047,24.4672029170284,7.0,7.0,7.0,21.0,121.0
66,38.0,36.3421052631579,30.945703378825343,7.0,14.0,24.5,42.0,128.0
67,25.0,17.44,20.581302193981795,7.0,7.0,14.0,14.0,107.0
68,27.0,15.37037037037037,23.722997845563842,7.0,7.0,7.0,7.0,121.0
69,7.0,22.285714285714285,40.442198611987315,7.0,7.0,7.0,7.0,114.0
70,37.0,30.135135135135137,24.142127958039293,7.0,14.0,21.0,35.0,135.0
71,26.0,24.307692307692307,24.717231609982914,7.0,7.0,14.0,33.25,114.0
72,23.0,17.130434782608695,28.30724987095915,7.0,7.0,7.0,17.5,142.0
