id,count,mean,std,min,25%,50%,75%,max
0,20.0,25.8,26.643059726295466,7.0,7.0,14.0,35.0,110.0
1,48.0,31.020833333333332,19.514849319726537,7.0,19.25,28.0,42.0,110.0
2,50.0,26.42,25.053485642863006,7.0,7.0,21.0,33.25,110.0
3,33.0,18.181818181818183,21.727653096708558,7.0,7.0,7.0,14.0,110.0
4,34.0,29.176470588235293,23.886690332579846,7.0,14.0,21.0,35.0,110.0
5,45.0,19.244444444444444,20.26658193762193,7.0,7.0,14.0,21.0,110.0
6,45.0,18.622222222222224,22.3975332335839,7.0,7.0,7.0,21.0,110.0
7,40.0,13.775,18.453666858183514,7.0,7.0,7.0,14.0,110.0
8,54.0,29.0,28.002021490370474,7.0,7.0,14.0,42.0,110.0
9,53.0,18.9811320754717,20.111698247191033,7.0,7.0,7.0,21.0,110.0
10,4.0,32.75,51.5,7.0,7.0,7.0,32.75,110.0
11,25.0,17.84,21.220430407196424,7.0,7.0,14.0,21.0,110.0
12,25.0,26.24,32.19378822071115,7.0,7.0,14.0,28.0,133.0
13,44.0,24.295454545454547,20.3636469816493,7.0,14.0,21.0,29.75,110.0
14,44.0,16.977272727272727,18.76846518531183,7.0,7.0,7.0,15.75,110.0
15,28.0,20.178571428571427,20.39799113462015,7.0,7.0,14.0,28.0,110.0
16,37.0,21.135135135135137,22.24754938085212,7.0,7.0,14.0,21.0,110.0
17,53.0,32.320754716981135,24.519829953690742,7.0,14.0,28.0,42.0,110.0
18,59.0,27.135593220338983,21.892730353120324,7.0,7.0,21.0,35.0,110.0
19,56.0,30.714285714285715,26.643583082620843,7.0,7.0,21.0,42.0,110.0
20,38.0,19.289473684210527,22.532748413517073,7.0,7.0,7.0,19.25,110.0
21,38.0,21.13157894736842,19.175112040451527,7.0,7.0,14.0,21.0,110.0
22,29.0,18.517241379310345,20.279512338556245,7.0,7.0,14.0,21.0,110.0
23,53.0,30.20754716981132,26.777831309446164,7.0,14.0,21.0,35.0,112.0
24,48.0,23.875,23.20640502194498,7.0,7.0,14.0,35.0,110.0
25,42.0,18.11904761904762,24.113757211926266,7.0,7.0,7.0,14.0,110.0
26,45.0,20.644444444444446,19.010948467032403,7.0,7.0,14.0,28.0,110.0
27,52.0,28.634615384615383,29.07396169889439,7.0,7.0,21.0,35.0,140.0
28,57.0,31.649122807017545,28.978742965485047,7.0,7.0,21.0,42.0,140.0
29,56.0,25.964285714285715,23.091095714554157,7.0,7.0,14.0,35.0,110.0
30,45.0,33.4,24.555502993682033,7.0,14.0,28.0,49.0,110.0
31,11.0,22.09090909090909,31.17837245737675,7.0,7.0,7.0,24.5,110.0
32,35.0,21.142857142857142,29.249578033299052,7.0,7.0,7.0,17.5,112.0
33,10.0,22.2,32.86267724266475,7.0,7.0,7.0,17.5,110.0
34,43.0,19.162790697674417,17.770936991345945,7.0,7.0,14.0,24.5,110.0
35,20.0,28.25,25.197900915082506,7.0,12.25,21.0,35.0,110.0
36,26.0,19.846153846153847,25.540074091814702,7.0,7.0,7.0,21.0,124.0
37,47.0,30.638297872340427,23.76005556639207,7.0,14.0,28.0,35.0,117.0
38,42.0,33.45238095238095,36.307764661028145,7.0,8.75,28.0,35.0,196.0
39,52.0,23.115384615384617,21.18976246168191,7.0,7.0,14.0,28.0,117.0
40,37.0,31.54054054054054,26.986204906493526,7.0,7.0,28.0,49.0,131.0
41,43.0,20.302325581395348,24.377521733996524,7.0,7.0,14.0,21.0,145.0
42,39.0,23.28205128205128,32.21714868460153,7.0,7.0,7.0,21.0,140.0
43,42.0,15.285714285714286,19.2332102444345,7.0,7.0,7.0,14.0,124.0
44,32.0,29.90625,29.334950392256147,7.0,7.0,21.0,42.0,152.0
45,40.0,24.1,24.97670709753184,7.0,7.0,14.0,28.0,138.0
46,26.0,12.307692307692308,21.50677889553753,7.0,7.0,7.0,7.0,117.0
47,47.0,13.212765957446809,17.737133941086235,7.0,7.0,7.0,14.0,124.0
48,19.0,20.157894736842106,28.703974091664914,7.0,7.0,14.0,21.0,131.0
49,38.0,20.57894736842105,23.718656790448758,7.0,7.0,14.0,21.0,131.0
50,50.0,25.16,23.191624103788605,7.0,7.0,21.0,28.0,124.0
51,42.0,20.11904761904762,20.229418786428383,7.0,7.0,14.0,26.25,117.0
52,36.0,18.02777777777778,23.03101773213198,7.0,7.0,7.0,22.75,138.0
53,47.0,25.127659574468087,22.436981333500547,7.0,7.0,21.0,35.0,131.0
54,50.0,23.34,24.238281410081154,7.0,7.0,17.5,26.25,117.0
55,55.0,32.03636363636364,27.373928956800967,7.0,14.0,28.0,42.0,140.0
56,42.0,17.452380952380953,22.205473266140647,7.0,7.0,7.0,21.0,138.0
57,54.0,22.38888888888889,21.698114574788033,7.0,7.0,14.0,28.0,138.0
58,29.0,22.379310344827587,24.045216027166475,7.0,7.0,14.0,21.0,124.0
59,51.0,34.96078431372549,31.546765783080662,7.0,14.0,28.0,49.0,138.0
60,37.0,26.81081081081081,29.897823999078593,7.0,7.0,14.0,35.0,152.0
61,15.0,20.4,28.92058090702882,7.0,7.0,7.0,17.5,117.0
62,48.0,27.520833333333332,23.411208066235442,7.0,12.25,21.0,36.75,138.0
63,56.0,27.464285714285715,27.923248238838404,7.0,7.0,14.0,42.0,131.0
64,39.0,22.564102564102566,26.36664047796888,7.0,7.0,14.0,28.0,117.0
