id,count,mean,std,min,25%,50%,75%,max
0,46.0,6.521739130434782,15.725053090084955,0.0,0.0,0.0,7.0,97.0
1,61.0,3.3114754098360657,14.5379285360817,0.0,0.0,0.0,0.0,111.0
2,60.0,6.516666666666667,16.12713437895388,0.0,0.0,0.0,7.0,118.0
3,61.0,6.295081967213115,13.280743280272484,0.0,0.0,0.0,7.0,90.0
4,54.0,16.314814814814813,21.80775703611427,0.0,1.75,7.0,21.0,104.0
5,62.0,10.82258064516129,19.248610078455172,0.0,0.0,7.0,14.0,111.0
6,38.0,2.5526315789473686,14.613391430596822,0.0,0.0,0.0,0.0,90.0
7,65.0,4.184615384615385,13.54955293046175,0.0,0.0,0.0,0.0,97.0
8,65.0,12.046153846153846,20.490417554029044,0.0,0.0,7.0,14.0,125.0
9,65.0,4.938461538461539,13.983111379308747,0.0,0.0,0.0,7.0,104.0
10,35.0,16.37142857142857,38.09283220694175,0.0,0.0,0.0,14.0,203.0
11,39.0,3.2051282051282053,15.7282506257463,0.0,0.0,0.0,0.0,97.0
12,49.0,14.26530612244898,20.478419037086418,0.0,0.0,7.0,21.0,90.0
13,70.0,11.085714285714285,18.600095727619376,0.0,0.0,7.0,14.0,104.0
14,62.0,9.806451612903226,17.396851712238636,0.0,0.0,3.5,14.0,111.0
15,40.0,6.625,15.058326770534803,0.0,0.0,0.0,7.0,90.0
16,61.0,9.39344262295082,14.79896245070871,0.0,0.0,7.0,14.0,97.0
17,62.0,3.370967741935484,11.751852133017985,0.0,0.0,0.0,5.25,90.0
18,62.0,8.225806451612904,15.611491516564362,0.0,0.0,0.0,7.0,97.0
19,62.0,13.53225806451613,22.348005919724663,0.0,0.0,7.0,21.0,111.0
20,64.0,13.328125,20.412457049012442,0.0,0.0,7.0,21.0,104.0
21,61.0,5.147540983606557,15.690587481644071,0.0,0.0,0.0,7.0,111.0
22,37.0,5.27027027027027,15.882640153899423,0.0,0.0,0.0,0.0,90.0
23,61.0,10.426229508196721,18.329810888634796,0.0,0.0,7.0,14.0,104.0
24,57.0,8.578947368421053,16.788545593883192,0.0,0.0,0.0,7.0,104.0
25,51.0,11.509803921568627,21.373228627439147,0.0,0.0,0.0,14.0,97.0
26,62.0,13.419354838709678,29.25106044713356,0.0,0.0,7.0,14.0,189.0
27,59.0,5.677966101694915,14.863100198682389,0.0,0.0,0.0,7.0,90.0
28,61.0,7.672131147540983,15.735015423650328,0.0,0.0,0.0,7.0,111.0
29,63.0,4.2063492063492065,13.74321971263053,0.0,0.0,0.0,7.0,104.0
30,46.0,5.0,15.868907404803338,0.0,0.0,0.0,7.0,104.0
31,30.0,6.266666666666667,17.77431958702243,0.0,0.0,0.0,7.0,97.0
32,60.0,4.416666666666667,14.962429407863914,0.0,0.0,0.0,7.0,111.0
33,22.0,5.363636363636363,19.102593826731777,0.0,0.0,0.0,0.0,90.0
34,60.0,7.333333333333333,16.769288582048514,0.0,0.0,0.0,7.0,111.0
35,21.0,5.9523809523809526,21.16477306865394,0.0,0.0,0.0,0.0,97.0
36,45.0,7.7555555555555555,18.757005425313828,0.0,0.0,0.0,7.0,118.0
37,61.0,6.754098360655738,17.267170910627794,0.0,0.0,0.0,7.0,125.0
38,60.0,11.3,18.924739435772015,0.0,0.0,7.0,14.0,132.0
39,61.0,8.245901639344263,14.37666597616304,0.0,0.0,7.0,14.0,104.0
40,51.0,9.862745098039216,24.258622885764254,0.0,0.0,0.0,14.0,153.0
41,62.0,11.274193548387096,23.175148755310662,0.0,0.0,7.0,14.0,160.0
42,38.0,4.947368421052632,19.159285898249646,0.0,0.0,0.0,5.25,118.0
43,65.0,10.215384615384615,19.352399970427044,0.0,0.0,7.0,7.0,132.0
44,60.0,9.433333333333334,21.48974265895296,0.0,0.0,0.0,14.0,146.0
45,64.0,8.84375,19.544997939228452,0.0,0.0,0.0,14.0,139.0
46,32.0,9.375,21.522306507885133,0.0,0.0,0.0,7.0,111.0
47,39.0,5.717948717948718,19.107657211248167,0.0,0.0,0.0,7.0,118.0
48,43.0,9.581395348837209,22.00458021384632,0.0,0.0,0.0,7.0,132.0
49,68.0,9.455882352941176,21.91669017358819,0.0,0.0,0.0,7.0,125.0
50,61.0,9.852459016393443,19.249966290510546,0.0,0.0,7.0,14.0,132.0
51,40.0,12.575,21.737227313575467,0.0,0.0,7.0,15.75,118.0
52,58.0,6.137931034482759,19.420054994648194,0.0,0.0,0.0,7.0,139.0
53,61.0,7.557377049180328,16.657855594447458,0.0,0.0,7.0,7.0,125.0
54,62.0,13.870967741935484,22.42180135710115,0.0,0.0,7.0,19.25,139.0
55,62.0,12.064516129032258,20.931481480658398,0.0,0.0,7.0,14.0,132.0
56,61.0,6.409836065573771,16.614629145405093,0.0,0.0,0.0,7.0,118.0
57,61.0,8.704918032786885,19.674301565150994,0.0,0.0,7.0,7.0,139.0
58,37.0,9.621621621621621,20.08088000416669,0.0,0.0,7.0,14.0,118.0
59,61.0,12.262295081967213,25.38825295246095,0.0,0.0,7.0,14.0,160.0
60,56.0,8.107142857142858,20.033316406270984,0.0,0.0,0.0,7.0,132.0
61,48.0,7.270833333333333,19.40249993032082,0.0,0.0,0.0,7.0,125.0
62,62.0,15.338709677419354,27.39985853043956,0.0,0.0,7.0,14.0,139.0
63,58.0,12.051724137931034,20.787498278881348,0.0,0.0,7.0,14.0,132.0
64,58.0,9.758620689655173,18.897981276044803,0.0,0.0,0.0,14.0,118.0
65,62.0,7.548387096774194,18.18725677036826,0.0,0.0,0.0,7.0,125.0
66,45.0,11.8,21.645490817425987,0.0,0.0,7.0,14.0,132.0
67,30.0,12.1,21.732464195300082,0.0,0.0,7.0,14.0,118.0
68,59.0,5.203389830508475,18.376127374298605,0.0,0.0,0.0,7.0,139.0
69,22.0,15.227272727272727,29.013842046565127,0.0,0.0,7.0,14.0,125.0
70,59.0,17.1864406779661,30.77531174456026,0.0,0.0,7.0,14.0,153.0
71,21.0,12.285714285714286,27.344364789006995,0.0,0.0,7.0,14.0,125.0
72,43.0,10.55813953488372,24.428030665007416,0.0,0.0,0.0,7.0,139.0
73,60.0,8.5,24.370376571511734,0.0,0.0,0.0,7.0,181.0
74,57.0,8.578947368421053,26.369589741933694,0.0,0.0,0.0,7.0,188.0
75,61.0,14.557377049180328,22.419875549880537,0.0,0.0,7.0,14.0,139.0
76,48.0,13.6875,48.37669398870282,0.0,0.0,7.0,8.75,335.0
77,62.0,9.580645161290322,24.371811443131723,0.0,0.0,7.0,7.0,181.0
78,38.0,5.868421052631579,20.591484795618637,0.0,0.0,0.0,5.25,125.0
79,64.0,14.640625,26.754834713665407,0.0,0.0,7.0,14.0,139.0
80,59.0,9.830508474576272,24.205408730404894,0.0,0.0,0.0,14.0,174.0
81,63.0,11.761904761904763,26.150750489270354,0.0,0.0,7.0,10.5,167.0
82,32.0,13.09375,27.274423059449056,0.0,0.0,7.0,14.0,132.0
83,39.0,16.128205128205128,33.11477606842719,0.0,0.0,0.0,14.0,160.0
84,43.0,10.720930232558139,26.91992144384221,0.0,0.0,0.0,7.0,146.0
85,65.0,10.430769230769231,21.759314981440443,0.0,0.0,0.0,14.0,153.0
86,60.0,13.75,23.902786873897846,0.0,0.0,7.0,14.0,160.0
87,40.0,15.725,34.53573957065793,0.0,0.0,7.0,14.0,216.0
88,58.0,5.051724137931035,19.488568321475302,0.0,0.0,0.0,5.25,146.0
89,61.0,5.262295081967213,19.160638158600268,0.0,0.0,0.0,7.0,146.0
