id,count,mean,std,min,25%,50%,75%,max
0,21.0,45.38095238095238,53.224502055421986,7.0,7.0,21.0,49.0,154.0
1,56.0,34.517857142857146,24.307119100400175,7.0,14.0,28.0,49.0,120.0
2,42.0,36.19047619047619,41.09728974224402,7.0,14.0,17.5,47.25,175.0
3,52.0,39.73076923076923,33.01818594832628,7.0,14.0,35.0,52.5,126.0
4,33.0,38.21212121212121,47.53272397501376,7.0,7.0,14.0,42.0,182.0
5,55.0,28.4,21.09818317612522,7.0,14.0,21.0,38.5,120.0
6,32.0,28.6875,22.991495622680617,7.0,21.0,21.0,28.0,120.0
7,29.0,50.96551724137931,63.86340487915298,7.0,14.0,28.0,63.0,301.0
8,47.0,44.255319148936174,44.28733653781091,7.0,7.0,28.0,63.0,189.0
9,36.0,37.94444444444444,38.993731689992316,7.0,7.0,24.5,52.5,140.0
10,9.0,24.22222222222222,37.7053636031327,7.0,7.0,7.0,14.0,120.0
11,31.0,17.870967741935484,22.12953070067818,7.0,7.0,7.0,21.0,120.0
12,22.0,33.13636363636363,28.978309547701784,7.0,7.0,24.5,49.0,120.0
13,44.0,28.181818181818183,31.244923477726168,7.0,7.0,14.0,35.0,126.0
14,42.0,20.357142857142858,20.383902578273805,7.0,7.0,14.0,26.25,120.0
15,15.0,29.466666666666665,39.067463018049516,7.0,7.0,14.0,28.0,126.0
16,35.0,41.42857142857143,33.31073463640222,7.0,14.0,28.0,56.0,133.0
17,45.0,36.266666666666666,33.53722490823375,7.0,7.0,21.0,49.0,161.0
18,50.0,33.34,25.585877801184445,7.0,14.0,28.0,42.0,120.0
19,39.0,42.743589743589745,38.82058457538512,7.0,14.0,28.0,66.5,133.0
20,39.0,33.58974358974359,54.74088145585621,7.0,10.5,14.0,35.0,336.0
21,34.0,26.176470588235293,23.953832600581574,7.0,7.0,21.0,35.0,120.0
22,28.0,42.535714285714285,50.35171271709607,7.0,7.0,17.5,71.75,168.0
23,44.0,39.15909090909091,32.12978273641479,7.0,19.25,31.5,50.75,168.0
24,31.0,39.774193548387096,41.255068114854566,7.0,14.0,28.0,59.5,161.0
25,18.0,26.88888888888889,30.572746204054297,7.0,7.0,14.0,35.0,120.0
26,41.0,44.073170731707314,42.6018721677243,7.0,7.0,35.0,63.0,168.0
27,43.0,50.0,51.800900893066846,7.0,14.0,28.0,80.5,210.0
28,37.0,34.270270270270274,34.903556527354894,7.0,7.0,21.0,49.0,120.0
29,39.0,30.358974358974358,28.236302855019417,7.0,7.0,21.0,38.5,120.0
30,40.0,34.325,42.99158385139214,7.0,14.0,21.0,35.0,210.0
31,32.0,36.34375,45.88949516097374,7.0,7.0,14.0,45.5,161.0
32,27.0,38.666666666666664,50.366350183125554,7.0,7.0,14.0,52.5,224.0
33,14.0,36.57142857142857,39.87039442554277,7.0,7.0,17.5,61.25,120.0
34,43.0,32.58139534883721,33.384650420828585,7.0,7.0,21.0,42.0,140.0
35,27.0,23.37037037037037,28.728367310362216,7.0,7.0,7.0,31.5,120.0
36,25.0,39.52,48.96182186152799,7.0,7.0,21.0,42.0,148.0
37,43.0,39.906976744186046,32.53775386157731,7.0,17.5,35.0,49.0,148.0
38,44.0,49.18181818181818,56.45878213651324,7.0,14.0,31.5,63.0,308.0
39,49.0,40.44897959183673,38.23450733330309,7.0,7.0,21.0,63.0,133.0
40,27.0,41.0,38.66324034333069,7.0,7.0,28.0,63.0,134.0
41,47.0,28.617021276595743,25.886502435161542,7.0,14.0,21.0,35.0,162.0
42,33.0,30.151515151515152,25.205556446100836,7.0,14.0,28.0,35.0,127.0
43,54.0,36.31481481481482,48.04157950448564,7.0,7.0,14.0,33.25,224.0
44,34.0,43.26470588235294,63.177148162218224,7.0,7.0,14.0,47.25,294.0
45,36.0,36.583333333333336,39.29185666267249,7.0,7.0,21.0,49.0,168.0
46,25.0,15.72,24.79334588150619,7.0,7.0,7.0,14.0,127.0
47,42.0,18.523809523809526,22.992297856963354,7.0,7.0,10.5,14.0,134.0
48,20.0,29.1,52.69764800504059,7.0,7.0,7.0,17.5,217.0
49,38.0,25.263157894736842,22.477236786179102,7.0,14.0,21.0,28.0,134.0
50,46.0,27.717391304347824,24.572489625123694,7.0,14.0,21.0,35.0,141.0
51,36.0,21.61111111111111,28.22489051253245,7.0,7.0,7.0,22.75,127.0
52,32.0,26.9375,31.02957746117976,7.0,7.0,14.0,29.75,148.0
53,43.0,41.372093023255815,32.67955765263803,7.0,14.0,35.0,56.0,147.0
54,49.0,28.877551020408163,27.65609686628883,7.0,7.0,21.0,35.0,133.0
55,47.0,46.638297872340424,43.18384638199944,7.0,21.0,28.0,59.5,168.0
56,37.0,19.7027027027027,25.743246001907274,7.0,7.0,7.0,21.0,148.0
57,46.0,34.41304347826087,27.854842855981097,7.0,14.0,28.0,42.0,155.0
58,28.0,44.535714285714285,54.12706733224531,7.0,7.0,21.0,38.5,175.0
59,50.0,40.9,39.47422305396631,7.0,14.0,28.0,61.25,175.0
60,32.0,45.75,61.798319217147935,7.0,7.0,14.0,64.75,266.0
61,18.0,30.38888888888889,36.95965827587264,7.0,7.0,14.0,33.25,127.0
62,45.0,36.577777777777776,32.21200290750532,7.0,14.0,28.0,49.0,134.0
63,46.0,39.891304347826086,46.85449261555256,7.0,7.0,21.0,49.0,203.0
64,42.0,27.023809523809526,36.40925109943036,7.0,7.0,14.0,26.25,161.0
65,44.0,29.931818181818183,30.998422861061012,7.0,14.0,17.5,35.0,141.0
66,41.0,39.97560975609756,44.69311345435561,7.0,7.0,28.0,42.0,203.0
67,29.0,36.96551724137931,43.95491420488295,7.0,7.0,21.0,42.0,182.0
68,27.0,41.77777777777778,42.52540718688366,7.0,14.0,28.0,59.5,161.0
69,17.0,28.470588235294116,37.896433946775964,7.0,7.0,7.0,35.0,127.0
