id,count,mean,std,min,25%,50%,75%,max
0,40.0,10.525,22.779869093070662,0.0,0.0,0.0,14.0,134.0
1,52.0,9.173076923076923,20.987130654093853,0.0,0.0,3.5,8.75,141.0
2,52.0,16.442307692307693,25.15942380768768,0.0,0.0,7.0,21.0,141.0
3,50.0,6.46,18.174000267257775,0.0,0.0,0.0,7.0,120.0
4,46.0,19.043478260869566,21.88145487925449,0.0,7.0,14.0,28.0,127.0
5,52.0,6.615384615384615,20.852567290246743,0.0,0.0,0.0,7.0,148.0
6,48.0,11.541666666666666,21.40288142595135,0.0,0.0,0.0,14.0,120.0
7,53.0,10.584905660377359,20.825681226519848,0.0,0.0,7.0,14.0,134.0
8,52.0,17.923076923076923,30.127081266545318,0.0,0.0,7.0,21.0,162.0
9,61.0,15.508196721311476,30.928747658028268,0.0,0.0,7.0,14.0,175.0
10,38.0,8.131578947368421,21.081785468043876,0.0,0.0,0.0,7.0,120.0
11,47.0,9.106382978723405,19.707904000958813,0.0,0.0,0.0,14.0,127.0
12,40.0,11.05,24.51890950015769,0.0,0.0,3.5,8.75,127.0
13,66.0,11.045454545454545,24.323734416081262,0.0,0.0,3.5,14.0,147.0
14,53.0,10.18867924528302,19.897870589369397,0.0,0.0,7.0,14.0,134.0
15,48.0,4.833333333333333,18.57627557354803,0.0,0.0,0.0,0.0,120.0
16,49.0,14.306122448979592,21.788953701390998,0.0,7.0,7.0,14.0,141.0
17,51.0,17.45098039215686,23.493244752898818,0.0,7.0,7.0,21.0,127.0
18,57.0,12.666666666666666,32.82275633357646,0.0,0.0,7.0,14.0,217.0
19,54.0,20.11111111111111,29.96203047926244,0.0,0.0,14.0,21.0,141.0
20,56.0,14.517857142857142,22.347658873869925,0.0,0.0,7.0,21.0,134.0
21,50.0,14.86,25.311939588152576,0.0,1.75,7.0,14.0,148.0
22,42.0,10.69047619047619,24.130224034658983,0.0,0.0,0.0,7.0,127.0
23,50.0,9.54,18.221102365899036,0.0,0.0,7.0,7.0,120.0
24,49.0,11.877551020408163,23.208863835703326,0.0,0.0,7.0,14.0,141.0
25,40.0,13.5,28.86396031607938,0.0,0.0,7.0,14.0,133.0
26,53.0,18.641509433962263,27.323626251358874,0.0,0.0,7.0,21.0,127.0
27,56.0,16.767857142857142,29.6445555764406,0.0,0.0,7.0,15.75,147.0
28,51.0,11.27450980392157,20.350015657362572,0.0,0.0,7.0,14.0,120.0
29,59.0,11.88135593220339,23.81761500101648,0.0,0.0,7.0,14.0,134.0
30,43.0,14.023255813953488,20.91307220728908,0.0,7.0,7.0,17.5,134.0
31,33.0,14.454545454545455,38.429392160404795,0.0,0.0,7.0,7.0,189.0
32,51.0,8.941176470588236,23.338733268715234,0.0,0.0,0.0,7.0,148.0
