id,count,mean,std,min,25%,50%,75%,max
0,26.0,22.923076923076923,24.129522294356473,7.0,7.0,14.0,28.0,120.0
1,48.0,39.6875,34.77475010234942,7.0,14.0,31.5,56.0,189.0
2,46.0,40.95652173913044,35.46576222013383,7.0,14.0,28.0,63.0,126.0
3,44.0,44.56818181818182,43.03508451185983,7.0,14.0,28.0,57.75,224.0
4,38.0,35.39473684210526,33.81311074179636,7.0,14.0,21.0,42.0,161.0
5,53.0,31.58490566037736,28.3151454187875,7.0,14.0,21.0,42.0,120.0
6,37.0,37.86486486486486,29.008774689893553,7.0,21.0,28.0,42.0,133.0
7,40.0,26.625,41.52150354226417,7.0,7.0,7.0,22.75,224.0
8,52.0,31.384615384615383,25.45827331618009,7.0,7.0,21.0,49.0,120.0
9,27.0,40.74074074074074,48.754954456399446,7.0,10.5,21.0,52.5,217.0
10,17.0,25.58823529411765,27.874851621868345,7.0,7.0,14.0,28.0,120.0
11,23.0,16.782608695652176,23.391833310209957,7.0,7.0,7.0,17.5,120.0
12,35.0,30.228571428571428,41.154004675612505,7.0,7.0,21.0,28.0,231.0
13,59.0,26.593220338983052,29.916042659685637,7.0,7.0,14.0,35.0,120.0
14,40.0,24.0,21.139342347192233,7.0,14.0,17.5,28.0,120.0
15,15.0,30.4,49.46109582287882,7.0,7.0,7.0,24.5,175.0
16,33.0,29.727272727272727,27.32818225668413,7.0,7.0,21.0,35.0,120.0
17,38.0,47.0,63.97803677192032,7.0,14.0,24.5,56.0,322.0
18,54.0,30.48148148148148,32.00515332369516,7.0,7.0,14.0,47.25,154.0
19,43.0,20.372093023255815,23.006234409512267,7.0,7.0,14.0,24.5,120.0
20,55.0,21.4,29.619563104788,7.0,7.0,7.0,21.0,154.0
21,50.0,40.62,33.57409715837494,7.0,14.0,31.5,56.0,154.0
22,21.0,50.714285714285715,58.53728970249892,7.0,7.0,28.0,56.0,196.0
23,35.0,37.628571428571426,48.25184282630513,7.0,7.0,21.0,56.0,252.0
24,42.0,25.523809523809526,27.340881652276863,7.0,7.0,14.0,33.25,120.0
25,24.0,23.375,28.199310043980184,7.0,7.0,10.5,22.75,120.0
26,45.0,42.955555555555556,42.635855352228624,7.0,14.0,28.0,63.0,168.0
27,54.0,30.22222222222222,32.568457171252724,7.0,7.0,14.0,40.25,140.0
28,44.0,29.295454545454547,27.553398089894674,7.0,7.0,14.0,43.75,120.0
29,43.0,27.53488372093023,24.54863863668877,7.0,10.5,21.0,35.0,120.0
30,33.0,36.93939393939394,37.897014554199544,7.0,14.0,21.0,56.0,175.0
31,25.0,49.88,77.88951576859795,7.0,7.0,21.0,70.0,378.0
32,29.0,42.51724137931034,43.09012207791543,7.0,7.0,28.0,63.0,154.0
