id,count,mean,std,min,25%,50%,75%,max
0,39.0,10.512820512820513,25.603116375768536,0.0,0.0,0.0,10.5,151.0
1,49.0,8.224489795918368,20.817926275730937,0.0,0.0,7.0,7.0,144.0
2,47.0,13.191489361702128,23.721791758956975,0.0,0.0,7.0,14.0,144.0
3,50.0,14.64,25.677561076884672,0.0,0.0,7.0,14.0,137.0
4,42.0,17.595238095238095,32.42406477866704,0.0,0.0,7.0,21.0,161.0
5,49.0,8.653061224489797,22.849645347729293,0.0,0.0,0.0,7.0,151.0
6,41.0,5.902439024390244,20.69879812700339,0.0,0.0,0.0,7.0,130.0
7,53.0,12.754716981132075,26.641426431822417,0.0,0.0,7.0,14.0,144.0
8,47.0,13.48936170212766,28.603642471321674,0.0,0.0,7.0,14.0,165.0
9,57.0,9.526315789473685,23.9016625715495,0.0,0.0,0.0,7.0,158.0
10,35.0,12.714285714285714,24.556742728737014,0.0,0.0,0.0,14.0,130.0
11,47.0,9.914893617021276,22.27381947999864,0.0,0.0,0.0,7.0,137.0
12,38.0,13.736842105263158,22.331270295292708,0.0,0.0,7.0,14.0,130.0
13,63.0,11.396825396825397,22.856875638478964,0.0,0.0,7.0,14.0,137.0
14,45.0,19.22222222222222,42.32820298189811,0.0,7.0,7.0,14.0,252.0
15,42.0,8.095238095238095,31.395051283026746,0.0,0.0,0.0,0.0,161.0
16,47.0,15.872340425531915,30.036656605812574,0.0,0.0,7.0,21.0,165.0
17,44.0,12.659090909090908,23.26884650684226,0.0,0.0,7.0,14.0,137.0
18,50.0,8.48,19.98799639783838,0.0,0.0,0.0,7.0,130.0
19,47.0,12.893617021276595,27.245449594184883,0.0,0.0,0.0,7.0,151.0
20,49.0,21.081632653061224,31.850455736335153,0.0,0.0,7.0,28.0,144.0
21,48.0,15.833333333333334,26.679606789450933,0.0,0.0,7.0,21.0,151.0
22,42.0,16.095238095238095,27.39575320819574,0.0,0.0,7.0,14.0,137.0
23,44.0,14.409090909090908,21.55179610690032,0.0,7.0,7.0,15.75,137.0
24,46.0,17.130434782608695,31.50774768610425,0.0,0.0,7.0,14.0,147.0
25,46.0,20.02173913043478,37.53072171519978,0.0,0.0,7.0,21.0,210.0
26,48.0,19.479166666666668,25.834983360711245,0.0,5.25,7.0,28.0,130.0
27,47.0,23.02127659574468,31.16818986088926,0.0,0.0,14.0,31.5,151.0
28,48.0,11.604166666666666,23.334514281158473,0.0,0.0,3.5,14.0,144.0
29,53.0,15.79245283018868,27.063570810626057,0.0,0.0,7.0,14.0,137.0
30,41.0,16.146341463414632,27.658236545023758,0.0,7.0,7.0,14.0,165.0
31,35.0,7.914285714285715,22.367743882353327,0.0,0.0,0.0,7.0,130.0
32,48.0,12.770833333333334,24.023250779488283,0.0,0.0,7.0,14.0,151.0
33,28.0,7.892857142857143,26.241526725168356,0.0,0.0,0.0,7.0,137.0
34,49.0,17.224489795918366,32.40708854178514,0.0,0.0,7.0,14.0,161.0
35,30.0,8.066666666666666,23.935161458051383,0.0,0.0,0.0,7.0,130.0
36,39.0,14.64102564102564,28.088663361696188,0.0,0.0,7.0,14.0,158.0
37,49.0,12.081632653061224,26.381682987992093,0.0,0.0,7.0,14.0,172.0
38,47.0,20.78723404255319,36.08319864967433,0.0,0.0,7.0,21.0,172.0
39,49.0,15.938775510204081,26.299879723477588,0.0,0.0,7.0,21.0,165.0
40,39.0,19.846153846153847,37.44577726283451,0.0,0.0,7.0,14.0,179.0
41,49.0,17.224489795918366,29.897927259624016,0.0,0.0,14.0,14.0,200.0
42,41.0,12.390243902439025,40.92180228727744,0.0,0.0,0.0,7.0,217.0
43,47.0,28.680851063829788,66.98867729860373,0.0,0.0,7.0,21.0,392.0
