id,count,mean,std,min,25%,50%,75%,max
0,21.0,64.0,81.13014236398209,7.0,14.0,35.0,70.0,350.0
1,42.0,58.0,67.41317812835895,7.0,21.0,38.5,68.25,322.0
2,40.0,55.3,79.52525804212563,7.0,14.0,28.0,56.0,420.0
3,39.0,51.69230769230769,81.40579115768176,7.0,14.0,21.0,42.0,420.0
4,29.0,61.06896551724138,77.5186295740223,7.0,7.0,35.0,91.0,350.0
5,36.0,50.94444444444444,43.105812961955735,7.0,14.0,35.0,84.0,154.0
6,33.0,27.78787878787879,23.64021676053011,7.0,14.0,28.0,35.0,140.0
7,47.0,53.02127659574468,75.75518044036504,7.0,7.0,28.0,70.0,420.0
8,45.0,51.8,69.65551599902845,7.0,7.0,28.0,63.0,406.0
9,33.0,56.42424242424242,72.30146536509059,7.0,7.0,35.0,63.0,385.0
10,15.0,30.333333333333332,41.72129751897305,7.0,7.0,7.0,31.5,140.0
11,20.0,27.3,30.461537439169,7.0,7.0,17.5,35.0,140.0
12,24.0,34.708333333333336,38.808872995597355,7.0,7.0,17.5,49.0,140.0
13,45.0,35.31111111111111,44.77104493583397,7.0,7.0,14.0,42.0,238.0
14,39.0,39.12820512820513,38.26375190505436,7.0,14.0,21.0,49.0,147.0
15,23.0,16.434782608695652,28.1276733468152,7.0,7.0,7.0,10.5,140.0
16,41.0,68.29268292682927,77.63029173667938,7.0,28.0,42.0,84.0,420.0
17,41.0,60.26829268292683,79.54904914272825,7.0,14.0,35.0,70.0,385.0
18,48.0,30.625,28.245598414394305,7.0,7.0,21.0,42.0,140.0
19,43.0,57.627906976744185,74.26722126913569,7.0,10.5,28.0,63.0,329.0
20,33.0,60.878787878787875,81.43584805529349,7.0,14.0,28.0,70.0,329.0
21,42.0,65.0,68.92095153852426,7.0,21.0,42.0,82.25,399.0
22,23.0,37.73913043478261,42.30325303556813,7.0,7.0,14.0,70.0,140.0
23,41.0,61.46341463414634,87.22674405277766,7.0,14.0,28.0,70.0,448.0
24,34.0,48.588235294117645,62.75064536529597,7.0,7.0,17.5,61.25,273.0
25,25.0,31.36,35.528017113258656,7.0,7.0,14.0,28.0,140.0
26,34.0,67.94117647058823,70.7706244385512,7.0,14.0,49.0,108.5,364.0
27,33.0,68.0909090909091,70.11524604016397,7.0,21.0,42.0,84.0,287.0
28,36.0,49.19444444444444,64.79630476432365,7.0,7.0,24.5,64.75,308.0
29,46.0,29.369565217391305,31.152213187403397,7.0,7.0,14.0,47.25,140.0
30,34.0,54.76470588235294,64.3979384309257,7.0,7.0,17.5,80.5,245.0
31,22.0,60.77272727272727,70.84115821307341,7.0,7.0,17.5,98.0,252.0
32,29.0,47.06896551724138,87.5079306750793,7.0,7.0,14.0,21.0,364.0
33,16.0,24.9375,34.479885440644956,7.0,7.0,14.0,15.75,140.0
34,33.0,74.24242424242425,107.59212050117515,7.0,14.0,28.0,63.0,462.0
35,25.0,47.32,73.20161655774186,7.0,7.0,21.0,49.0,350.0
36,24.0,67.95833333333333,88.45901982503422,7.0,19.25,35.0,59.5,336.0
37,38.0,61.1578947368421,72.50331821513299,7.0,21.0,35.0,73.5,329.0
38,38.0,64.84210526315789,74.80480050927122,7.0,21.0,45.5,77.0,434.0
39,44.0,56.15909090909091,81.10800814470076,7.0,14.0,24.5,43.75,427.0
40,24.0,68.25,105.90407883100386,7.0,7.0,21.0,57.75,399.0
41,37.0,60.729729729729726,68.2685256292502,7.0,14.0,42.0,84.0,378.0
42,38.0,28.92105263157895,26.601545960914912,7.0,8.75,24.5,40.25,147.0
43,46.0,47.32608695652174,66.26313013629026,7.0,7.0,21.0,47.25,294.0
44,30.0,66.26666666666667,87.90666419103505,7.0,7.0,28.0,73.5,350.0
45,31.0,57.354838709677416,68.59569878988856,7.0,7.0,28.0,77.0,294.0
46,25.0,19.04,30.480157479908137,7.0,7.0,7.0,21.0,154.0
47,42.0,18.666666666666668,24.379786376009065,7.0,7.0,14.0,19.25,154.0
48,23.0,51.43478260869565,48.70861981486208,7.0,17.5,42.0,66.5,189.0
49,41.0,29.365853658536587,34.797094776404094,7.0,7.0,14.0,42.0,168.0
50,38.0,51.578947368421055,61.2503200560628,7.0,14.0,24.5,66.5,266.0
51,37.0,17.972972972972972,25.4290805602196,7.0,7.0,7.0,14.0,147.0
52,28.0,63.75,78.18905152115465,7.0,14.0,38.5,75.25,350.0
53,36.0,55.611111111111114,71.34594904018338,7.0,14.0,35.0,63.0,350.0
54,38.0,46.973684210526315,49.65529113207469,7.0,14.0,31.5,61.25,252.0
55,43.0,60.23255813953488,80.17891814391538,7.0,14.0,28.0,73.5,329.0
56,37.0,42.37837837837838,58.168505869371224,7.0,7.0,21.0,42.0,245.0
57,35.0,67.2,64.02563824704269,7.0,28.0,49.0,84.0,343.0
58,30.0,45.733333333333334,58.124084469368626,7.0,7.0,14.0,78.75,231.0
59,41.0,62.48780487804878,80.82484826809745,7.0,21.0,35.0,77.0,462.0
60,33.0,53.24242424242424,63.41038474839428,7.0,7.0,21.0,77.0,252.0
61,20.0,35.7,45.52974736078426,7.0,7.0,14.0,42.0,161.0
62,41.0,62.31707317073171,65.4566417655192,7.0,21.0,42.0,91.0,357.0
63,43.0,55.18604651162791,76.4863062172549,7.0,7.0,21.0,49.0,329.0
64,34.0,48.588235294117645,69.55186320710123,7.0,7.0,24.5,54.25,364.0
65,43.0,31.25581395348837,33.093009636805554,7.0,7.0,14.0,42.0,161.0
66,36.0,57.166666666666664,57.88091222501594,7.0,14.0,31.5,71.75,210.0
67,28.0,56.0,74.35002303917548,7.0,7.0,7.0,94.5,266.0
68,33.0,53.666666666666664,98.4002244238633,7.0,7.0,14.0,42.0,462.0
69,19.0,22.842105263157894,35.29756547773473,7.0,7.0,7.0,17.5,154.0
70,31.0,76.09677419354838,83.23314838000128,7.0,14.0,42.0,119.0,322.0
71,23.0,41.391304347826086,45.06534561605038,7.0,14.0,28.0,42.0,175.0
72,29.0,48.275862068965516,68.82373788564324,7.0,7.0,21.0,49.0,280.0
73,37.0,56.0,84.08097948472717,7.0,14.0,21.0,49.0,406.0
74,28.0,51.25,77.08370870779473,7.0,7.0,21.0,49.0,350.0
75,41.0,62.65853658536585,72.03457841762437,7.0,21.0,35.0,77.0,329.0
76,22.0,62.04545454545455,95.86472476644083,7.0,7.0,17.5,47.25,308.0
77,39.0,61.743589743589745,66.92757985068162,7.0,21.0,49.0,77.0,371.0
