id,count,mean,std,min,25%,50%,75%,max
0,14.0,15.214285714285714,19.557326274033752,7.0,7.0,7.0,14.0,80.0
1,61.0,24.83606557377049,17.04423688315091,7.0,14.0,21.0,35.0,80.0
2,62.0,17.20967741935484,13.676756753853303,7.0,7.0,14.0,21.0,80.0
3,51.0,24.627450980392158,21.49228771844796,7.0,7.0,14.0,35.0,84.0
4,50.0,18.96,15.993570136598198,7.0,7.0,14.0,21.0,80.0
5,29.0,10.482758620689655,13.720736885811021,7.0,7.0,7.0,7.0,80.0
6,10.0,16.4,23.300929881301588,7.0,7.0,7.0,7.0,80.0
7,66.0,15.424242424242424,14.840755326061362,7.0,7.0,7.0,19.25,80.0
8,68.0,16.926470588235293,14.563618724149766,7.0,7.0,14.0,21.0,80.0
9,25.0,14.96,17.052565789346776,7.0,7.0,7.0,14.0,80.0
10,17.0,19.11764705882353,18.421734286370732,7.0,7.0,14.0,21.0,80.0
11,25.0,12.16,14.653441006580445,7.0,7.0,7.0,14.0,80.0
12,29.0,30.517241379310345,33.162608773883505,7.0,14.0,21.0,28.0,133.0
13,28.0,16.357142857142858,14.862865198364743,7.0,7.0,14.0,14.0,80.0
14,45.0,17.022222222222222,14.178230574448357,7.0,7.0,14.0,21.0,80.0
15,40.0,26.5,18.258822946307774,7.0,14.0,21.0,28.0,80.0
16,21.0,12.142857142857142,16.298115579065314,7.0,7.0,7.0,7.0,80.0
17,42.0,15.904761904761905,14.328565233450455,7.0,7.0,10.5,21.0,80.0
18,56.0,19.178571428571427,17.563502594204362,7.0,7.0,14.0,21.0,80.0
19,61.0,16.80327868852459,15.124835725974183,7.0,7.0,14.0,21.0,80.0
20,32.0,11.03125,13.780501360325593,7.0,7.0,7.0,7.0,80.0
21,39.0,13.538461538461538,13.56630142717445,7.0,7.0,7.0,14.0,80.0
22,25.0,16.36,18.02054383197133,7.0,7.0,7.0,14.0,80.0
23,65.0,21.8,17.217541926767595,7.0,7.0,14.0,28.0,80.0
24,35.0,12.485714285714286,14.813291782901539,7.0,7.0,7.0,7.0,80.0
25,17.0,12.529411764705882,17.60013368933182,7.0,7.0,7.0,7.0,80.0
26,44.0,20.90909090909091,20.86481201807682,7.0,7.0,14.0,28.0,91.0
27,67.0,17.91044776119403,16.119564005762257,7.0,7.0,7.0,24.5,80.0
28,39.0,12.282051282051283,15.215900128948766,7.0,7.0,7.0,7.0,80.0
29,41.0,17.146341463414632,16.10056051137624,7.0,7.0,14.0,21.0,80.0
30,38.0,23.105263157894736,16.380260819763244,7.0,14.0,17.5,33.25,80.0
31,30.0,14.1,15.152898891881586,7.0,7.0,7.0,14.0,80.0
32,22.0,17.0,17.60681686165901,7.0,7.0,7.0,21.0,80.0
33,10.0,14.3,23.08462691922917,7.0,7.0,7.0,7.0,80.0
34,44.0,22.818181818181817,21.80065363568069,7.0,7.0,14.0,28.0,98.0
35,24.0,13.25,15.489828359562145,7.0,7.0,7.0,14.0,80.0
36,19.0,14.526315789473685,18.930775710621262,7.0,7.0,7.0,10.5,87.0
37,40.0,27.2,29.718508434807823,7.0,7.0,17.5,35.0,154.0
38,57.0,24.12280701754386,18.408140838303222,7.0,14.0,21.0,28.0,101.0
39,62.0,28.5,32.988199579173916,7.0,7.0,21.0,33.25,217.0
40,23.0,15.043478260869565,23.166351501633425,7.0,7.0,7.0,7.0,101.0
41,55.0,12.654545454545454,14.704771437540366,7.0,7.0,7.0,14.0,108.0
42,38.0,14.263157894736842,14.26711245719635,7.0,7.0,7.0,14.0,87.0
43,63.0,14.380952380952381,14.401420820842167,7.0,7.0,7.0,14.0,94.0
44,36.0,12.916666666666666,17.962460855907246,7.0,7.0,7.0,7.0,108.0
45,59.0,15.94915254237288,16.180473255954983,7.0,7.0,7.0,21.0,101.0
46,21.0,20.142857142857142,23.561166597360405,7.0,7.0,7.0,14.0,87.0
47,46.0,13.608695652173912,14.172709708559328,7.0,7.0,7.0,14.0,94.0
48,24.0,13.25,19.208806857000912,7.0,7.0,7.0,14.0,101.0
49,35.0,16.485714285714284,16.248749143841682,7.0,7.0,14.0,14.0,94.0
50,52.0,22.942307692307693,27.438639894791038,7.0,12.25,14.0,29.75,182.0
