id,count,mean,std,min,25%,50%,75%,max
0,19.0,16.68421052631579,22.571005569040576,7.0,7.0,7.0,14.0,100.0
1,51.0,24.607843137254903,19.063135556746744,7.0,10.5,21.0,28.0,100.0
2,55.0,21.927272727272726,17.315005850689964,7.0,14.0,14.0,21.0,100.0
3,60.0,29.666666666666668,31.07054120985739,7.0,12.25,21.0,35.0,203.0
4,33.0,18.515151515151516,21.08038367197276,7.0,7.0,7.0,21.0,100.0
5,54.0,20.12962962962963,16.219073672797524,7.0,7.0,14.0,28.0,100.0
6,20.0,18.65,22.66059645240935,7.0,7.0,7.0,21.0,100.0
7,65.0,19.415384615384614,18.644614091350473,7.0,7.0,14.0,21.0,100.0
8,34.0,17.147058823529413,21.766157151595458,7.0,7.0,7.0,14.0,100.0
9,33.0,19.151515151515152,18.06260157777876,7.0,7.0,14.0,21.0,100.0
10,14.0,13.642857142857142,24.855295497855465,7.0,7.0,7.0,7.0,100.0
11,43.0,17.790697674418606,18.372544396378505,7.0,7.0,7.0,21.0,100.0
12,14.0,16.142857142857142,24.52896919298342,7.0,7.0,7.0,14.0,100.0
13,33.0,20.21212121212121,24.498415223945578,7.0,7.0,14.0,21.0,112.0
14,48.0,23.520833333333332,18.96916824670052,7.0,14.0,14.0,28.0,100.0
15,50.0,14.88,16.19100279255647,7.0,7.0,7.0,19.25,100.0
16,25.0,17.44,19.638567496977302,7.0,7.0,14.0,21.0,100.0
17,50.0,19.64,17.334358944016362,7.0,7.0,14.0,21.0,100.0
18,56.0,20.660714285714285,18.953797207193826,7.0,7.0,14.0,28.0,100.0
19,59.0,22.8135593220339,24.273211128569493,7.0,7.0,14.0,28.0,112.0
20,31.0,11.806451612903226,16.949767657874073,7.0,7.0,7.0,7.0,100.0
21,41.0,19.341463414634145,19.172388682813573,7.0,7.0,14.0,21.0,100.0
22,23.0,26.26086956521739,39.72086398321571,7.0,7.0,7.0,21.0,168.0
23,64.0,23.875,18.44812546936228,7.0,7.0,21.0,29.75,100.0
24,39.0,16.743589743589745,20.184305978340213,7.0,7.0,7.0,14.0,100.0
25,16.0,18.9375,25.30209148140393,7.0,7.0,7.0,15.75,100.0
26,51.0,23.098039215686274,22.37342611399585,7.0,7.0,14.0,28.0,100.0
27,56.0,20.035714285714285,20.836126219721262,7.0,7.0,10.5,22.75,100.0
28,40.0,15.625,17.138481966106685,7.0,7.0,7.0,21.0,100.0
29,36.0,20.47222222222222,21.336067533118136,7.0,7.0,14.0,28.0,100.0
30,38.0,33.39473684210526,27.624450072730284,7.0,7.0,28.0,49.0,105.0
31,35.0,17.65714285714286,17.862123675108567,7.0,7.0,14.0,21.0,100.0
32,27.0,16.14814814814815,19.81783133308079,7.0,7.0,7.0,14.0,100.0
33,10.0,18.4,28.86058442466703,7.0,7.0,7.0,14.0,100.0
34,53.0,25.528301886792452,23.741884259990908,7.0,7.0,14.0,35.0,100.0
35,23.0,21.695652173913043,28.164185482160097,7.0,7.0,14.0,21.0,112.0
36,22.0,22.363636363636363,29.113154373508856,7.0,7.0,7.0,19.25,121.0
