id,count,mean,std,min,25%,50%,75%,max
0,24.0,38.541666666666664,34.94838326380239,7.0,7.0,31.5,57.75,120.0
1,45.0,40.31111111111111,37.36297524544746,7.0,14.0,28.0,42.0,175.0
2,49.0,36.87755102040816,30.760928039926736,7.0,14.0,28.0,49.0,133.0
3,52.0,42.01923076923077,41.43764054936818,7.0,14.0,28.0,49.0,231.0
4,29.0,35.03448275862069,34.88602130880821,7.0,7.0,28.0,49.0,133.0
5,47.0,34.723404255319146,33.209939664307406,7.0,14.0,21.0,42.0,133.0
6,22.0,30.59090909090909,27.35595885448881,7.0,7.0,21.0,47.25,120.0
7,49.0,40.02040816326531,58.367545846671206,7.0,7.0,21.0,49.0,364.0
8,37.0,34.08108108108108,44.879702401951015,7.0,7.0,14.0,35.0,175.0
9,32.0,31.3125,42.701089734527024,7.0,7.0,21.0,36.75,224.0
10,18.0,17.555555555555557,27.51517703596074,7.0,7.0,7.0,14.0,120.0
11,38.0,29.13157894736842,40.69874229588147,7.0,7.0,10.5,28.0,154.0
12,15.0,40.666666666666664,65.44208635630947,7.0,7.0,14.0,38.5,252.0
13,47.0,21.617021276595743,26.265826029677356,7.0,7.0,14.0,24.5,140.0
14,44.0,35.02272727272727,45.65873850306567,7.0,14.0,21.0,42.0,273.0
15,42.0,23.19047619047619,30.471288441414927,7.0,7.0,7.0,28.0,154.0
16,31.0,30.967741935483872,29.56516404032257,7.0,7.0,14.0,49.0,120.0
17,49.0,30.306122448979593,28.333728488641015,7.0,7.0,21.0,35.0,120.0
18,47.0,28.02127659574468,24.978677308336515,7.0,7.0,21.0,38.5,120.0
19,48.0,36.770833333333336,31.444134576909256,7.0,7.0,28.0,56.0,120.0
20,34.0,20.61764705882353,26.639017528842174,7.0,7.0,7.0,21.0,120.0
21,41.0,34.34146341463415,28.543484156719167,7.0,14.0,28.0,42.0,120.0
22,26.0,39.34615384615385,42.77283465723759,7.0,7.0,24.5,61.25,168.0
23,49.0,41.59183673469388,40.9165402411558,7.0,14.0,21.0,63.0,217.0
24,36.0,33.47222222222222,44.10927088240948,7.0,7.0,14.0,29.75,168.0
25,18.0,54.888888888888886,57.90142626394183,7.0,14.0,28.0,78.75,175.0
26,42.0,37.69047619047619,39.737239458318086,7.0,7.0,17.5,52.5,140.0
27,53.0,34.490566037735846,32.90699168256674,7.0,7.0,21.0,63.0,147.0
28,38.0,29.86842105263158,33.924535530395374,7.0,7.0,10.5,47.25,147.0
29,44.0,22.295454545454547,21.942397682743184,7.0,7.0,14.0,28.0,120.0
