id,count,mean,std,min,25%,50%,75%,max
0,35.0,12.114285714285714,28.79927636812653,0.0,0.0,0.0,14.0,151.0
1,51.0,10.098039215686274,20.860733354281468,0.0,0.0,7.0,14.0,144.0
2,50.0,10.44,21.446811284797434,0.0,0.0,7.0,12.25,144.0
3,51.0,12.156862745098039,21.963034898683386,0.0,0.0,7.0,14.0,137.0
4,36.0,21.694444444444443,36.030002929657265,0.0,0.0,7.0,21.0,137.0
5,51.0,9.549019607843137,21.379722847118664,0.0,0.0,7.0,7.0,151.0
6,46.0,11.195652173913043,25.308425970825862,0.0,0.0,0.0,7.0,130.0
7,50.0,18.56,25.60624923724675,0.0,0.0,10.5,28.0,144.0
8,41.0,16.48780487804878,27.937539218065993,0.0,7.0,7.0,21.0,165.0
9,59.0,10.627118644067796,25.579422161307132,0.0,0.0,7.0,7.0,158.0
10,35.0,9.314285714285715,22.870185354545345,0.0,0.0,0.0,7.0,130.0
11,51.0,14.215686274509803,27.695713549565895,0.0,0.0,7.0,10.5,137.0
12,35.0,11.914285714285715,24.617511018368525,0.0,0.0,0.0,10.5,130.0
13,61.0,10.967213114754099,21.2186766891142,0.0,0.0,7.0,14.0,137.0
14,44.0,34.93181818181818,90.63276211564094,0.0,0.0,7.0,22.75,532.0
15,48.0,10.583333333333334,21.44645319417477,0.0,0.0,7.0,7.0,130.0
16,47.0,11.25531914893617,24.901080895961805,0.0,0.0,7.0,14.0,165.0
17,46.0,15.0,28.170906978654415,0.0,0.0,7.0,14.0,137.0
18,57.0,11.0,19.42292459955503,0.0,0.0,7.0,14.0,130.0
19,43.0,25.0,32.202484376209235,0.0,7.0,14.0,31.5,151.0
20,45.0,17.511111111111113,25.84008709370193,0.0,0.0,7.0,21.0,144.0
21,46.0,15.91304347826087,27.501778598609885,0.0,0.0,7.0,14.0,151.0
22,45.0,10.044444444444444,22.519643501493167,0.0,0.0,0.0,7.0,137.0
23,43.0,9.534883720930232,28.500917977872138,0.0,0.0,0.0,7.0,137.0
24,43.0,12.627906976744185,22.86817632370568,0.0,0.0,7.0,14.0,144.0
25,44.0,8.522727272727273,21.260826119243983,0.0,0.0,0.0,7.0,130.0
26,47.0,22.27659574468085,61.76980482532798,0.0,0.0,7.0,21.0,413.0
27,45.0,32.91111111111111,55.18474024180558,0.0,7.0,14.0,42.0,322.0
28,42.0,12.428571428571429,23.720057229749226,0.0,0.0,7.0,14.0,144.0
29,56.0,14.321428571428571,25.250099652625778,0.0,0.0,7.0,14.0,137.0
30,39.0,15.897435897435898,28.804965646289887,0.0,0.0,7.0,21.0,165.0
31,33.0,14.121212121212121,28.28842251672667,0.0,0.0,0.0,7.0,130.0
32,50.0,10.3,23.686946374985283,0.0,0.0,0.0,14.0,151.0
33,30.0,8.066666666666666,26.06878610897336,0.0,0.0,0.0,7.0,137.0
34,46.0,20.47826086956522,31.852953207188236,0.0,0.0,7.0,28.0,158.0
35,30.0,12.733333333333333,29.858208983094766,0.0,0.0,0.0,12.25,130.0
36,35.0,16.914285714285715,29.433245936976686,0.0,0.0,7.0,17.5,158.0
37,51.0,11.745098039215685,26.421084865883085,0.0,0.0,7.0,10.5,179.0
38,49.0,17.081632653061224,31.45091197319369,0.0,0.0,7.0,14.0,172.0
39,51.0,19.019607843137255,31.431506611092274,0.0,3.5,7.0,14.0,165.0
40,34.0,20.705882352941178,33.28802625002124,0.0,0.0,10.5,26.25,172.0
41,51.0,12.431372549019608,25.92933080660647,0.0,0.0,7.0,14.0,179.0
42,46.0,9.673913043478262,24.485872886513416,0.0,0.0,0.0,7.0,158.0
43,47.0,27.04255319148936,67.88896223495762,0.0,0.0,14.0,21.0,434.0
44,41.0,12.390243902439025,32.03192005545444,0.0,0.0,0.0,7.0,186.0
45,58.0,14.068965517241379,32.82588947711398,0.0,0.0,0.0,14.0,172.0
46,35.0,8.914285714285715,25.67943950800675,0.0,0.0,0.0,7.0,151.0
47,47.0,14.085106382978724,26.29087276507393,0.0,0.0,7.0,14.0,144.0
48,34.0,15.970588235294118,30.600539997332437,0.0,0.0,7.0,19.25,165.0
49,60.0,12.9,27.876665413500792,0.0,0.0,7.0,14.0,207.0
50,44.0,16.0,26.528615528528157,0.0,0.0,7.0,14.0,158.0
51,48.0,15.979166666666666,27.910563533142586,0.0,0.0,7.0,21.0,151.0
52,47.0,11.404255319148936,25.302225004814588,0.0,0.0,7.0,14.0,172.0
53,45.0,23.733333333333334,54.76080217222401,0.0,7.0,7.0,14.0,322.0
54,56.0,15.571428571428571,24.365293605198616,0.0,5.25,7.0,21.0,158.0
55,43.0,18.325581395348838,28.534624690041927,0.0,7.0,7.0,21.0,165.0
56,43.0,16.697674418604652,34.836717687302375,0.0,0.0,7.0,14.0,179.0
57,46.0,11.5,25.548863858192295,0.0,0.0,7.0,14.0,165.0
58,41.0,21.4390243902439,60.83668662102161,0.0,0.0,7.0,14.0,357.0
59,43.0,23.86046511627907,44.96113739630029,0.0,0.0,7.0,24.5,200.0
60,43.0,14.906976744186046,30.11154971695394,0.0,0.0,7.0,14.0,193.0
61,44.0,11.863636363636363,27.9406271750378,0.0,0.0,0.0,14.0,158.0
62,46.0,17.73913043478261,27.923255765766037,0.0,0.0,7.0,21.0,158.0
63,44.0,30.636363636363637,41.37243825222851,0.0,7.0,17.5,36.75,179.0
64,41.0,23.829268292682926,38.43039320578466,0.0,0.0,14.0,28.0,172.0
65,56.0,14.696428571428571,32.43394385956963,0.0,0.0,7.0,14.0,165.0
66,38.0,12.263157894736842,32.09250498550504,0.0,0.0,7.0,14.0,200.0
67,33.0,7.545454545454546,25.234018344650973,0.0,0.0,0.0,7.0,144.0
68,50.0,6.94,25.233934068460837,0.0,0.0,0.0,7.0,179.0
69,28.0,10.142857142857142,30.083481730276386,0.0,0.0,0.0,7.0,158.0
70,46.0,20.630434782608695,36.05388479339851,0.0,7.0,7.0,19.25,200.0
71,28.0,19.142857142857142,30.864955898972266,0.0,0.0,10.5,21.0,151.0
72,34.0,18.647058823529413,37.595843059170356,0.0,0.0,7.0,19.25,193.0
73,50.0,12.68,31.757653745649588,0.0,0.0,7.0,12.25,214.0
74,47.0,16.76595744680851,34.4719247869899,0.0,0.0,7.0,14.0,193.0
75,50.0,16.32,29.242434919137633,0.0,7.0,7.0,14.0,179.0
76,34.0,28.735294117647058,94.22677636024808,0.0,0.0,7.0,21.0,550.0
77,50.0,9.18,29.90781073327071,0.0,0.0,0.0,7.0,207.0
78,46.0,6.630434782608695,24.964293341270157,0.0,0.0,0.0,7.0,165.0
79,47.0,17.659574468085108,40.43904516340649,0.0,0.0,7.0,14.0,203.0
80,41.0,14.78048780487805,34.36096054763454,0.0,0.0,7.0,7.0,214.0
81,54.0,15.62962962962963,34.02568191894054,0.0,0.0,7.0,12.25,207.0
82,35.0,12.514285714285714,31.005095813213586,0.0,0.0,0.0,14.0,179.0
83,47.0,16.170212765957448,29.48936370444227,0.0,0.0,7.0,21.0,193.0
84,34.0,20.705882352941178,33.33260248753164,0.0,0.0,14.0,28.0,172.0
85,58.0,14.913793103448276,38.07438909107009,0.0,0.0,7.0,14.0,263.0
86,43.0,17.837209302325583,29.633419223635343,0.0,0.0,7.0,24.5,179.0
87,48.0,21.666666666666668,68.66952414353321,0.0,0.0,7.0,14.0,473.0
88,47.0,9.914893617021276,29.405581980618432,0.0,0.0,0.0,7.0,186.0
89,45.0,9.577777777777778,34.948981575023225,0.0,0.0,0.0,7.0,235.0
