id,count,mean,std,min,25%,50%,75%,max
0,42.0,7.523809523809524,19.53638019151,0.0,0.0,0.0,7.0,120.0
1,52.0,7.5576923076923075,19.128475295202055,0.0,0.0,0.0,7.0,134.0
2,51.0,8.529411764705882,21.598474891692213,0.0,0.0,0.0,7.0,141.0
3,52.0,13.076923076923077,22.107443652686573,0.0,0.0,7.0,14.0,127.0
4,45.0,23.822222222222223,24.674507353366007,0.0,7.0,14.0,28.0,120.0
5,52.0,12.403846153846153,22.539081192352874,0.0,0.0,7.0,21.0,148.0
6,49.0,7.020408163265306,20.685632892499694,0.0,0.0,0.0,7.0,134.0
7,52.0,9.307692307692308,25.451636922231863,0.0,0.0,0.0,7.0,127.0
8,53.0,9.660377358490566,20.717832709107252,0.0,0.0,7.0,7.0,134.0
9,59.0,18.050847457627118,27.1416614036833,0.0,0.0,7.0,24.5,155.0
10,27.0,16.88888888888889,24.661295326472356,0.0,0.0,7.0,21.0,120.0
11,40.0,32.225,61.85735762468109,0.0,0.0,7.0,29.75,301.0
12,41.0,36.21951219512195,63.26670221969924,0.0,0.0,7.0,28.0,301.0
13,65.0,13.261538461538462,22.493941492014105,0.0,0.0,7.0,14.0,127.0
14,51.0,19.372549019607842,37.953108322936465,0.0,0.0,7.0,14.0,210.0
15,48.0,9.645833333333334,22.91658284962106,0.0,0.0,0.0,8.75,120.0
16,48.0,22.333333333333332,34.98713035932129,0.0,0.0,7.0,28.0,154.0
17,48.0,11.25,20.729770964854367,0.0,0.0,7.0,14.0,127.0
18,59.0,12.711864406779661,18.45876191112617,0.0,0.0,7.0,14.0,120.0
19,51.0,18.96078431372549,25.615589615945776,0.0,7.0,7.0,21.0,141.0
20,49.0,27.306122448979593,40.374395806435224,0.0,7.0,14.0,28.0,189.0
21,48.0,20.729166666666668,59.21318843295945,0.0,0.0,0.0,14.0,371.0
22,43.0,10.930232558139535,21.906071509794902,0.0,0.0,7.0,7.0,127.0
23,48.0,7.166666666666667,21.868400726953265,0.0,0.0,0.0,7.0,148.0
24,47.0,21.170212765957448,39.86407293319778,0.0,0.0,7.0,21.0,168.0
25,44.0,22.931818181818183,44.969962960962725,0.0,0.0,7.0,22.75,259.0
26,48.0,23.208333333333332,42.37721102413887,0.0,0.0,7.0,21.0,245.0
27,54.0,18.166666666666668,28.523905895707372,0.0,1.75,7.0,21.0,141.0
28,53.0,11.641509433962264,22.730100628920912,0.0,0.0,0.0,14.0,120.0
29,64.0,13.796875,24.357899984741433,0.0,0.0,7.0,14.0,134.0
30,44.0,9.886363636363637,21.126656708496185,0.0,0.0,7.0,14.0,134.0
31,33.0,5.96969696969697,22.24506244159146,0.0,0.0,0.0,0.0,127.0
32,54.0,18.555555555555557,28.645962978551683,0.0,0.0,14.0,21.0,148.0
33,24.0,5.291666666666667,24.47443949114662,0.0,0.0,0.0,0.0,120.0
34,59.0,14.610169491525424,21.634118128829673,0.0,3.5,7.0,17.5,148.0
35,33.0,8.93939393939394,21.542022006330143,0.0,0.0,0.0,7.0,120.0
36,42.0,13.523809523809524,26.02085289020261,0.0,0.0,7.0,14.0,155.0
37,52.0,13.076923076923077,22.55002817601488,0.0,0.0,7.0,14.0,141.0
38,51.0,13.607843137254902,27.09027754111984,0.0,0.0,7.0,14.0,162.0
39,51.0,8.803921568627452,22.522894669951402,0.0,0.0,0.0,10.5,155.0
40,45.0,17.755555555555556,34.980615122427935,0.0,0.0,7.0,21.0,204.0
41,51.0,11.411764705882353,24.255454207735003,0.0,0.0,7.0,14.0,169.0
42,49.0,11.448979591836734,23.274683335197953,0.0,0.0,0.0,14.0,141.0
43,52.0,15.76923076923077,27.05232068231194,0.0,0.0,7.0,14.0,162.0
44,53.0,18.245283018867923,28.542078020123576,0.0,0.0,7.0,28.0,162.0
45,59.0,7.728813559322034,26.96730492234968,0.0,0.0,0.0,7.0,190.0
46,25.0,6.2,28.149896388204816,0.0,0.0,0.0,0.0,141.0
47,38.0,4.631578947368421,24.03985547988172,0.0,0.0,0.0,0.0,148.0
