id,count,mean,std,min,25%,50%,75%,max
0,34.0,10.617647058823529,25.995354720087445,0.0,0.0,7.0,12.25,151.0
1,52.0,11.923076923076923,24.608978238739436,0.0,0.0,7.0,14.0,144.0
2,51.0,12.156862745098039,21.629029149751137,0.0,0.0,7.0,14.0,144.0
3,52.0,10.038461538461538,19.87407567312847,0.0,0.0,7.0,14.0,137.0
4,36.0,19.166666666666668,38.742741255621034,0.0,0.0,7.0,14.0,161.0
5,51.0,8.588235294117647,21.948281454900503,0.0,0.0,0.0,7.0,151.0
6,46.0,10.73913043478261,23.53383831621437,0.0,0.0,0.0,14.0,130.0
7,53.0,15.132075471698114,25.820413611542275,0.0,0.0,7.0,21.0,144.0
8,41.0,16.317073170731707,34.521326035068704,0.0,0.0,7.0,14.0,165.0
9,59.0,13.35593220338983,27.554186559592747,0.0,0.0,7.0,7.0,158.0
10,35.0,8.514285714285714,22.939013041709774,0.0,0.0,0.0,7.0,130.0
11,47.0,14.382978723404255,33.46935859629467,0.0,0.0,0.0,10.5,140.0
12,34.0,11.647058823529411,23.40018434651703,0.0,0.0,7.0,12.25,130.0
13,62.0,8.64516129032258,19.336618428997376,0.0,0.0,3.5,7.0,137.0
14,44.0,27.136363636363637,62.134359632448614,0.0,0.0,14.0,21.0,364.0
15,48.0,13.208333333333334,23.238777509624814,0.0,0.0,7.0,15.75,130.0
16,49.0,10.224489795918368,24.77083744557503,0.0,0.0,7.0,14.0,165.0
17,46.0,12.869565217391305,28.243078755414416,0.0,0.0,7.0,12.25,137.0
18,54.0,14.592592592592593,23.868759497386854,0.0,0.0,7.0,14.0,130.0
19,45.0,20.933333333333334,27.272530302319016,0.0,0.0,14.0,28.0,151.0
20,43.0,16.372093023255815,25.559476162578655,0.0,7.0,7.0,17.5,144.0
21,46.0,21.695652173913043,57.38713350383898,0.0,7.0,7.0,14.0,364.0
22,45.0,11.133333333333333,26.046811007038148,0.0,0.0,7.0,7.0,137.0
23,46.0,17.282608695652176,40.71836224794151,0.0,0.0,7.0,14.0,245.0
24,42.0,13.761904761904763,24.853531450312733,0.0,0.0,7.0,14.0,144.0
25,44.0,10.272727272727273,24.67119932451474,0.0,0.0,0.0,7.0,130.0
26,47.0,11.404255319148936,19.910298377940308,0.0,0.0,7.0,14.0,130.0
27,44.0,19.818181818181817,27.992750496124284,0.0,0.0,14.0,28.0,151.0
28,42.0,19.095238095238095,35.435141386254955,0.0,0.0,7.0,14.0,147.0
29,57.0,13.210526315789474,25.23938025763457,0.0,0.0,7.0,14.0,137.0
30,38.0,20.36842105263158,32.729374402681394,0.0,0.0,14.0,21.0,165.0
31,36.0,16.055555555555557,34.07801506999947,0.0,0.0,0.0,8.75,133.0
32,51.0,9.137254901960784,22.255803385043766,0.0,0.0,0.0,7.0,151.0
33,29.0,7.137931034482759,25.3387395925277,0.0,0.0,0.0,7.0,137.0
34,46.0,15.76086956521739,27.35623819380037,0.0,0.0,7.0,14.0,158.0
35,30.0,10.4,26.14891044080765,0.0,0.0,0.0,7.0,130.0
36,34.0,13.294117647058824,28.49511325650227,0.0,0.0,7.0,14.0,158.0
37,51.0,11.882352941176471,26.002805278526033,0.0,0.0,7.0,7.0,179.0
38,49.0,17.081632653061224,29.404390782311946,0.0,0.0,7.0,21.0,172.0
39,51.0,16.54901960784314,28.06229764327233,0.0,0.0,7.0,21.0,165.0
40,36.0,16.444444444444443,29.676777303324414,0.0,0.0,7.0,15.75,172.0
41,51.0,11.607843137254902,26.315834344646987,0.0,0.0,7.0,10.5,179.0
42,46.0,9.369565217391305,24.606556213652738,0.0,0.0,0.0,12.25,158.0
43,50.0,22.06,41.56451096101783,0.0,0.0,14.0,21.0,203.0
44,41.0,11.878048780487806,30.168854073324713,0.0,0.0,7.0,14.0,186.0
45,59.0,8.372881355932204,22.763323726378093,0.0,0.0,7.0,7.0,172.0
46,35.0,9.714285714285714,25.71743678172163,0.0,0.0,0.0,10.5,151.0
47,47.0,18.404255319148938,32.3967655219039,0.0,0.0,7.0,24.5,154.0
48,34.0,15.147058823529411,28.846650299672337,0.0,0.0,7.0,21.0,165.0
49,59.0,15.016949152542374,32.49588383770969,0.0,0.0,7.0,14.0,207.0
50,40.0,24.95,48.20253743719946,0.0,0.0,10.5,28.0,231.0
51,48.0,13.354166666666666,27.218962088278104,0.0,0.0,7.0,14.0,151.0
52,48.0,12.770833333333334,25.85083198244105,0.0,0.0,7.0,14.0,172.0
53,46.0,17.73913043478261,51.74142324315261,0.0,0.0,7.0,7.0,308.0
54,53.0,16.9811320754717,30.412858215689056,0.0,0.0,7.0,14.0,158.0
55,44.0,21.25,29.73927400937439,0.0,0.0,10.5,28.0,165.0
56,42.0,15.261904761904763,31.802024420766063,0.0,0.0,7.0,19.25,179.0
57,46.0,9.065217391304348,24.57134932659313,0.0,0.0,0.0,7.0,165.0
58,44.0,14.568181818181818,29.991004641525993,0.0,0.0,7.0,14.0,179.0
59,46.0,20.32608695652174,39.120358069155465,0.0,0.0,7.0,19.25,200.0
60,41.0,21.78048780487805,39.92525027793937,0.0,0.0,7.0,14.0,193.0
61,43.0,11.325581395348838,26.100283642166616,0.0,0.0,7.0,14.0,158.0
62,46.0,25.043478260869566,76.62925363121643,0.0,0.0,7.0,14.0,504.0
63,44.0,22.84090909090909,28.711834673477846,0.0,7.0,17.5,28.0,179.0
64,40.0,18.65,33.8840784031493,0.0,0.0,7.0,15.75,172.0
65,56.0,12.696428571428571,26.316893739647465,0.0,0.0,7.0,14.0,165.0
66,38.0,17.42105263157895,34.73344955199438,0.0,0.0,7.0,14.0,200.0
67,35.0,14.914285714285715,47.35930955662965,0.0,0.0,0.0,7.0,245.0
68,51.0,7.215686274509804,25.828134834316007,0.0,0.0,0.0,7.0,179.0
69,28.0,11.392857142857142,30.905278568332687,0.0,0.0,0.0,7.0,158.0
70,42.0,26.928571428571427,43.07644529638933,0.0,7.0,10.5,33.25,193.0
71,27.0,20.88888888888889,46.834679239717005,0.0,0.0,7.0,14.0,203.0
72,33.0,15.606060606060606,34.95974416555722,0.0,0.0,0.0,21.0,193.0
73,51.0,12.294117647058824,29.99886272354141,0.0,0.0,7.0,14.0,214.0
74,46.0,20.32608695652174,61.603410564973714,0.0,0.0,7.0,7.0,350.0
75,51.0,17.647058823529413,32.694845789152616,0.0,7.0,7.0,14.0,179.0
76,33.0,32.15151515151515,92.01124972392005,0.0,0.0,7.0,21.0,529.0
77,51.0,9.823529411764707,29.599801271192987,0.0,0.0,0.0,7.0,207.0
78,46.0,7.543478260869565,24.82982661749921,0.0,0.0,0.0,7.0,165.0
79,49.0,19.081632653061224,41.37825351492712,0.0,0.0,7.0,14.0,203.0
80,41.0,17.341463414634145,38.9426564040626,0.0,0.0,7.0,14.0,214.0
81,59.0,10.508474576271187,27.42851076535831,0.0,0.0,7.0,14.0,207.0
82,35.0,12.514285714285714,30.299846076653715,0.0,0.0,7.0,14.0,179.0
83,45.0,23.11111111111111,44.305356859691884,0.0,0.0,7.0,21.0,193.0
84,34.0,25.029411764705884,40.67199564745408,0.0,0.0,7.0,33.25,172.0
85,58.0,16.24137931034483,41.41501988105688,0.0,0.0,7.0,14.0,256.0
86,40.0,18.475,30.269717032552013,0.0,7.0,7.0,21.0,179.0
87,47.0,21.53191489361702,70.38090497701705,0.0,0.0,0.0,21.0,473.0
88,48.0,10.729166666666666,28.70372470702605,0.0,0.0,0.0,14.0,186.0
89,46.0,15.76086956521739,56.75177325966072,0.0,0.0,0.0,7.0,315.0
90,52.0,15.961538461538462,33.231193436206446,0.0,0.0,3.5,14.0,172.0
91,43.0,19.953488372093023,34.92028574609817,0.0,7.0,7.0,21.0,214.0
92,42.0,20.095238095238095,48.47519331591261,0.0,0.0,7.0,21.0,298.0
93,46.0,12.41304347826087,26.810094356795727,0.0,0.0,7.0,7.0,172.0
94,42.0,19.095238095238095,39.4435747179093,0.0,0.0,7.0,21.0,200.0
95,43.0,21.58139534883721,36.095265853769014,0.0,0.0,14.0,21.0,207.0
96,39.0,23.256410256410255,60.06606798864675,0.0,0.0,7.0,14.0,322.0
97,42.0,17.761904761904763,46.943562131049276,0.0,0.0,0.0,21.0,298.0
98,46.0,11.956521739130435,28.443281981077227,0.0,0.0,7.0,14.0,193.0
99,44.0,16.0,30.831122904216183,0.0,0.0,7.0,14.0,186.0
100,40.0,16.375,37.313424751242906,0.0,0.0,7.0,21.0,235.0
101,56.0,9.446428571428571,32.59052826309406,0.0,0.0,0.0,7.0,242.0
102,38.0,14.473684210526315,34.756089757752285,0.0,0.0,7.0,14.0,214.0
103,33.0,20.696969696969695,40.923316129442675,0.0,0.0,7.0,14.0,193.0
104,50.0,8.2,29.442437787267938,0.0,0.0,0.0,7.0,207.0
105,28.0,21.142857142857142,42.946749358051306,0.0,0.0,0.0,21.0,172.0
106,41.0,24.170731707317074,36.3138420158377,0.0,0.0,14.0,35.0,200.0
107,27.0,23.74074074074074,50.401154285158526,0.0,0.0,7.0,14.0,207.0
108,33.0,19.21212121212121,64.00281125454451,0.0,0.0,7.0,14.0,368.0
109,51.0,13.803921568627452,36.44229389478282,0.0,0.0,7.0,14.0,256.0
