id,count,mean,std,min,25%,50%,75%,max
0,29.0,25.137931034482758,29.665665745739318,7.0,7.0,14.0,28.0,120.0
1,42.0,37.19047619047619,39.9934373245912,7.0,14.0,28.0,47.25,217.0
2,46.0,44.608695652173914,44.734018008108315,7.0,15.75,28.0,56.0,217.0
3,41.0,44.926829268292686,52.09001355533632,7.0,7.0,21.0,56.0,203.0
4,37.0,41.08108108108108,40.87540579368967,7.0,7.0,21.0,70.0,182.0
5,45.0,26.933333333333334,29.504545104410298,7.0,7.0,14.0,28.0,120.0
6,19.0,21.42105263157895,26.957406299307895,7.0,7.0,14.0,24.5,120.0
7,45.0,26.622222222222224,27.82027456312531,7.0,7.0,14.0,28.0,126.0
8,28.0,31.535714285714285,33.2882830491419,7.0,7.0,21.0,35.0,120.0
9,55.0,24.454545454545453,28.05868069403054,7.0,7.0,7.0,28.0,120.0
10,6.0,28.166666666666668,45.33615187316482,7.0,7.0,7.0,17.5,120.0
11,22.0,17.863636363636363,26.79071526186683,7.0,7.0,7.0,14.0,120.0
12,25.0,37.56,48.0130884933126,7.0,7.0,21.0,42.0,210.0
13,59.0,24.338983050847457,19.424131959916753,7.0,7.0,21.0,35.0,120.0
14,49.0,31.591836734693878,27.88736150970165,7.0,14.0,28.0,35.0,147.0
15,19.0,27.68421052631579,38.99865044898484,7.0,7.0,7.0,28.0,140.0
16,34.0,53.970588235294116,41.17404691109963,7.0,21.0,42.0,82.25,161.0
17,49.0,47.30612244897959,45.13969247496813,7.0,14.0,35.0,63.0,273.0
18,51.0,33.372549019607845,27.159499836568223,7.0,14.0,28.0,42.0,120.0
19,34.0,27.61764705882353,33.80515892661172,7.0,7.0,10.5,40.25,133.0
20,53.0,27.49056603773585,42.70589161368246,7.0,7.0,14.0,28.0,280.0
21,32.0,35.46875,38.53191754059015,7.0,7.0,21.0,42.0,168.0
22,41.0,30.073170731707318,40.5779436664196,7.0,7.0,14.0,35.0,168.0
23,32.0,42.03125,50.87016006937535,7.0,7.0,21.0,63.0,203.0
24,39.0,32.15384615384615,32.01770765121804,7.0,7.0,21.0,38.5,126.0
25,23.0,29.565217391304348,31.07589841743265,7.0,7.0,7.0,49.0,120.0
26,42.0,52.357142857142854,57.839484120667485,7.0,15.75,31.5,71.75,294.0
27,52.0,31.78846153846154,30.692872352925875,7.0,7.0,21.0,43.75,133.0
28,42.0,29.69047619047619,29.441540335530814,7.0,7.0,14.0,42.0,120.0
29,39.0,26.41025641025641,24.84554174634487,7.0,7.0,21.0,35.0,120.0
30,35.0,38.628571428571426,40.03313753430196,7.0,7.0,21.0,59.5,140.0
31,32.0,28.46875,34.46736125576607,7.0,7.0,10.5,35.0,120.0
32,30.0,39.233333333333334,58.10969610666704,7.0,7.0,14.0,52.5,252.0
33,16.0,28.0625,31.395262381448575,7.0,7.0,14.0,35.0,120.0
34,48.0,39.833333333333336,33.79621868143122,7.0,14.0,28.0,57.75,161.0
35,27.0,21.555555555555557,24.932730007783455,7.0,7.0,14.0,21.0,120.0
36,27.0,29.85185185185185,31.54447861439671,7.0,7.0,21.0,38.5,148.0
37,47.0,37.702127659574465,42.82366010676657,7.0,7.0,28.0,38.5,210.0
38,44.0,47.11363636363637,46.07689019156087,7.0,19.25,35.0,50.75,196.0
39,48.0,45.375,50.676539958127165,7.0,12.25,21.0,63.0,203.0
40,30.0,35.03333333333333,39.68364844646959,7.0,7.0,17.5,42.0,161.0
41,44.0,32.31818181818182,32.191846958054846,7.0,7.0,21.0,42.0,155.0
42,34.0,22.264705882352942,31.28588492220444,7.0,7.0,7.0,26.25,147.0
43,53.0,31.58490566037736,38.92222716879637,7.0,7.0,21.0,35.0,231.0
44,37.0,30.10810810810811,35.94732549453728,7.0,7.0,14.0,35.0,169.0
45,34.0,39.35294117647059,47.98098256660696,7.0,7.0,21.0,42.0,210.0
46,23.0,15.565217391304348,25.69546491107035,7.0,7.0,7.0,10.5,127.0
47,43.0,19.3953488372093,23.07352588789205,7.0,7.0,14.0,21.0,134.0
48,25.0,23.28,43.43243795444445,7.0,7.0,7.0,14.0,189.0
49,33.0,28.666666666666668,28.835380466826976,7.0,7.0,21.0,42.0,134.0
50,46.0,37.91304347826087,31.708271677176338,7.0,21.0,35.0,42.0,161.0
51,45.0,21.177777777777777,30.131747745894568,7.0,7.0,14.0,14.0,140.0
52,35.0,27.428571428571427,32.24929156931496,7.0,7.0,14.0,38.5,148.0
53,36.0,43.0,44.49269602979797,7.0,14.0,28.0,50.75,203.0
54,45.0,29.266666666666666,31.94839589087377,7.0,7.0,14.0,35.0,140.0
55,52.0,33.40384615384615,36.27901657626035,7.0,14.0,21.0,35.0,168.0
56,35.0,27.62857142857143,34.56033574377843,7.0,7.0,14.0,31.5,148.0
57,43.0,42.18604651162791,49.51587326733071,7.0,14.0,21.0,56.0,280.0
58,30.0,28.966666666666665,35.40843785405348,7.0,7.0,10.5,40.25,141.0
59,46.0,39.43478260869565,40.793600900093814,7.0,14.0,21.0,52.5,196.0
60,34.0,32.35294117647059,34.9093044408205,7.0,7.0,17.5,54.25,148.0
61,23.0,25.608695652173914,29.897915905528787,7.0,7.0,14.0,35.0,127.0
62,40.0,52.0,61.60960631057132,7.0,14.0,31.5,71.75,350.0
63,51.0,35.98039215686274,42.90710439825947,7.0,7.0,21.0,38.5,217.0
64,46.0,28.782608695652176,30.21545818026724,7.0,7.0,14.0,42.0,127.0
65,37.0,31.81081081081081,30.858852356637776,7.0,7.0,21.0,35.0,141.0
66,35.0,43.22857142857143,43.82927152048967,7.0,7.0,21.0,63.0,182.0
67,27.0,41.25925925925926,46.971834926403254,7.0,7.0,21.0,59.5,189.0
68,34.0,37.294117647058826,50.978622621147544,7.0,7.0,21.0,42.0,210.0
69,16.0,46.0,47.72420769378995,7.0,7.0,10.5,89.25,127.0
70,43.0,42.348837209302324,32.68892612908641,7.0,21.0,35.0,59.5,141.0
71,27.0,24.40740740740741,26.943329785737692,7.0,7.0,21.0,31.5,134.0
72,30.0,26.4,33.31521346586064,7.0,7.0,14.0,28.0,162.0
73,42.0,40.023809523809526,44.5845254217737,7.0,14.0,24.5,47.25,217.0
