id,count,mean,std,min,25%,50%,75%,max
0,28.0,56.0,66.89793220521344,7.0,7.0,17.5,99.75,210.0
1,39.0,40.38461538461539,56.78797842789551,7.0,7.0,14.0,49.0,266.0
2,47.0,46.170212765957444,59.42672475554359,7.0,14.0,28.0,49.0,343.0
3,46.0,53.26086956521739,64.43513009483387,7.0,14.0,24.5,70.0,308.0
4,36.0,59.111111111111114,62.59747953747375,7.0,7.0,31.5,91.0,231.0
5,42.0,46.5,41.766628060117505,7.0,14.0,35.0,56.0,196.0
6,30.0,26.6,28.914380147434336,7.0,7.0,14.0,35.0,140.0
7,32.0,57.53125,116.92622001680955,7.0,7.0,14.0,50.75,574.0
8,36.0,58.138888888888886,67.90503990459356,7.0,7.0,31.5,80.5,294.0
9,40.0,42.175,52.53857557144962,7.0,7.0,24.5,43.75,217.0
10,6.0,33.833333333333336,53.2030700868537,7.0,7.0,7.0,28.0,140.0
11,30.0,22.166666666666668,31.30944919980871,7.0,7.0,14.0,21.0,140.0
12,21.0,78.0,117.493404070186,7.0,14.0,35.0,77.0,441.0
13,46.0,30.282608695652176,30.2813936590172,7.0,8.75,17.5,42.0,140.0
14,34.0,50.029411764705884,94.75118462331902,7.0,7.0,21.0,47.25,518.0
15,19.0,37.21052631578947,40.55254334724056,7.0,10.5,21.0,45.5,140.0
16,36.0,60.666666666666664,75.74430671674274,7.0,12.25,28.0,64.75,301.0
17,32.0,84.4375,118.15269985857694,7.0,33.25,56.0,87.5,679.0
18,40.0,30.625,30.80683199285343,7.0,7.0,17.5,43.75,140.0
19,35.0,42.4,63.090131604573095,7.0,7.0,14.0,49.0,259.0
20,27.0,32.407407407407405,66.52544872178862,7.0,7.0,7.0,24.5,336.0
21,36.0,39.666666666666664,40.08989897717379,7.0,14.0,24.5,56.0,182.0
22,28.0,45.0,46.017709956381246,7.0,14.0,24.5,63.0,189.0
23,31.0,74.96774193548387,92.05631749857176,7.0,17.5,49.0,70.0,406.0
24,32.0,58.40625,96.00566494542342,7.0,7.0,21.0,70.0,441.0
25,23.0,33.78260869565217,42.45634819407204,7.0,7.0,7.0,49.0,147.0
26,38.0,64.47368421052632,82.60349342854867,7.0,14.0,38.5,70.0,413.0
27,39.0,54.38461538461539,74.41901829103102,7.0,7.0,14.0,63.0,308.0
28,36.0,47.44444444444444,56.05275293070903,7.0,7.0,21.0,66.5,217.0
29,45.0,27.68888888888889,25.674379006584314,7.0,7.0,28.0,35.0,140.0
30,31.0,68.64516129032258,83.81350264609188,7.0,10.5,35.0,70.0,315.0
31,27.0,39.148148148148145,56.9430914994582,7.0,7.0,7.0,42.0,203.0
32,36.0,40.638888888888886,57.06044553317513,7.0,12.25,24.5,42.0,294.0
33,17.0,29.235294117647058,36.97723862689841,7.0,7.0,14.0,35.0,140.0
34,35.0,64.0,81.72406946188966,7.0,21.0,35.0,70.0,420.0
35,25.0,34.44,30.971868956630093,7.0,7.0,28.0,42.0,140.0
36,27.0,62.48148148148148,98.53557357248832,7.0,7.0,14.0,70.0,406.0
37,44.0,45.5,50.2627977455424,7.0,14.0,31.5,56.0,259.0
38,45.0,47.91111111111111,54.36443616181373,7.0,14.0,35.0,63.0,301.0
39,43.0,56.16279069767442,70.22444637173764,7.0,17.5,28.0,59.5,301.0
40,28.0,57.25,68.32201803334081,7.0,7.0,21.0,113.75,217.0
41,34.0,56.8235294117647,46.64857046641103,7.0,22.75,49.0,68.25,168.0
42,25.0,28.0,30.64582625198196,7.0,7.0,14.0,35.0,147.0
43,41.0,55.65853658536585,111.22018920953552,7.0,7.0,21.0,42.0,602.0
44,37.0,52.972972972972975,72.13624704777855,7.0,7.0,21.0,63.0,315.0
45,36.0,44.333333333333336,48.23691532426177,7.0,14.0,31.5,50.75,245.0
46,24.0,15.75,29.35576382186669,7.0,7.0,7.0,7.0,147.0
47,41.0,19.975609756097562,25.1201988496091,7.0,7.0,14.0,21.0,154.0
48,19.0,64.10526315789474,133.61798562271224,7.0,7.0,14.0,38.5,581.0
49,43.0,25.88372093023256,26.304272061438436,7.0,14.0,21.0,35.0,168.0
50,34.0,65.88235294117646,114.03794283665903,7.0,14.0,28.0,70.0,567.0
51,41.0,22.365853658536587,27.47977083015884,7.0,7.0,7.0,35.0,147.0
52,30.0,52.03333333333333,59.558422973803104,7.0,8.75,28.0,71.75,231.0
53,36.0,69.02777777777777,112.32643401166875,7.0,14.0,35.0,77.0,665.0
54,45.0,40.13333333333333,39.128343598052716,7.0,14.0,28.0,56.0,203.0
55,41.0,59.75609756097561,80.22710903672302,7.0,14.0,21.0,77.0,392.0
56,26.0,51.69230769230769,139.9170523505321,7.0,7.0,14.0,21.0,714.0
57,33.0,75.0909090909091,120.4360213029006,7.0,21.0,42.0,84.0,700.0
58,28.0,53.0,80.90598110014967,7.0,14.0,24.5,50.75,392.0
59,38.0,66.5,79.0411285344535,7.0,14.0,38.5,63.0,322.0
60,31.0,65.03225806451613,81.33653704249103,7.0,7.0,28.0,94.5,329.0
61,19.0,36.10526315789474,45.08004576656716,7.0,7.0,7.0,45.5,147.0
62,37.0,70.94594594594595,85.14528301215059,7.0,21.0,42.0,70.0,399.0
63,42.0,52.5,79.41071071089691,7.0,7.0,14.0,63.0,399.0
64,35.0,44.4,58.2440100429422,7.0,7.0,14.0,59.5,266.0
65,46.0,29.217391304347824,28.282631532034138,7.0,7.0,21.0,35.0,161.0
66,36.0,60.47222222222222,76.40960527170506,7.0,14.0,28.0,59.5,273.0
67,23.0,56.0,82.63666366582197,7.0,7.0,14.0,59.5,350.0
68,38.0,41.44736842105263,65.00465570371014,7.0,14.0,21.0,33.25,336.0
69,20.0,24.15,35.43752842753896,7.0,7.0,10.5,22.75,154.0
70,39.0,56.0,58.939308659528386,7.0,17.5,35.0,73.5,259.0
71,26.0,31.5,29.182529019946163,7.0,14.0,24.5,42.0,147.0
72,24.0,63.583333333333336,114.37007691154896,7.0,7.0,14.0,40.25,413.0
73,43.0,49.16279069767442,57.10346926019808,7.0,14.0,35.0,63.0,301.0
74,31.0,45.83870967741935,62.73600602216324,7.0,10.5,21.0,49.0,245.0
75,46.0,54.630434782608695,76.00536785009982,7.0,14.0,21.0,59.5,329.0
76,19.0,88.78947368421052,121.35694776950278,7.0,7.0,42.0,119.0,448.0
77,36.0,60.083333333333336,54.153947224556035,7.0,21.0,38.5,78.75,203.0
78,28.0,31.5,34.89614220427153,7.0,7.0,21.0,38.5,175.0
79,39.0,69.1025641025641,112.10563506936211,7.0,7.0,21.0,70.0,609.0
80,28.0,69.75,88.26627433615393,7.0,14.0,35.0,92.75,399.0
81,35.0,47.6,46.92058371834891,7.0,14.0,35.0,56.0,196.0
82,24.0,24.791666666666668,32.17611748225513,7.0,14.0,14.0,21.0,168.0
83,37.0,24.405405405405407,34.03875198412298,7.0,7.0,14.0,28.0,182.0
84,24.0,49.875,112.87750671298126,7.0,7.0,10.5,22.75,539.0
85,50.0,23.1,36.64014192112252,7.0,7.0,14.0,21.0,252.0
86,33.0,75.93939393939394,119.29714461009203,7.0,21.0,35.0,63.0,602.0
87,42.0,23.0,25.74452345266616,7.0,7.0,14.0,28.0,161.0
88,39.0,46.84615384615385,58.26054838375372,7.0,7.0,21.0,52.5,224.0
89,31.0,78.58064516129032,108.31859618537297,7.0,28.0,42.0,77.0,560.0
90,44.0,44.54545454545455,39.744213880738485,7.0,14.0,31.5,63.0,182.0
91,40.0,55.125,75.328745322054,7.0,14.0,28.0,50.75,350.0
92,26.0,56.0,138.9883448350976,7.0,7.0,14.0,38.5,707.0
93,34.0,74.52941176470588,114.25602173484685,7.0,24.5,49.0,75.25,665.0
94,29.0,46.10344827586207,69.46085476603054,7.0,7.0,21.0,42.0,315.0
95,37.0,74.16216216216216,107.78206238968048,7.0,14.0,42.0,70.0,504.0
96,30.0,67.43333333333334,80.3499601241595,7.0,7.0,24.5,122.5,322.0
97,18.0,35.77777777777778,56.963926206757286,7.0,7.0,10.5,29.75,182.0
98,36.0,59.888888888888886,53.84463245713954,7.0,21.0,49.0,70.0,245.0
99,40.0,65.625,85.53682292979485,7.0,14.0,24.5,91.0,434.0
100,38.0,52.31578947368421,71.36283583595228,7.0,7.0,24.5,54.25,287.0
101,45.0,31.11111111111111,31.71336269993098,7.0,7.0,21.0,35.0,182.0
102,37.0,59.4054054054054,73.85325519774537,7.0,21.0,35.0,49.0,357.0
103,28.0,49.0,80.15263217414912,7.0,7.0,7.0,47.25,350.0
104,35.0,42.2,67.36633825147219,7.0,14.0,21.0,28.0,315.0
105,13.0,36.61538461538461,52.937917194795986,7.0,7.0,7.0,49.0,168.0
106,34.0,62.794117647058826,63.28185120255335,7.0,14.0,35.0,89.25,259.0
107,23.0,37.73913043478261,53.75721295476572,7.0,7.0,7.0,38.5,175.0
108,22.0,72.86363636363636,109.86844750689689,7.0,7.0,24.5,80.5,420.0
