id,count,mean,std,min,25%,50%,75%,max
0,29.0,10.482758620689655,31.492199362535086,0.0,0.0,0.0,7.0,171.0
1,42.0,17.404761904761905,27.451117995634,0.0,0.0,7.0,21.0,150.0
2,41.0,11.170731707317072,26.666366868233464,0.0,0.0,7.0,7.0,164.0
3,41.0,11.512195121951219,31.40551062410824,0.0,0.0,0.0,7.0,157.0
4,33.0,27.03030303030303,42.91669608707436,0.0,0.0,14.0,28.0,164.0
5,42.0,16.238095238095237,36.112162348080496,0.0,0.0,0.0,14.0,150.0
6,34.0,4.823529411764706,26.915660179964956,0.0,0.0,0.0,0.0,157.0
7,42.0,17.238095238095237,39.43244270580769,0.0,0.0,3.5,12.25,175.0
8,43.0,17.325581395348838,31.37766944078039,0.0,0.0,7.0,21.0,192.0
9,45.0,12.666666666666666,29.32885640767158,0.0,0.0,0.0,14.0,171.0
10,24.0,6.25,30.618621784789728,0.0,0.0,0.0,0.0,150.0
11,42.0,7.571428571428571,24.75848497782553,0.0,0.0,0.0,7.0,157.0
12,37.0,22.216216216216218,32.67103298636877,0.0,0.0,14.0,21.0,164.0
13,56.0,6.803571428571429,23.122928127614056,0.0,0.0,0.0,7.0,157.0
14,44.0,23.772727272727273,53.58143709990739,0.0,0.0,10.5,21.0,322.0
15,36.0,8.833333333333334,26.400757564888167,0.0,0.0,0.0,7.0,150.0
16,40.0,12.5,28.950001107125438,0.0,0.0,7.0,14.0,178.0
17,43.0,16.023255813953487,28.261102640920083,0.0,0.0,7.0,14.0,164.0
18,46.0,9.195652173913043,23.511339642552052,0.0,0.0,7.0,7.0,157.0
19,35.0,22.085714285714285,53.65761358650159,0.0,0.0,7.0,14.0,287.0
20,45.0,21.22222222222222,34.76276017449557,0.0,0.0,14.0,21.0,171.0
21,42.0,10.904761904761905,26.977686826844398,0.0,0.0,0.0,12.25,164.0
22,36.0,12.333333333333334,32.96664981462326,0.0,0.0,0.0,7.0,157.0
23,41.0,21.414634146341463,36.81370370511238,0.0,7.0,7.0,21.0,161.0
24,34.0,25.61764705882353,36.70605160731579,0.0,0.0,14.0,28.0,171.0
25,39.0,14.435897435897436,26.63870835318496,0.0,0.0,7.0,14.0,150.0
26,44.0,11.363636363636363,24.603923783395036,0.0,0.0,0.0,8.75,150.0
27,35.0,8.685714285714285,28.026008328999385,0.0,0.0,0.0,7.0,164.0
28,37.0,11.054054054054054,27.627427943526968,0.0,0.0,0.0,7.0,157.0
29,50.0,16.86,30.44165379400872,0.0,0.0,7.0,14.0,171.0
30,33.0,19.606060606060606,31.83545526800602,0.0,0.0,14.0,28.0,171.0
31,27.0,16.962962962962962,40.153054756367,0.0,0.0,0.0,10.5,157.0
32,41.0,12.707317073170731,32.18015219233668,0.0,0.0,0.0,7.0,185.0
33,27.0,9.185185185185185,29.144252681917653,0.0,0.0,0.0,7.0,150.0
34,39.0,15.512820512820513,31.24762878992984,0.0,0.0,7.0,14.0,171.0
35,30.0,6.866666666666666,27.461237048426735,0.0,0.0,0.0,0.0,150.0
36,29.0,14.586206896551724,36.19344577739704,0.0,0.0,7.0,14.0,185.0
37,42.0,11.571428571428571,29.412244718362153,0.0,0.0,0.0,14.0,178.0
38,41.0,17.317073170731707,32.257122488212,0.0,0.0,7.0,21.0,192.0
39,41.0,15.609756097560975,32.336417588208874,0.0,0.0,7.0,21.0,185.0
40,29.0,22.06896551724138,38.47905834391588,0.0,0.0,7.0,35.0,192.0
41,41.0,14.073170731707316,30.727341443657664,0.0,0.0,7.0,14.0,185.0
42,34.0,9.558823529411764,34.7704081572601,0.0,0.0,0.0,0.0,178.0
43,42.0,18.071428571428573,35.84546292829197,0.0,0.0,7.0,21.0,206.0
44,37.0,13.135135135135135,34.87848920192801,0.0,0.0,0.0,14.0,206.0
45,43.0,18.953488372093023,53.45490021119811,0.0,0.0,7.0,14.0,287.0
46,23.0,7.434782608695652,34.1611502985968,0.0,0.0,0.0,0.0,164.0
47,41.0,11.682926829268293,28.976230797319243,0.0,0.0,0.0,14.0,178.0
48,36.0,17.0,35.45701623092389,0.0,0.0,3.5,14.0,192.0
49,55.0,12.909090909090908,32.89786254864228,0.0,0.0,0.0,14.0,220.0
50,41.0,20.73170731707317,32.92037696491635,0.0,7.0,14.0,21.0,192.0
51,36.0,18.944444444444443,34.94153847659131,0.0,0.0,7.0,15.75,171.0
52,40.0,13.725,31.478920500827787,0.0,0.0,7.0,14.0,185.0
53,42.0,16.238095238095237,39.78344399113263,0.0,0.0,7.0,14.0,241.0
54,46.0,11.326086956521738,27.88392953961203,0.0,0.0,7.0,12.25,185.0
55,35.0,20.485714285714284,43.60880336689413,0.0,0.0,7.0,17.5,192.0
56,44.0,16.454545454545453,32.649979198294275,0.0,0.0,3.5,21.0,178.0
57,42.0,16.238095238095237,43.21066350087476,0.0,0.0,0.0,7.0,192.0
58,34.0,14.088235294117647,32.875677337931876,0.0,0.0,3.5,14.0,178.0
59,41.0,20.048780487804876,38.48178219593798,0.0,0.0,7.0,21.0,199.0
60,33.0,22.575757575757574,46.31618932878,0.0,0.0,7.0,21.0,199.0
61,36.0,12.333333333333334,31.29856226729911,0.0,0.0,7.0,14.0,185.0
62,42.0,19.238095238095237,46.55330515305691,0.0,0.0,7.0,14.0,245.0
63,34.0,19.647058823529413,36.74554794961761,0.0,0.0,10.5,19.25,199.0
64,37.0,13.891891891891891,30.461983396233943,0.0,0.0,7.0,14.0,185.0
65,49.0,20.489795918367346,47.330893033769705,0.0,0.0,7.0,14.0,252.0
66,32.0,13.65625,39.61720819901209,0.0,0.0,0.0,7.0,220.0
67,27.0,10.74074074074074,31.70366709266465,0.0,0.0,0.0,7.0,164.0
68,41.0,13.902439024390244,35.095444774250105,0.0,0.0,0.0,7.0,199.0
69,27.0,10.222222222222221,34.37612469022575,0.0,0.0,0.0,7.0,178.0
70,38.0,24.57894736842105,40.9387357565974,0.0,0.0,14.0,28.0,206.0
71,29.0,15.068965517241379,34.22189256944278,0.0,0.0,0.0,14.0,178.0
72,29.0,15.068965517241379,38.873357599189745,0.0,0.0,7.0,14.0,213.0
73,42.0,12.904761904761905,34.553464775485374,0.0,0.0,7.0,7.0,220.0
74,37.0,25.81081081081081,46.990446923838704,0.0,0.0,7.0,21.0,241.0
75,41.0,15.439024390243903,32.88392371698351,0.0,0.0,7.0,21.0,199.0
76,29.0,35.827586206896555,108.22135680615689,0.0,0.0,14.0,21.0,591.0
77,41.0,9.463414634146341,31.113580283355056,0.0,0.0,0.0,14.0,199.0
78,34.0,9.558823529411764,38.99742895679972,0.0,0.0,0.0,0.0,227.0
79,42.0,13.904761904761905,34.5018978083953,0.0,0.0,7.0,14.0,220.0
80,37.0,16.35135135135135,40.06676110375464,0.0,0.0,7.0,14.0,241.0
81,43.0,17.325581395348838,37.51743780610403,0.0,0.0,7.0,17.5,213.0
82,23.0,11.391304347826088,41.20430155218217,0.0,0.0,0.0,7.0,199.0
83,41.0,23.975609756097562,57.037920633942306,0.0,0.0,7.0,14.0,287.0
84,34.0,22.941176470588236,42.61166519505178,0.0,0.0,0.0,26.25,206.0
85,54.0,14.574074074074074,39.21715154803545,0.0,0.0,7.0,12.25,276.0
86,41.0,22.097560975609756,36.66592756091736,0.0,0.0,14.0,21.0,206.0
87,36.0,29.63888888888889,72.83058728614266,0.0,0.0,7.0,22.75,395.0
88,39.0,12.64102564102564,35.74727606809782,0.0,0.0,0.0,7.0,199.0
89,42.0,16.738095238095237,40.87163696842241,0.0,0.0,7.0,21.0,262.0
90,46.0,10.26086956521739,29.741429975790187,0.0,0.0,3.5,7.0,199.0
91,35.0,33.68571428571428,55.30012840564362,0.0,7.0,14.0,35.0,234.0
92,44.0,17.727272727272727,57.4307929867478,0.0,0.0,0.0,8.75,374.0
93,42.0,13.904761904761905,33.02017825350353,0.0,0.0,7.0,12.25,206.0
94,34.0,19.441176470588236,45.65296709562897,0.0,0.0,7.0,19.25,213.0
95,41.0,24.658536585365855,49.69135224367393,0.0,0.0,7.0,21.0,234.0
96,33.0,20.03030303030303,41.12593832401035,0.0,0.0,7.0,21.0,220.0
97,35.0,31.885714285714286,79.00438239094582,0.0,0.0,0.0,14.0,346.0
98,41.0,14.585365853658537,34.022033750024484,0.0,0.0,7.0,14.0,213.0
99,34.0,18.205882352941178,39.4675005632864,0.0,0.0,7.0,14.0,206.0
100,37.0,14.27027027027027,38.37580882147896,0.0,0.0,0.0,7.0,220.0
101,48.0,13.770833333333334,39.70488987696407,0.0,0.0,0.0,7.0,262.0
102,32.0,21.53125,42.68261289504647,0.0,0.0,14.0,21.0,241.0
103,27.0,11.777777777777779,36.525368774354135,0.0,0.0,0.0,7.0,192.0
104,41.0,13.21951219512195,38.314822324475124,0.0,0.0,0.0,7.0,227.0
105,25.0,16.36,41.375193856544854,0.0,0.0,7.0,14.0,206.0
106,37.0,23.35135135135135,40.85014362562553,0.0,7.0,7.0,21.0,220.0
107,27.0,18.51851851851852,58.45469670566742,0.0,0.0,0.0,7.0,304.0
108,29.0,19.896551724137932,56.22997727927326,0.0,0.0,7.0,14.0,304.0
109,41.0,22.951219512195124,56.33957366696708,0.0,0.0,7.0,14.0,311.0
110,36.0,28.666666666666668,85.36509825449743,0.0,0.0,7.0,15.75,507.0
111,40.0,14.6,34.890157307227454,0.0,0.0,7.0,14.0,213.0
112,29.0,28.103448275862068,114.1219100121777,0.0,0.0,7.0,7.0,619.0
