id,count,mean,std,min,25%,50%,75%,max
0,46.0,5.608695652173913,15.529868370150563,0.0,0.0,0.0,7.0,97.0
1,62.0,6.870967741935484,15.490328945874628,0.0,0.0,0.0,7.0,111.0
2,58.0,6.620689655172414,17.69609688971177,0.0,0.0,0.0,7.0,118.0
3,60.0,4.883333333333334,13.73365489722813,0.0,0.0,0.0,7.0,90.0
4,54.0,12.944444444444445,17.548226450907425,0.0,0.0,7.0,14.0,104.0
5,62.0,7.548387096774194,16.041623542537288,0.0,0.0,0.0,7.0,111.0
6,40.0,6.275,15.618837246193358,0.0,0.0,0.0,7.0,90.0
7,78.0,8.602564102564102,14.095536498627826,0.0,0.0,7.0,14.0,97.0
8,68.0,11.205882352941176,19.03301046260246,0.0,0.0,7.0,14.0,132.0
9,77.0,6.532467532467533,18.286883720294988,0.0,0.0,0.0,7.0,104.0
10,26.0,3.730769230769231,17.64892674880304,0.0,0.0,0.0,0.0,90.0
11,55.0,7.745454545454545,15.81632792263201,0.0,0.0,0.0,7.0,97.0
12,43.0,12.511627906976743,30.048668533233794,0.0,0.0,0.0,14.0,175.0
13,66.0,12.287878787878787,19.957466427391683,0.0,0.0,7.0,19.25,104.0
14,55.0,9.654545454545454,18.54046443724702,0.0,0.0,0.0,7.0,111.0
15,39.0,3.7435897435897436,14.899166258407934,0.0,0.0,0.0,0.0,90.0
16,58.0,15.068965517241379,26.939739165023326,0.0,0.0,7.0,19.25,133.0
17,65.0,11.184615384615384,16.88461976520006,0.0,0.0,7.0,14.0,90.0
18,64.0,12.234375,25.659394261924596,0.0,0.0,7.0,14.0,140.0
19,63.0,14.65079365079365,19.86824239361831,0.0,0.0,7.0,21.0,111.0
20,58.0,8.551724137931034,15.126568254255002,0.0,0.0,7.0,12.25,104.0
21,65.0,8.815384615384616,15.807328509757257,0.0,0.0,7.0,14.0,111.0
22,50.0,7.4,15.537971921347118,0.0,0.0,0.0,7.0,90.0
23,65.0,7.953846153846154,15.794016637273163,0.0,0.0,0.0,7.0,104.0
24,58.0,8.310344827586206,15.816055462893509,0.0,0.0,0.0,14.0,104.0
25,47.0,8.46808510638298,17.883501096565524,0.0,0.0,0.0,7.0,97.0
26,68.0,12.852941176470589,21.01333244571408,0.0,0.0,7.0,14.0,97.0
27,68.0,13.367647058823529,18.78146467335704,0.0,0.0,7.0,14.0,90.0
28,62.0,8.0,19.001294175078414,0.0,0.0,0.0,7.0,111.0
29,64.0,8.734375,15.827685396165796,0.0,0.0,7.0,8.75,104.0
30,50.0,10.9,17.334935823359714,0.0,0.0,7.0,14.0,104.0
31,39.0,6.435897435897436,16.339804276021102,0.0,0.0,0.0,7.0,97.0
32,61.0,6.295081967213115,17.826332827491548,0.0,0.0,0.0,0.0,111.0
33,31.0,6.290322580645161,17.016058196866272,0.0,0.0,0.0,7.0,90.0
34,62.0,14.435483870967742,21.692048076703838,0.0,0.0,7.0,21.0,111.0
35,31.0,5.387096774193548,17.60052540760235,0.0,0.0,0.0,3.5,97.0
36,45.0,8.688888888888888,18.872565733724105,0.0,0.0,0.0,7.0,118.0
37,62.0,8.790322580645162,18.039244192642244,0.0,0.0,0.0,12.25,125.0
38,58.0,15.068965517241379,35.32945794816375,0.0,0.0,7.0,14.0,217.0
39,59.0,11.847457627118644,20.893666388382766,0.0,0.0,7.0,14.0,104.0
40,48.0,14.416666666666666,27.173855812459006,0.0,0.0,7.0,14.0,133.0
41,62.0,8.225806451612904,20.958522156352494,0.0,0.0,7.0,7.0,160.0
42,40.0,15.375,22.42330232547131,0.0,0.0,7.0,21.0,118.0
43,75.0,12.96,21.933215586091016,0.0,0.0,7.0,17.5,132.0
44,63.0,7.5396825396825395,20.638068017876495,0.0,0.0,0.0,7.0,146.0
45,76.0,6.526315789473684,15.835381215670624,0.0,0.0,0.0,7.0,125.0
46,26.0,8.038461538461538,21.741169737124576,0.0,0.0,0.0,7.0,111.0
47,55.0,9.145454545454545,20.81080397989377,0.0,0.0,0.0,7.0,118.0
48,43.0,11.046511627906977,21.31727835792241,0.0,0.0,7.0,17.5,132.0
49,66.0,11.015151515151516,23.53687282296402,0.0,0.0,0.0,14.0,139.0
50,55.0,13.981818181818182,22.490731349446968,0.0,0.0,7.0,14.0,125.0
51,38.0,8.078947368421053,20.922484451392876,0.0,0.0,0.0,7.0,118.0
52,58.0,6.379310344827586,18.483589294296767,0.0,0.0,0.0,7.0,132.0
53,65.0,7.846153846153846,18.23306643267834,0.0,0.0,0.0,7.0,125.0
54,62.0,16.016129032258064,29.617502543278537,0.0,0.0,7.0,14.0,132.0
