id,count,mean,std,min,25%,50%,75%,max
0,26.0,13.807692307692308,18.98635137306635,7.0,7.0,7.0,12.25,100.0
1,60.0,28.033333333333335,16.59994554480211,7.0,19.25,28.0,35.0,100.0
2,47.0,25.06382978723404,22.881931599179474,7.0,7.0,21.0,31.5,100.0
3,41.0,20.536585365853657,19.14431712150581,7.0,7.0,14.0,28.0,100.0
4,45.0,25.08888888888889,28.571141051944373,7.0,7.0,14.0,35.0,119.0
5,38.0,14.605263157894736,16.583188285509518,7.0,7.0,7.0,14.0,100.0
6,16.0,14.125,23.070543990118654,7.0,7.0,7.0,8.75,100.0
7,44.0,20.09090909090909,21.178991545285253,7.0,7.0,14.0,21.0,100.0
8,57.0,25.82456140350877,26.495365367643306,7.0,7.0,14.0,35.0,133.0
9,59.0,21.508474576271187,29.925985065085523,7.0,7.0,14.0,28.0,203.0
10,13.0,26.53846153846154,26.977198349147205,7.0,7.0,14.0,35.0,100.0
11,42.0,14.714285714285714,17.846617106899526,7.0,7.0,7.0,14.0,100.0
12,12.0,16.5,26.479837956109513,7.0,7.0,7.0,14.0,100.0
13,37.0,18.783783783783782,17.71868934069199,7.0,7.0,14.0,21.0,100.0
14,54.0,20.38888888888889,18.06426334127393,7.0,7.0,14.0,26.25,100.0
15,38.0,29.342105263157894,17.805672214652475,7.0,21.0,28.0,35.0,100.0
16,31.0,15.193548387096774,17.290497110337245,7.0,7.0,7.0,14.0,100.0
17,41.0,23.78048780487805,18.779659468587216,7.0,7.0,21.0,35.0,100.0
18,57.0,20.05263157894737,18.925059966532263,7.0,7.0,14.0,28.0,100.0
19,61.0,19.770491803278688,18.376065449947795,7.0,7.0,14.0,28.0,100.0
20,27.0,12.777777777777779,19.274002684631427,7.0,7.0,7.0,7.0,100.0
21,43.0,20.72093023255814,18.841855107073957,7.0,7.0,14.0,28.0,100.0
22,27.0,23.925925925925927,38.159509275515425,7.0,7.0,7.0,21.0,140.0
23,62.0,23.29032258064516,22.562399518344307,7.0,7.0,14.0,28.0,126.0
24,34.0,17.352941176470587,20.28566048691475,7.0,7.0,7.0,19.25,100.0
25,12.0,25.25,26.775582499393327,7.0,7.0,14.0,31.5,100.0
26,51.0,25.705882352941178,24.516357084727787,7.0,7.0,21.0,35.0,140.0
27,60.0,21.733333333333334,20.81546578434432,7.0,7.0,14.0,28.0,100.0
28,37.0,17.45945945945946,20.53803327514129,7.0,7.0,7.0,14.0,100.0
29,42.0,15.547619047619047,17.00244226495967,7.0,7.0,7.0,19.25,100.0
30,37.0,31.64864864864865,28.879266126617765,7.0,14.0,21.0,35.0,133.0
31,28.0,17.571428571428573,19.59861781110648,7.0,7.0,10.5,15.75,100.0
32,22.0,20.454545454545453,24.066826155771373,7.0,7.0,7.0,19.25,100.0
33,9.0,18.11111111111111,30.795472250171958,7.0,7.0,7.0,7.0,100.0
34,43.0,28.372093023255815,31.373345720618104,7.0,7.0,14.0,38.5,133.0
35,28.0,17.321428571428573,23.4742626144253,7.0,7.0,7.0,15.75,100.0
36,20.0,17.25,25.661511216113848,7.0,7.0,7.0,15.75,121.0
37,48.0,26.4375,21.50398899165435,7.0,7.0,21.0,35.0,114.0
38,49.0,29.040816326530614,30.679091131470326,7.0,7.0,14.0,35.0,128.0
39,52.0,32.88461538461539,46.027976933963586,7.0,7.0,21.0,35.0,294.0
40,20.0,21.8,31.40331863119934,7.0,7.0,7.0,21.0,128.0
41,58.0,18.5,17.875053674315193,7.0,7.0,14.0,21.0,121.0
42,38.0,13.31578947368421,16.801070209087786,7.0,7.0,7.0,14.0,107.0
43,65.0,18.76923076923077,23.745900455900557,7.0,7.0,7.0,21.0,121.0
44,37.0,22.37837837837838,28.357197157523,7.0,7.0,7.0,28.0,135.0
45,31.0,17.0,22.88085080003218,7.0,7.0,7.0,14.0,128.0
46,10.0,33.1,36.89760606507329,7.0,7.0,7.0,54.25,107.0
47,41.0,14.048780487804878,18.980188644363093,7.0,7.0,7.0,14.0,114.0
48,18.0,14.88888888888889,24.439333987480797,7.0,7.0,7.0,7.0,107.0
49,34.0,21.264705882352942,20.33404195018997,7.0,7.0,21.0,21.0,114.0
50,47.0,25.06382978723404,32.52718211462874,7.0,7.0,14.0,28.0,196.0
51,38.0,35.421052631578945,24.672592934372812,7.0,15.75,35.0,49.0,112.0
52,27.0,16.40740740740741,25.224010629769253,7.0,7.0,7.0,14.0,135.0
53,39.0,24.28205128205128,26.165413810831232,7.0,7.0,14.0,31.5,114.0
54,51.0,20.07843137254902,18.335586314328648,7.0,7.0,14.0,21.0,107.0
55,56.0,28.410714285714285,28.10938166631094,7.0,7.0,21.0,35.0,140.0
56,40.0,14.4,19.81555980174192,7.0,7.0,7.0,14.0,121.0
57,45.0,22.755555555555556,22.653672746132997,7.0,7.0,14.0,28.0,128.0
58,22.0,27.772727272727273,34.1536190903643,7.0,7.0,14.0,28.0,126.0
59,57.0,28.649122807017545,33.63060427437558,7.0,7.0,21.0,35.0,203.0
60,43.0,16.488372093023255,19.92291345712657,7.0,7.0,7.0,14.0,121.0
61,18.0,18.38888888888889,24.333803379827508,7.0,7.0,10.5,14.0,107.0
62,52.0,20.76923076923077,20.265507627411697,7.0,7.0,10.5,29.75,114.0
63,54.0,26.35185185185185,28.4924070702509,7.0,7.0,14.0,35.0,128.0
64,42.0,15.880952380952381,18.424800863936795,7.0,7.0,7.0,19.25,114.0
65,40.0,18.95,20.008908272477292,7.0,7.0,14.0,21.0,121.0
66,38.0,34.86842105263158,38.86370574799284,7.0,7.0,21.0,47.25,147.0
67,30.0,23.633333333333333,25.395469774301702,7.0,7.0,14.0,33.25,107.0
68,31.0,19.70967741935484,21.65208773365299,7.0,7.0,14.0,24.5,121.0
69,10.0,24.7,33.95110863841972,7.0,7.0,10.5,19.25,114.0
70,44.0,25.5,24.692056909431514,7.0,7.0,14.0,29.75,135.0
71,29.0,21.551724137931036,20.72022167369105,7.0,7.0,14.0,28.0,114.0
72,29.0,16.0,25.37715508089904,7.0,7.0,7.0,14.0,142.0
73,41.0,26.341463414634145,29.12868839829349,7.0,7.0,14.0,35.0,163.0
74,34.0,21.058823529411764,27.420343229368942,7.0,7.0,14.0,21.0,149.0
75,51.0,33.11764705882353,51.37495384283027,7.0,7.0,21.0,35.0,336.0
76,21.0,26.428571428571427,48.68528671844445,7.0,7.0,7.0,21.0,219.0
77,56.0,23.785714285714285,21.179504917996276,7.0,14.0,21.0,28.0,149.0
