id,count,mean,std,min,25%,50%,75%,max
0,40.0,12.45,23.98605364020454,0.0,0.0,7.0,14.0,134.0
1,52.0,19.134615384615383,27.431217972540217,0.0,7.0,7.0,21.0,141.0
2,52.0,12.942307692307692,23.969272373177027,0.0,0.0,7.0,14.0,141.0
3,51.0,12.647058823529411,25.09089359063305,0.0,0.0,7.0,14.0,120.0
4,45.0,21.955555555555556,28.187646839412373,0.0,7.0,7.0,28.0,127.0
5,54.0,12.722222222222221,23.973583470197266,0.0,0.0,7.0,14.0,148.0
6,38.0,3.526315789473684,19.469639347712995,0.0,0.0,0.0,0.0,120.0
7,59.0,17.10169491525424,32.33109686762791,0.0,0.0,7.0,14.0,182.0
8,53.0,16.264150943396228,28.259206085666357,0.0,0.0,7.0,21.0,162.0
9,59.0,14.016949152542374,25.951208546320373,0.0,0.0,7.0,14.0,141.0
10,32.0,12.28125,23.93301724639267,0.0,0.0,3.5,14.0,120.0
11,38.0,4.078947368421052,20.786406133410868,0.0,0.0,0.0,0.0,127.0
12,43.0,10.604651162790697,21.425551651378584,0.0,0.0,0.0,14.0,127.0
13,60.0,10.166666666666666,19.706461700882826,0.0,0.0,3.5,14.0,127.0
14,53.0,10.18867924528302,20.133264288593853,0.0,0.0,7.0,14.0,134.0
15,40.0,11.4,24.50096806041418,0.0,0.0,3.5,7.0,120.0
16,51.0,7.705882352941177,20.33449691302645,0.0,0.0,0.0,7.0,141.0
17,53.0,14.81132075471698,21.833334256602278,0.0,0.0,7.0,14.0,127.0
18,58.0,14.137931034482758,23.806565713745435,0.0,0.0,7.0,14.0,120.0
19,54.0,19.462962962962962,26.16112120596744,0.0,7.0,14.0,21.0,141.0
20,54.0,12.462962962962964,22.099870197657708,0.0,0.0,0.0,21.0,134.0
21,53.0,12.566037735849056,24.829038081961045,0.0,0.0,7.0,14.0,148.0
22,41.0,10.609756097560975,20.970071588791118,0.0,0.0,7.0,14.0,127.0
23,53.0,11.90566037735849,19.500753585974564,0.0,0.0,7.0,21.0,120.0
24,49.0,12.591836734693878,23.892047462969533,0.0,0.0,7.0,14.0,141.0
25,39.0,15.820512820512821,27.992359667060843,0.0,0.0,7.0,14.0,120.0
26,55.0,14.4,23.55419283269966,0.0,0.0,7.0,17.5,127.0
27,51.0,20.058823529411764,26.209472917024396,0.0,3.5,7.0,31.5,141.0
28,51.0,12.784313725490197,24.763936460498517,0.0,0.0,7.0,14.0,120.0
29,59.0,10.457627118644067,20.216348824394498,0.0,0.0,7.0,14.0,134.0
30,44.0,11.795454545454545,22.75816188418395,0.0,0.0,7.0,14.0,134.0
31,33.0,11.696969696969697,27.33642813226159,0.0,0.0,0.0,7.0,127.0
32,53.0,9.0,21.627973339386905,0.0,0.0,0.0,7.0,148.0
33,25.0,8.16,23.819949622112976,0.0,0.0,0.0,7.0,120.0
34,54.0,10.25925925925926,20.677382763094474,0.0,0.0,3.5,14.0,134.0
35,30.0,10.766666666666667,25.144661918357656,0.0,0.0,0.0,12.25,127.0
36,39.0,12.76923076923077,28.12702534317965,0.0,0.0,7.0,10.5,155.0
37,52.0,13.076923076923077,22.212738046521384,0.0,0.0,7.0,21.0,148.0
38,52.0,18.057692307692307,30.756101554088904,0.0,0.0,7.0,21.0,162.0
39,51.0,10.176470588235293,22.71537442557612,0.0,0.0,7.0,10.5,155.0
40,42.0,17.857142857142858,27.445352735200572,0.0,7.0,7.0,21.0,162.0
41,53.0,12.830188679245284,26.301313106336757,0.0,0.0,7.0,14.0,176.0
42,38.0,4.2631578947368425,22.9189927264707,0.0,0.0,0.0,0.0,141.0
43,57.0,20.894736842105264,32.53277699409272,0.0,7.0,7.0,21.0,183.0
44,51.0,11.549019607843137,27.122178176164386,0.0,0.0,7.0,14.0,183.0
45,57.0,10.087719298245615,24.21133198506906,0.0,0.0,7.0,7.0,155.0
46,32.0,9.21875,23.786326208898444,0.0,0.0,0.0,7.0,134.0
47,38.0,8.131578947368421,24.323463316514264,0.0,0.0,0.0,7.0,148.0
48,43.0,10.930232558139535,28.516824899093894,0.0,0.0,0.0,7.0,169.0
49,58.0,11.96551724137931,27.790548385239347,0.0,0.0,0.0,12.25,169.0
50,53.0,15.471698113207546,25.171415239073887,0.0,0.0,7.0,21.0,155.0
51,40.0,14.9,27.129130903693603,0.0,0.0,7.0,15.75,148.0
52,51.0,10.313725490196079,24.785875167989072,0.0,0.0,7.0,7.0,162.0
53,53.0,12.69811320754717,26.138377992214064,0.0,0.0,7.0,14.0,183.0
54,57.0,21.140350877192983,51.10403904798077,0.0,0.0,7.0,14.0,329.0
55,51.0,15.529411764705882,25.127954903793082,0.0,3.5,7.0,14.0,155.0
56,53.0,9.264150943396226,20.846647898215252,0.0,0.0,7.0,14.0,148.0
57,53.0,11.90566037735849,26.6878423422059,0.0,0.0,0.0,14.0,176.0
58,41.0,17.951219512195124,31.726133722463093,0.0,0.0,7.0,21.0,155.0
59,53.0,19.433962264150942,33.96067263647211,0.0,0.0,7.0,21.0,183.0
