id,count,mean,std,min,25%,50%,75%,max
0,24.0,39.125,49.21939569969829,7.0,7.0,17.5,49.0,203.0
1,51.0,42.98039215686274,47.55017989285779,7.0,14.0,28.0,59.5,301.0
2,49.0,32.734693877551024,29.56615147301336,7.0,7.0,21.0,42.0,120.0
3,44.0,35.97727272727273,55.659048716420884,7.0,12.25,21.0,35.0,350.0
4,42.0,38.523809523809526,45.62532357131535,7.0,7.0,14.0,40.25,203.0
5,53.0,33.0377358490566,28.3059943802008,7.0,14.0,28.0,42.0,120.0
6,23.0,24.695652173913043,26.76401040510235,7.0,7.0,14.0,31.5,120.0
7,35.0,36.22857142857143,42.314012221155544,7.0,14.0,21.0,38.5,210.0
8,50.0,44.4,52.63350372420322,7.0,7.0,21.0,56.0,210.0
9,37.0,34.45945945945946,32.54620185605773,7.0,7.0,14.0,49.0,120.0
10,14.0,18.071428571428573,30.049866979647437,7.0,7.0,7.0,12.25,120.0
11,22.0,14.045454545454545,24.16703239012714,7.0,7.0,7.0,7.0,120.0
12,23.0,17.695652173913043,25.32234870373437,7.0,7.0,7.0,14.0,120.0
13,37.0,24.054054054054053,25.58639606634088,7.0,7.0,14.0,28.0,120.0
14,48.0,31.666666666666668,25.167805619805474,7.0,14.0,21.0,42.0,120.0
15,41.0,22.73170731707317,27.989305448906645,7.0,7.0,14.0,21.0,133.0
16,28.0,36.785714285714285,30.619960982699023,7.0,14.0,35.0,42.0,120.0
17,41.0,37.926829268292686,39.58686034778613,7.0,14.0,21.0,56.0,203.0
18,51.0,26.784313725490197,24.7130036422044,7.0,7.0,21.0,35.0,120.0
19,48.0,35.3125,38.84511319521332,7.0,7.0,21.0,42.0,168.0
20,40.0,16.125,22.435305853006522,7.0,7.0,7.0,14.0,120.0
21,43.0,35.02325581395349,35.65141309701417,7.0,7.0,21.0,49.0,140.0
22,31.0,33.0,42.577771978658845,7.0,7.0,21.0,35.0,189.0
23,50.0,44.96,43.85456483814264,7.0,21.0,31.5,49.0,252.0
24,35.0,37.42857142857143,39.18154255910459,7.0,7.0,21.0,49.0,147.0
25,23.0,41.130434782608695,48.170440151070096,7.0,10.5,21.0,56.0,196.0
26,44.0,41.86363636363637,37.22689132377474,7.0,14.0,28.0,56.0,140.0
27,51.0,34.745098039215684,35.821693503939706,7.0,7.0,21.0,49.0,154.0
28,45.0,27.244444444444444,32.3925886273357,7.0,7.0,14.0,35.0,147.0
29,40.0,23.475,22.051207885981423,7.0,7.0,14.0,29.75,120.0
30,35.0,39.02857142857143,36.68585695932884,7.0,7.0,28.0,59.5,133.0
31,26.0,28.846153846153847,27.4469558351265,7.0,7.0,21.0,35.0,120.0
32,32.0,32.625,43.42048721142382,7.0,7.0,17.5,42.0,203.0
33,14.0,32.07142857142857,41.50340910133729,7.0,7.0,10.5,28.0,126.0
34,40.0,48.675,56.47799094814245,7.0,12.25,28.0,52.5,224.0
35,27.0,27.25925925925926,29.96484169642379,7.0,10.5,21.0,28.0,126.0
36,26.0,34.23076923076923,46.290653650435914,7.0,7.0,10.5,38.5,189.0
37,42.0,43.357142857142854,53.65373236332845,7.0,14.0,28.0,42.0,315.0
