id,count,mean,std,min,25%,50%,75%,max
0,36.0,9.63888888888889,25.735081978584105,0.0,0.0,0.0,7.0,151.0
1,49.0,10.081632653061224,22.217520052402598,0.0,0.0,0.0,14.0,144.0
2,49.0,10.795918367346939,21.519351360884396,0.0,0.0,7.0,14.0,144.0
3,48.0,12.1875,25.942371690656394,0.0,0.0,7.0,8.75,137.0
4,41.0,24.170731707317074,29.74382493814841,0.0,7.0,14.0,35.0,137.0
5,49.0,6.510204081632653,22.111575446075364,0.0,0.0,0.0,7.0,151.0
6,46.0,10.282608695652174,23.76427107466469,0.0,0.0,0.0,7.0,130.0
7,50.0,16.74,25.53893386296975,0.0,0.0,7.0,26.25,144.0
8,51.0,17.235294117647058,28.970735741637018,0.0,0.0,7.0,17.5,165.0
9,63.0,13.73015873015873,25.82834548745931,0.0,0.0,7.0,21.0,158.0
10,32.0,5.15625,22.995244073503546,0.0,0.0,0.0,0.0,130.0
11,47.0,12.595744680851064,24.767316800546084,0.0,0.0,0.0,14.0,137.0
12,33.0,21.12121212121212,31.486859933706448,0.0,0.0,7.0,28.0,130.0
13,62.0,10.564516129032258,20.62993286682968,0.0,0.0,7.0,14.0,137.0
14,38.0,17.236842105263158,32.13521618859766,0.0,0.0,7.0,21.0,144.0
15,47.0,16.46808510638298,26.889347384702518,0.0,0.0,7.0,14.0,130.0
16,46.0,13.021739130434783,27.219673547258495,0.0,0.0,3.5,14.0,165.0
17,47.0,13.042553191489361,30.299919247136266,0.0,0.0,7.0,10.5,161.0
18,57.0,14.31578947368421,23.56234730510345,0.0,0.0,7.0,14.0,130.0
19,47.0,18.106382978723403,24.573080041372595,0.0,7.0,14.0,21.0,151.0
20,40.0,20.75,30.69097420147978,0.0,7.0,10.5,28.0,144.0
21,48.0,11.020833333333334,22.70203813451543,0.0,0.0,7.0,14.0,151.0
22,47.0,10.808510638297872,27.189062936882433,0.0,0.0,0.0,10.5,137.0
23,44.0,16.795454545454547,53.92396867315129,0.0,0.0,7.0,7.0,336.0
24,41.0,15.292682926829269,25.588321459641527,0.0,0.0,7.0,21.0,144.0
25,43.0,10.837209302325581,22.131565727494014,0.0,0.0,0.0,14.0,130.0
26,48.0,13.791666666666666,26.282393049286117,0.0,0.0,7.0,14.0,130.0
27,47.0,14.382978723404255,24.334224593902597,0.0,0.0,7.0,14.0,151.0
28,44.0,16.318181818181817,29.001020613373868,0.0,0.0,0.0,21.0,144.0
29,56.0,12.196428571428571,25.27479494951956,0.0,0.0,3.5,14.0,137.0
30,40.0,16.725,31.926186904427066,0.0,0.0,7.0,15.75,165.0
31,38.0,12.81578947368421,32.19187010273305,0.0,0.0,0.0,12.25,154.0
32,48.0,9.854166666666666,23.775536849507088,0.0,0.0,3.5,14.0,151.0
33,28.0,7.642857142857143,26.558411216584606,0.0,0.0,0.0,0.0,137.0
34,46.0,23.065217391304348,34.81340876661881,0.0,0.0,14.0,26.25,158.0
35,30.0,7.833333333333333,24.53721077554819,0.0,0.0,0.0,0.0,130.0
36,36.0,12.75,29.0077575831018,0.0,0.0,0.0,14.0,158.0
37,49.0,13.224489795918368,27.223814104966422,0.0,0.0,7.0,14.0,179.0
38,49.0,22.510204081632654,32.740216381500645,0.0,7.0,14.0,21.0,172.0
39,46.0,14.847826086956522,27.973771359220965,0.0,0.0,7.0,14.0,165.0
40,39.0,15.538461538461538,29.09408164978806,0.0,0.0,7.0,17.5,165.0
41,49.0,11.36734693877551,26.39893769765416,0.0,0.0,7.0,14.0,179.0
42,46.0,13.326086956521738,27.917381561255254,0.0,0.0,0.0,14.0,158.0
43,50.0,18.84,30.51219896556598,0.0,1.75,7.0,21.0,193.0
44,47.0,9.914893617021276,27.418519437427882,0.0,0.0,0.0,14.0,186.0
45,62.0,11.016129032258064,25.495413882348686,0.0,0.0,0.0,12.25,172.0
46,32.0,7.125,26.58613512049394,0.0,0.0,0.0,7.0,151.0
47,47.0,17.80851063829787,32.24339386189953,0.0,0.0,7.0,17.5,154.0
48,31.0,18.64516129032258,32.09522123005934,0.0,0.0,7.0,21.0,165.0
49,60.0,11.85,31.8193124386401,0.0,0.0,7.0,14.0,235.0
50,38.0,16.86842105263158,30.399298580663032,0.0,0.0,7.0,21.0,158.0
51,47.0,14.085106382978724,28.34095959471567,0.0,0.0,7.0,14.0,151.0
52,45.0,15.488888888888889,34.33234773519139,0.0,0.0,7.0,14.0,172.0
53,46.0,21.847826086956523,73.86713820285847,0.0,0.0,7.0,14.0,476.0
54,52.0,22.692307692307693,34.9725598100593,0.0,7.0,10.5,21.0,175.0
55,47.0,13.638297872340425,32.268187006585165,0.0,0.0,7.0,10.5,179.0
56,40.0,24.775,63.93726392291679,0.0,0.0,7.0,21.0,378.0
57,48.0,11.020833333333334,25.272548039269072,0.0,0.0,7.0,8.75,165.0
58,45.0,10.355555555555556,26.048168279306523,0.0,0.0,0.0,14.0,172.0
59,44.0,17.272727272727273,34.925411310100614,0.0,0.0,7.0,15.75,200.0
60,41.0,15.634146341463415,30.665743181570683,0.0,0.0,7.0,21.0,193.0
61,41.0,15.292682926829269,33.80328675028438,0.0,0.0,7.0,14.0,158.0
62,48.0,14.8125,26.222173701221287,0.0,0.0,7.0,14.0,158.0
63,47.0,24.06382978723404,31.108089438153172,0.0,7.0,14.0,31.5,179.0
64,43.0,19.790697674418606,29.836505396302126,0.0,0.0,7.0,28.0,172.0
65,56.0,13.696428571428571,26.71732134290898,0.0,0.0,7.0,14.0,165.0
66,39.0,13.923076923076923,34.161677987402484,0.0,0.0,7.0,14.0,200.0
67,36.0,11.0,26.465071320516028,0.0,0.0,0.0,7.0,144.0
68,48.0,8.979166666666666,28.244743124772743,0.0,0.0,0.0,7.0,193.0
69,28.0,12.392857142857142,31.20937571107651,0.0,0.0,0.0,8.75,158.0
70,44.0,27.136363636363637,39.969517983892345,0.0,7.0,14.0,35.0,193.0
71,30.0,14.133333333333333,28.121329901025288,0.0,0.0,7.0,14.0,151.0
72,36.0,18.583333333333332,38.385544154017154,0.0,0.0,3.5,14.0,193.0
73,49.0,13.795918367346939,35.2449639380323,0.0,0.0,7.0,14.0,242.0
74,46.0,15.76086956521739,35.47655550272834,0.0,0.0,7.0,19.25,235.0
75,46.0,19.26086956521739,36.39745704341244,0.0,0.0,7.0,14.0,179.0
76,36.0,23.25,73.87455583622821,0.0,0.0,7.0,15.75,445.0
77,48.0,7.958333333333333,32.84648906613356,0.0,0.0,0.0,7.0,228.0
78,46.0,8.152173913043478,25.737967968918642,0.0,0.0,0.0,7.0,172.0
79,47.0,15.425531914893616,31.78169057317714,0.0,0.0,7.0,21.0,207.0
80,47.0,16.170212765957448,33.12054344028542,0.0,0.0,7.0,21.0,214.0
81,57.0,15.543859649122806,32.8383868227842,0.0,0.0,7.0,14.0,207.0
82,32.0,13.46875,30.985932682324545,0.0,5.25,7.0,14.0,179.0
83,45.0,20.0,40.15424804878852,0.0,0.0,0.0,14.0,193.0
84,31.0,23.161290322580644,51.88776141775859,0.0,0.0,7.0,17.5,238.0
85,58.0,16.120689655172413,37.248844365074945,0.0,0.0,7.0,14.0,263.0
86,37.0,22.62162162162162,34.98995994992417,0.0,7.0,7.0,21.0,179.0
